PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
AGNCP,AGNCP,AGNC,FF,,8.0,07/01/2025,4/15/2025,NONE,0.38,6.13%,,,1020.48,Reit,,3.0,,,,,,25.37,,,24.93,24.63,1.76,2.99,23.37,25.48,19.61,25.48,25.0,1.63,-0.48,44.250657,34.915021,67.922481,14.5953,-0.48,5.39,14.43884,54.713584,37633,34331,43033,38332
AHL PRF,AHL-F,-,,,10.0,06/12/2025,11/30/2029,NONE,0.61,7.00%,,,-,-,,74.0,,,,,,24.2,,,,,,,21.28,26.21,21.28,26.21,24.09,2.81,-2.12,,,53.286822,31.723238,-2.12,2.81,30.983607,71.603928,28868,14851,11593,18438
ALL PRB,ALL-B,ALL,FF,,12.5,06/27/2025,1/15/2023,1/15/2053,0.48,5.10%,,,264.67,Insurance,,89.0,,,,,,26.23,,,25.94,26.0,1.1,0.9,25.01,27.0,25.01,27.0,26.22,1.21,-0.78,46.564417,42.595315,73.131783,17.72846,-0.78,1.21,17.465322,82.07856,26238,27897,19148,24428
ALL PRJ,ALL-J,ALL,,,12.0,06/27/2025,7/15/2028,NONE,0.46,7.38%,,25.29,264.67,Insurance,,89.0,,,,,,26.78,1.48,,26.64,26.98,0.49,-0.78,25.56,27.99,25.15,28.22,26.76,1.2,-1.23,48.702892,48.768948,73.255814,22.428198,-1.46,1.61,24.325347,79.459902,35944,33704,24020,31223
ALTG PRA,ALTG-A,ALTG,,,8.0,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,33.19,Rental&leasingservices,,13.0,,,,,,25.11,-0.64,-1.64,24.85,25.39,1.04,-1.09,23.05,26.25,23.05,27.0,24.57,1.52,-1.68,46.774759,49.90813,69.286822,27.127937,-2.43,1.52,34.110971,80.0491,2261,2897,2501,2553
ANG PRB,ANG-B,-,FF,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,-,-,,47.0,,,,,,25.11,,,25.05,25.02,0.24,0.36,24.76,25.9,22.0,25.9,24.91,0.15,-0.99,49.579316,44.579697,86.27907,19.921671,-0.99,2.91,19.583859,70.949264,38691,57962,15385,37346
ANG PRD,ANG-D,-,,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,-,-,,2.0,,,,,,25.75,,,,,,,23.54,26.54,23.54,26.54,25.27,1.73,-1.27,,,66.682171,22.845953,-1.27,1.73,22.408575,78.674304,39415,24415,14071,25967
AOMN,AOMN,AOMR,,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,23.50,Reit,,16.0,,,,,,25.01,,,,,,,23.6,26.09,23.6,26.1,24.52,0.92,-1.57,,,76.728682,25.979112,-1.58,0.92,25.535939,83.977087,8057,7085,3729,6291
APOS,APOS,APO,NFF,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,571.72,Assetmanagement,,61.0,,,,,,26.45,,,26.34,26.71,0.42,-0.96,24.89,27.61,24.89,27.77,26.3,1.41,-1.31,48.948291,49.430409,70.651163,23.263708,-1.47,1.41,24.42623,80.769231,28907,34886,30702,31498
AQNB,AQNB,AQN,FF,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,789.65,Utilities,,75.0,,,,,,25.29,,,25.4,25.48,-0.45,-0.75,24.59,26.09,22.71,26.5,25.2,0.61,-0.89,51.998247,48.658705,80.573643,18.877285,-1.3,2.49,22.711223,73.698854,22602,26756,27296,25551
