"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"TRTN PRC","TRTN-C","-","","","9.000000","06/09/2025","12/15/2024","NONE","0.460000","7.38%","26.100000","22.320000","-","-","","83.000000","","","","","","23.600000","1.280000","-2.500000","23.420000","24.380000","0.780000","-3.220000","21.930000","25.430000","21.930000","26.170000","23.560000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TRTN PRF","TRTN-F","-","","","9.000000","06/09/2025","3/15/2030","NONE","0.480000","7.63%","","","-","-","","83.000000","","","","","","24.450000","","","","","","","23.200000","25.350000","23.200000","25.350000","24.410000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TVC","TVC","GOOGL","","","19.500000","05/30/2025","","6/1/2028","0.130000","2.13%","","","9990.00","-","","73.000000","","","","","","23.420000","","","23.480000","23.020000","-0.250000","1.740000","22.530000","25.330000","21.000000","25.330000","23.400000","174.560000","140.530000","207.050000","195.420000","164.290000","67.580000","207.050000","1743.854400","19.500000","75.430000","53.410000","1.583013","-0.156919","0.242155","-0.156919","-0.106744","0.062511","1.314199","2.268302","","5369.966073","","265.890307","61.997853","60.009565","764.636423","507.579254","","92.870162","","93.180747","59.368879","75.595776","37.491691","32.892528"
"TVE","TVE","GOOGL","","","19.500000","07/28/2025","","5/1/2029","0.140000","2.22%","","","9990.00","-","","42.000000","","","","","","23.060000","","","23.130000","22.600000","-0.310000","2.050000","22.110000","25.300000","20.720000","25.300000","22.990000","174.560000","140.530000","207.050000","195.420000","164.290000","67.580000","207.050000","1743.854400","19.500000","75.430000","53.410000","1.583013","-0.156919","0.242155","-0.156919","-0.106744","0.062511","1.314199","2.268302","","5369.966073","","265.890307","61.997853","60.009565","764.636423","507.579254","","92.870162","","93.180747","59.368879","75.595776","37.491691","32.892528"
"TWO PRA","TWO-A","TWO","NFF","","8.000000","07/10/2025","4/26/2027","NONE","0.510000","8.13%","","","103.74","Reit","","24.000000","","","","","","22.880000","","","23.810000","24.080000","-3.890000","-4.970000","21.520000","25.390000","18.850000","25.390000","22.510000","10.750000","10.160000","14.280000","11.810000","13.860000","9.830000","32.600000","1.115205","8.000000","","","0.093591","-0.670245","0.058071","-0.247199","-0.089754","-0.224387","","","3.770803","2367.740978","2.430314","266.446582","63.652580","46.319223","","","64.965205","41.507658","42.226112","93.373600","60.926748","58.577793","",""
"TWO PRB","TWO-B","TWO","NFF","","8.000000","07/10/2025","7/27/2027","NONE","0.480000","7.63%","","","103.74","Reit","","24.000000","","","","","","22.230000","","","23.260000","23.590000","-4.420000","-5.770000","21.270000","25.400000","17.900000","25.430000","21.880000","10.750000","10.160000","14.280000","11.810000","13.860000","9.830000","32.600000","1.115205","8.000000","","","0.093591","-0.670245","0.058071","-0.247199","-0.089754","-0.224387","","","3.770803","2367.740978","2.430314","266.446582","63.652580","46.319223","","","64.965205","41.507658","42.226112","93.373600","60.926748","58.577793","",""
"TWO PRC","TWO-C","TWO","FF","","8.000000","07/10/2025","1/27/2025","NONE","0.600000","7.25%","","","103.74","Reit","","24.000000","","","","","","23.700000","","","24.300000","24.420000","-2.470000","-2.960000","22.250000","25.200000","18.550000","25.200000","23.260000","10.750000","10.160000","14.280000","11.810000","13.860000","9.830000","32.600000","1.115205","8.000000","","","0.093591","-0.670245","0.058071","-0.247199","-0.089754","-0.224387","","","3.770803","2367.740978","2.430314","266.446582","63.652580","46.319223","","","64.965205","41.507658","42.226112","93.373600","60.926748","58.577793","",""
"UCB PRI","UCB-I","UCB","","","8.000000","05/29/2025","9/15/2025","NONE","0.430000","6.88%","","","119.46","Regionalbank","","72.000000","","","","","","24.000000","","","24.490000","24.490000","-2.010000","-2.020000","23.500000","25.340000","20.150000","25.340000","23.910000","28.230000","22.930000","35.380000","32.890000","28.580000","15.730000","39.500000","3.372356","8.000000","","","0.794660","-0.285316","0.231138","-0.202092","-0.141684","-0.012246","","","","5168.129686","","284.284347","58.594907","54.028338","","","","89.417116","","99.557724","56.165120","68.160722","",""
"UMH PRD","UMH-D","UMH","","","8.000000","05/15/2025","1/22/2023","NONE","0.400000","6.38%","25.570000","20.850000","83.91","Reit","","58.000000","","","","","","21.800000","0.950000","-3.770000","22.220000","22.950000","-1.890000","-5.030000","20.990000","24.380000","19.830000","24.420000","21.660000","16.770000","15.270000","20.640000","19.310000","18.230000","11.670000","27.500000","1.407171","8.000000","16.360000","9.910000","0.437018","-0.390182","0.098232","-0.187500","-0.131538","-0.080088","0.025061","0.692230","","4405.225825","3.945940","255.248059","59.583101","48.600470","324.764969","250.753795","","76.365245","67.936111","89.491217","57.095471","61.413531","16.499161","16.755515"
"USB PRH","USB-H","USB","FLR","","12.500000","06/27/2025","4/15/2011","NONE","0.320000","3.50%","","","1557.99","Regionalbank","","11.000000","","","","","","20.460000","","","21.700000","21.910000","-5.710000","-6.640000","18.910000","24.000000","17.340000","24.000000","20.180000","43.050000","35.180000","53.980000","49.980000","42.180000","27.270000","63.570000","67.071469","12.500000","54.640000","32.570000","0.578658","-0.322794","0.223707","-0.202482","-0.138655","0.020626","-0.212116","0.321768","","4895.479236","","284.129795","58.889908","56.658382","243.836982","190.386008","","84.752572","","99.504143","56.442854","71.430039","12.636934","12.962449"
