PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
COF PRN,COF,,10,11/13/2024,,,0.27,4.25%,19.94,13.68,c425,16.55,2.87,-3.39,16.39,17.28,0.97,-4.23,15.15,19.72,13.26,19.81,43.0,16.41,1.26,-3.31,42.106861,46.913386,56.053412,45.163399,-3.53,2.73,51.826087,48.03132,-3.4,3.15,44.622951,57.960199,33541,26085,21243,26957,,,,,,,,,,
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38%,23.56,18.75,c525,19.75,1.0,-3.81,19.86,19.99,-0.54,-1.2,18.3,21.85,16.89,22.0,73.0,19.69,1.39,-2.16,49.441409,34.188976,52.967359,30.130719,-3.87,0.94,54.782609,64.049217,-2.31,2.8,30.327869,61.442786,2185,2752,1207,2048,,,,,,,,,,
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.50%,22.38,14.51,c550,18.28,3.76,-4.11,18.74,19.02,-2.5,-3.96,17.05,20.75,14.26,21.44,35.0,18.06,1.01,-2.69,58.961749,45.779528,61.988131,37.058824,-4.32,3.55,58.695652,40.693512,-3.38,3.8,44.360656,51.492537,5677,4303,5740,5240,,,,,,,,,,
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25%,25.38,19.55,c525,20.97,1.41,-4.42,21.11,22.19,-0.72,-5.55,20.02,24.63,19.06,24.63,73.0,20.9,0.88,-3.73,50.315726,52.456693,65.074184,50.653595,-4.48,1.35,60.086957,60.380313,-3.73,1.84,48.95082,70.995025,12720,10598,7168,10162,,,,,,,,,,
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88%,26.4,22.0,c575,23.36,1.36,-3.04,23.37,24.17,-0.05,-3.33,22.1,25.41,21.4,25.61,73.0,23.29,1.19,-2.12,47.061324,43.133858,57.715134,29.607843,-3.11,1.29,48.173913,60.917226,-2.32,1.89,30.459016,70.497512,13232,14167,10693,12697,,,,,,,,,,
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.20%,25.37,19.32,c525,20.12,0.8,-5.25,20.49,21.78,-1.8,-7.61,19.61,24.26,19.01,24.45,73.0,20.06,0.45,-4.2,55.561627,61.107612,75.281899,56.797386,-5.31,0.74,67.304348,65.838926,-4.39,1.05,57.606557,78.855721,19672,21987,20040,20566,,,,,,,,,,
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38%,22.29,17.3,c425,17.51,0.21,-4.78,17.71,19.14,-1.12,-8.52,16.93,21.71,16.93,22.65,87.0,17.5,0.57,-4.21,52.258652,64.929134,72.433234,56.928105,-4.79,0.2,62.782609,70.671141,-5.15,0.57,67.57377,83.631841,15694,13002,17521,15406,,,,,,,,,,
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38%,20.89,17.32,c425,17.23,-0.09,-3.66,17.62,19.19,-2.22,-10.2,16.71,22.05,16.71,22.25,45.0,17.09,0.38,-4.96,57.6017,71.984252,76.94362,66.732026,-3.8,-0.23,54.173913,74.519016,-5.16,0.38,67.704918,85.522388,22340,21985,17935,20753,,,,,,,,,,
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25%,25.42,20.88,c525,21.27,0.39,-4.15,21.6,22.85,-1.54,-6.92,20.55,25.11,20.42,25.17,45.0,21.11,0.56,-4.0,54.298725,58.209974,72.670623,54.183007,-4.31,0.23,58.608696,70.402685,-4.06,0.69,53.278689,82.437811,22281,15966,16561,18269,,,,,,,,,,
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75%,26.49,22.91,c550,24.42,1.51,-2.07,24.79,24.97,-1.5,-2.21,24.06,25.59,22.71,25.66,45.0,24.24,0.18,-1.35,54.104432,38.430446,81.691395,19.542484,-2.25,1.33,40.695652,60.559284,-1.42,1.53,18.655738,74.079602,58524,59319,50080,55975,,,,,,,,,,
