PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,PREF YF,FF-FR_,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
ALTG PRA,ALTG,,8.0,07/11/2025,12/22/2025,NONE,0.63,10.00%,26.75,25.75,,25.11,-0.64,-1.64,24.85,25.39,1.04,-1.09,23.05,26.25,23.05,27.0,13.0,24.57,1.52,-1.68,46.774759,49.90813,69.286822,27.127937,,,,,-2.43,1.52,34.110971,80.0491,2261,2897,2501,2553,ALTG-A,,33.19,Rental&leasingservices,,,,,,
ANG PRB,-,,9.0,05/16/2025,9/1/2025,NONE,0.41,6.63%,,,,25.11,,,25.05,25.02,0.24,0.36,24.76,25.9,22.0,25.9,47.0,24.91,0.15,-0.99,49.579316,44.579697,86.27907,19.921671,,,,,-0.99,2.91,19.583859,70.949264,38691,57962,15385,37346,ANG-B,FF,-,-,,,,,,
ANG PRD,-,,9.0,06/30/2025,1/15/2030,,0.49,7.38%,,,,25.75,,,,,,,23.54,26.54,23.54,26.54,2.0,25.27,1.73,-1.27,,,66.682171,22.845953,,,,,-1.27,1.73,22.408575,78.674304,39415,24415,14071,25967,ANG-D,,-,-,,,,,,
AOMN,AOMR,BB,8.0,07/14/2025,7/30/2026,7/30/2029,0.59,9.50%,,,,25.01,,,,,,,23.6,26.09,23.6,26.1,16.0,24.52,0.92,-1.57,,,76.728682,25.979112,,,,,-1.58,0.92,25.535939,83.977087,8057,7085,3729,6291,AOMN,,23.50,Reit,,,,,,
APOS,APO,,13.0,05/30/2025,12/15/2028,9/15/2053,0.48,7.63%,,,,26.45,,,26.34,26.71,0.42,-0.96,24.89,27.61,24.89,27.77,61.0,26.3,1.41,-1.31,48.948291,49.430409,70.651163,23.263708,,,,,-1.47,1.41,24.42623,80.769231,28907,34886,30702,31498,APOS,NFF,571.72,Assetmanagement,,,,,,
AQNB,AQN,,9.0,06/13/2025,7/1/2024,7/1/2079,0.55,6.20%,,,,25.29,,,25.4,25.48,-0.45,-0.75,24.59,26.09,22.71,26.5,75.0,25.2,0.61,-0.89,51.998247,48.658705,80.573643,18.877285,,,,,-1.3,2.49,22.711223,73.698854,22602,26756,27296,25551,AQNB,FF,789.65,Utilities,,,,,,
ARGD,-,BB,9.5,05/30/2025,9/15/2017,9/15/2042,0.41,6.50%,24.35,21.31,,20.19,-1.12,-4.16,20.58,21.61,-1.89,-6.59,19.19,22.71,19.19,24.24,61.0,20.06,0.87,-2.65,57.04645,70.11943,77.348837,37.258486,,,,,-4.18,0.87,51.765448,84.304419,7061,6626,6414,6700,ARGD,,-,-,,,,,,
ARGO PRA,-,,8.5,05/27/2025,9/15/2025,NONE,0.44,7.00%,,,,25.07,,,25.04,24.94,0.11,0.5,24.59,25.36,20.76,25.49,58.0,24.91,0.32,-0.45,50.035057,44.065227,84.170543,14.281984,,,,,-0.58,4.15,15.447667,62.831424,16923,16991,16801,16905,ARGO-A,NFF,-,-,,,,,,
ARR PRC,ARR,,8.0,05/15/2025,1/28/2025,,0.15,7.00%,22.6,18.06,,20.84,2.78,-1.76,20.94,21.64,-0.47,-3.69,19.27,23.58,17.85,23.58,46.0,20.77,1.5,-2.81,52.068361,59.462563,69.534884,38.929504,,,,,-2.81,2.92,37.944515,70.883797,10265,9570,8564,9466,ARR-C,,81.90,Reit,,,,,,
ASBA,ASB,,11.0,05/15/2025,3/1/2028,3/1/2033,0.41,6.63%,,,,24.05,,,24.1,24.17,-0.2,-0.5,22.99,25.3,18.82,25.3,46.0,23.85,0.86,-1.45,51.121823,47.740009,77.472868,24.725849,,,,,-1.45,5.03,24.224464,57.070376,17084,13954,10815,13951,ASBA,NFF,165.95,Regionalbank,,,,,,
ATCO PRD,-,,8.0,07/25/2025,1/30/2018,NONE,0.5,7.95%,25.27,23.86,,25.33,1.47,0.06,25.04,25.1,1.16,0.91,24.14,25.98,22.04,25.98,27.0,24.98,0.84,-1.0,46.354075,42.558567,77.72093,20.02611,,,,,-1.0,2.94,19.684741,70.752864,4669,6000,9795,6821,ATCO-D,,-,-,,,,,,
ATCO PRH,-,,8.0,07/25/2025,8/11/2021,NONE,0.49,7.88%,24.95,22.38,,25.4,3.03,0.46,24.86,24.93,2.2,1.91,23.78,25.49,21.36,25.49,27.0,25.07,1.29,-0.42,42.708151,38.883785,72.139535,13.968668,,,,,-0.42,3.71,13.833544,65.711948,11610,14110,24558,16760,ATCO-H,,-,-,,,,,,
ATCOL,-,,8.0,07/15/2025,5/13/2023,10/30/2027,0.45,7.13%,,,,25.28,,,24.95,25.03,1.34,1.03,22.45,25.45,22.45,25.9,17.0,24.93,2.48,-0.52,45.72305,42.117593,57.379845,15.013055,,,,,-0.97,2.48,19.382093,73.764321,2017,2501,2387,2302,ATCOL,,-,-,,,,,,
ATH PRA,-,,11.5,06/13/2025,6/30/2029,NONE,0.4,6.35%,,,,24.52,,,24.16,24.56,1.47,-0.16,21.6,25.71,19.81,25.71,75.0,24.45,2.85,-1.26,45.267309,46.490583,52.790698,22.741514,,,,,-1.26,4.64,22.307692,59.623568,37535,35797,37532,36955,ATH-A,NFF,-,-,,,,,,
ATH PRC,-,,11.5,06/13/2025,9/30/2025,NONE,0.4,6.38%,,,,24.98,,,25.1,25.11,-0.48,-0.53,24.24,25.46,22.56,25.64,75.0,24.91,0.67,-0.55,52.103418,47.850253,79.829457,15.326371,,,,,-0.73,2.35,16.960908,74.615385,64800,73512,115626,84646,ATH-C,NFF,-,-,,,,,,
ATH PRE,-,,11.5,06/13/2025,12/30/2027,NONE,0.48,7.75%,,,,25.85,,,25.65,26.2,0.76,-1.32,24.17,27.5,23.61,27.5,75.0,25.77,1.6,-1.73,47.756354,50.75333,68.294574,27.650131,,,,,-1.73,2.16,27.04918,75.859247,22061,24127,36425,27537,ATH-E,NFF,-,-,,,,,,
ATHS,-,,12.0,06/12/2025,3/30/2029,3/30/2064,0.45,7.25%,,,,25.19,,,25.11,25.34,0.31,-0.58,24.01,26.25,24.01,26.25,74.0,25.11,1.1,-1.14,49.333918,48.033992,74.496124,21.488251,,,,,-1.14,1.1,21.0971,82.798691,45125,43328,33908,40787,ATHS,NFF,-,-,,,,,,
ATLCL,ATLC,,8.0,07/11/2025,10/2/2026,12/31/2026,0.38,6.13%,24.52,21.61,,24.09,2.48,-0.43,24.09,23.67,-0.01,1.79,23.29,24.76,20.62,24.76,13.0,23.76,0.47,-1.0,50.455741,39.324759,82.310078,20.02611,,,,,-1.0,3.14,19.684741,69.443535,5323,6337,6191,5950,ATLCL,,15.11,Creditservices,,,,,,
ATLCP,ATLC,,8.0,05/30/2025,6/11/2026,NONE,0.48,7.63%,24.15,20.61,,22.05,1.44,-2.1,22.95,23.04,-3.92,-4.28,21.66,24.5,18.51,24.8,61.0,21.9,0.24,-2.6,64.163015,61.630684,85.162791,36.736292,,,,,-2.9,3.39,38.852459,67.806874,4366,4449,7353,5390,ATLCP,,15.11,Creditservices,,,,,,
ATLCZ,ATLC,BB,8.0,07/01/2025,1/31/2028,1/31/2029,0.58,9.25%,,,,25.04,,,25.02,25.01,0.07,0.14,23.4,25.5,23.4,25.5,3.0,24.48,1.08,-1.02,50.175285,45.388149,74.744186,20.234987,,,,,-1.02,1.08,19.886507,82.929624,23219,18208,15925,19117,ATLCZ,,15.11,Creditservices,,,,,,
AUB PRA,AUB,,8.0,05/16/2025,9/1/2025,NONE,0.43,6.88%,26.14,19.25,,24.7,4.7,-2.19,24.26,24.34,-1.29,-1.6,22.86,25.93,19.21,25.93,47.0,23.74,0.88,-2.19,54.943032,51.782269,77.224806,32.454308,,,,,-2.19,4.53,31.689786,60.343699,13976,10563,10517,11685,AUB-A,,142.37,Regionalbank,,,,,,
BAC PRE,BAC,,11.0,07/25/2025,11/15/2011,NONE,0.31,4.00%,,,,22.11,,,22.28,23.47,-0.74,-5.79,20.81,25.5,19.52,25.5,27.0,21.89,1.08,-3.61,53.014899,67.179605,74.744186,47.284595,,,,,-3.61,2.37,46.015132,74.484452,18102,22981,23632,21572,BAC-E,FLR,7537.21,Bank,,,,,,
BANC PRF,BANC,,8.0,05/19/2025,9/1/2027,NONE,0.49,7.75%,,,,24.64,,,24.7,24.42,-0.24,0.91,23.39,25.6,21.0,25.6,50.0,24.42,1.03,-1.18,51.262051,42.558567,75.364341,21.906005,,,,,-1.18,3.42,21.500631,67.610475,43389,31300,19323,31337,BANC-F,NFF,169.33,Regionalbank,,,,,,
BANFP,BANF,TP,8.0,06/27/2025,3/21/2009,3/31/2034,0.45,7.20%,27.53,27.0,,26.06,-0.94,-1.47,26.04,25.85,0.07,0.79,25.45,29.45,24.7,29.45,89.0,26.05,0.6,-3.4,50.175285,42.999541,80.697674,45.091384,,,,,-3.4,1.35,43.896595,81.162029,582,404,184,390,BANFP,,33.23,Regionalbank,,,,,,
BC PRA,BC,BB,11.5,06/29/2025,10/15/2023,10/15/2048,0.4,6.50%,26.22,22.5,,23.94,1.44,-2.28,23.73,24.42,0.9,-1.98,22.58,25.43,22.09,25.92,1.0,23.54,0.96,-1.89,47.265557,53.178686,76.232558,29.321149,,,,,-2.38,1.45,33.606557,80.507365,7887,8730,10766,9128,BC-A,,65.69,Consumercyclical,,,,,,
BC PRC,BC,BB,11.5,06/29/2025,4/15/2024,4/15/2049,0.39,6.38%,25.99,22.33,,24.01,1.68,-1.98,23.4,24.3,2.63,-1.2,22.0,25.43,21.76,25.77,1.0,23.62,1.62,-1.81,41.200701,50.312356,68.046512,28.48564,,,,,-2.15,1.86,31.286255,77.823241,13151,14880,15672,14568,BC-C,,65.69,Consumercyclical,,,,,,
BK PRK,BK,,12.5,06/05/2025,3/20/2030,NONE,0.41,6.15%,,,,25.55,,,,,,,24.54,25.83,24.54,25.83,67.0,25.45,0.91,-0.38,,,76.852713,13.550914,,,,,-0.38,0.91,13.430013,84.042553,202605,202605,59621,154944,BK-K,NFF,715.58,Bank,,,,,,
BML PRG,BAC,,11.0,05/15/2025,11/28/2009,NONE,0.33,3.00%,,,,20.5,,,21.54,22.32,-4.82,-8.16,20.25,23.5,19.66,23.68,46.0,20.34,0.09,-3.16,67.318142,75.888838,87.023256,42.584856,,,,,-3.34,0.68,43.291299,85.548282,5740,4102,5904,5248,BML-G,FLR,7537.21,Bank,,,,,,
BML PRH,BAC,,11.0,05/15/2025,11/28/2009,NONE,0.32,3.00%,,,,20.02,,,21.37,22.22,-6.3,-9.9,19.73,23.45,19.05,23.45,46.0,19.86,0.13,-3.59,72.506573,82.282958,86.527132,47.075718,,,,,-3.59,0.81,45.813367,84.697218,16355,17057,26082,19831,BML-H,FLR,7537.21,Bank,,,,,,
BML PRJ,BAC,,11.0,05/15/2025,11/21/2010,NONE,0.33,4.00%,,,,21.83,,,22.52,23.11,-3.07,-5.53,20.7,24.55,20.0,24.69,46.0,21.67,0.97,-2.88,61.183173,66.224162,76.108527,39.660574,,,,,-3.02,1.67,40.063052,79.067103,16596,16107,10668,14457,BML-J,FLR,7537.21,Bank,,,,,,
BML PRL,BAC,,11.0,07/01/2025,5/21/2010,NONE,0.32,4.00%,,,,20.49,,,21.76,22.85,-5.83,-10.35,19.8,24.75,19.65,24.77,3.0,20.18,0.38,-4.57,70.858896,83.93661,83.426357,57.310705,,,,,-4.59,0.53,55.901639,86.530278,21988,22174,39338,27833,BML-L,FLR,7537.21,Bank,,,,,,
BOH PRB,BOH,,9.5,07/14/2025,8/1/2029,NONE,0.5,8.00%,,,,26.05,,,,,,,24.81,27.13,24.81,27.13,16.0,25.64,0.83,-1.49,,,77.844961,25.143603,,,,,-1.49,0.83,24.627995,84.566285,20258,17905,17138,18433,BOH-B,,39.66,Regionalbank,,,,,,
BPOPM,BPOP,TP,7.0,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.2,24.51,,25.09,0.58,-2.11,25.37,25.49,-1.09,-1.59,24.53,26.09,24.38,26.25,46.0,25.03,0.5,-1.06,54.241893,51.745521,81.937984,20.652742,,,,,-1.22,0.65,21.904161,85.744681,2075,2099,3468,2547,BPOPM,,69.37,Regionalbank,,,,,,
C PRN,C,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,,29.68,,,29.72,29.93,-0.12,-0.84,28.36,31.34,27.82,31.34,27.0,29.2,0.84,-2.14,50.841367,48.989435,77.72093,31.932115,,,,,-2.14,1.38,31.185372,80.96563,105730,119248,119338,114772,C-N,FF,1868.19,Bank,,,,,,
CCIA,CCIF,Term,8.0,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,,25.55,,,25.62,25.8,-0.26,-0.96,25.0,27.79,24.1,27.79,50.0,25.47,0.47,-2.32,51.332165,49.430409,82.310078,33.81201,,,,,-2.32,1.37,33.001261,81.031097,4384,5250,4993,4875,CCIA,,15.39,Cef,,,,,,
CFG PRH,CFG,,10.5,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,,25.94,,,26.15,26.41,-0.8,-1.79,24.95,27.69,24.95,27.69,82.0,25.9,0.95,-1.79,53.225241,52.480478,76.356589,28.276762,,,,,-1.79,0.95,27.654477,83.780687,29055,26577,27358,27663,CFG-H,,433.40,Regionalbank,,,,,,
CGBDL,CGBD,,8.0,05/15/2025,,,0.51,,,,,25.53,,,25.65,25.67,-0.48,-0.53,25.05,26.66,25.05,26.66,46.0,25.28,0.23,-1.38,52.103418,47.850253,85.286822,23.994778,,,,,-1.38,0.23,23.518285,88.494272,8356,5879,5685,6640,CGBDL,,72.90,Assetmanagement,,,,,,
CHMI PRA,CHMI,,8.0,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.6,,20.95,1.35,-1.7,21.43,22.63,-2.24,-7.41,19.2,24.4,17.75,25.0,89.0,20.94,1.74,-3.46,58.273444,73.132751,66.55814,45.718016,,,,,-4.06,3.19,50.554855,69.116203,2769,2541,2846,2718,CHMI-A,,32.66,Reit,,,,,,
CHMI PRB,CHMI,,8.0,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,,23.97,,,24.09,24.56,-0.52,-2.38,22.23,25.1,20.2,25.6,89.0,23.96,1.73,-1.14,52.243646,54.648599,66.682171,21.488251,,,,,-1.64,3.76,26.141236,65.384615,4331,3557,1503,3130,CHMI-B,FF,32.66,Reit,,,,,,
CHSCL,-,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,,25.39,0.32,-1.91,25.71,25.87,-1.25,-1.85,25.31,26.42,24.92,26.63,75.0,25.31,0.0,-1.11,54.802805,52.700965,88.139535,21.174935,,,,,-1.32,0.39,22.912989,87.446809,22220,23162,19477,21620,CHSCL,,-,-,,,,,,
CHSCM,-,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,,24.04,-0.01,-2.36,24.75,25.1,-2.85,-4.22,23.8,25.97,23.51,26.19,75.0,23.97,0.17,-2.0,60.411919,61.410198,86.031008,30.469974,,,,,-2.22,0.46,31.992434,86.988543,18378,18299,21540,19405,CHSCM,,-,-,,,,,,
CHSCN,-,,8.0,06/13/2025,3/31/2024,NONE,0.44,7.10%,26.3,24.62,,24.63,0.01,-1.67,25.2,25.52,-2.26,-3.49,24.37,26.39,24.37,26.9,75.0,24.56,0.19,-1.83,58.343558,58.727607,85.782946,28.694517,,,,,-2.34,0.19,33.203026,88.756137,14314,14813,22469,17199,CHSCN,,-,-,,,,,,
CHSCO,-,,8.0,06/13/2025,9/26/2023,NONE,0.49,7.88%,28.31,25.64,,26.1,0.46,-2.21,26.43,26.69,-1.24,-2.21,25.6,27.4,25.46,27.73,75.0,26.02,0.42,-1.38,54.767748,54.023886,82.930233,23.994778,,,,,-1.71,0.56,26.847415,86.333879,18105,18915,27634,21551,CHSCO,,-,-,,,,,,
CICB,CION,,8.0,06/12/2025,12/30/2026,12/30/2029,0.47,7.50%,,,,24.69,,,,,,,24.32,163.1,24.32,163.1,74.0,24.61,0.29,-138.49,,,84.542636,,,,,,-138.49,0.29,,88.101473,17029,7776,6089,10298,CICB,,52.69,Assetmanagement,,,,,,
CIM PRB,CIM,,8.0,06/02/2025,3/30/2024,NONE,0.65,8.00%,,,,24.92,,,24.36,24.75,2.31,0.69,21.6,25.59,19.64,25.59,64.0,24.73,3.13,-0.86,42.322524,43.367019,49.317829,18.563969,,,,,-0.86,5.09,18.272383,56.677578,26209,33505,23464,27726,CIM-B,FF,80.92,Reit,,,,,,
CIM PRC,CIM,,8.0,06/02/2025,9/30/2025,NONE,0.48,7.75%,,,,22.9,,,22.69,22.86,0.92,0.16,20.26,24.6,17.11,24.6,64.0,22.76,2.5,-1.84,47.195443,45.314653,57.131783,28.798956,,,,,-1.84,5.65,28.15889,53.011457,17170,15521,10970,14554,CIM-C,NFF,80.92,Reit,,,,,,
CIM PRD,CIM,,8.0,06/02/2025,3/30/2024,NONE,0.64,8.00%,,,,24.44,,,24.08,24.47,1.49,-0.12,20.77,25.21,19.6,25.25,64.0,24.26,3.49,-0.95,45.197195,46.343592,44.852713,19.503916,,,,,-0.99,4.66,19.583859,59.492635,19854,18792,14190,17612,CIM-D,FF,80.92,Reit,,,,,,
CIMN,CIM,BB,8.0,07/30/2025,5/15/2026,5/15/2029,0.56,9.00%,,,,25.15,,,24.9,25.14,1.01,0.05,23.62,25.74,23.62,25.85,32.0,24.79,1.17,-0.95,46.87993,45.718879,73.627907,19.503916,,,,,-1.06,1.17,20.290038,82.340426,9683,8971,6582,8412,CIMN,,80.92,Reit,,,,,,
CIMO,CIM,,8.0,07/30/2025,8/15/2026,8/15/2029,0.58,9.25%,,,,25.43,,,,,,,24.12,25.99,24.12,26.25,32.0,25.06,0.94,-0.93,,,76.48062,19.295039,,,,,-1.19,0.94,21.601513,83.846154,13154,11111,3401,9222,CIMO,,80.92,Reit,,,,,,
CMRE PRB,CMRE,,8.0,07/10/2025,8/6/2018,NONE,0.48,7.63%,25.18,24.82,,25.01,0.19,-0.17,25.32,25.64,-1.23,-2.46,24.02,26.25,22.13,28.16,12.0,24.59,0.57,-1.66,54.732691,54.942582,81.069767,26.91906,,,,,-3.57,2.46,45.611602,73.895254,1915,2455,2957,2442,CMRE-B,,119.96,Marineshipping,,,,,,
CMRE PRC,CMRE,,8.0,07/10/2025,1/21/2019,NONE,0.53,8.50%,25.32,25.17,,25.98,0.81,0.66,25.85,26.08,0.5,-0.4,25.05,26.94,24.5,27.19,12.0,25.52,0.47,-1.42,48.667835,47.372531,82.310078,24.412533,,,,,-1.67,1.02,26.443884,83.322422,3359,4018,3468,3615,CMRE-C,,119.96,Marineshipping,,,,,,
CMRE PRD,CMRE,,8.0,07/10/2025,5/13/2020,NONE,0.55,8.75%,25.83,25.07,,26.31,1.24,0.48,26.25,26.31,0.23,0.01,24.54,27.25,24.54,27.29,12.0,25.83,1.29,-1.42,49.614373,45.86587,72.139535,24.412533,,,,,-1.46,1.29,24.325347,81.554828,3081,2895,1947,2641,CMRE-D,,119.96,Marineshipping,,,,,,
CNOBP,CNOB,,8.0,05/15/2025,9/1/2026,NONE,0.33,5.25%,,,,22.87,,,22.53,21.76,1.5,5.1,20.6,23.42,15.62,23.42,46.0,22.71,2.11,-0.71,45.162138,27.161231,61.968992,16.997389,,,,,-0.71,7.09,16.759142,43.584288,5187,6016,3288,4831,CNOBP,NFF,38.47,Regionalbank,,,,,,
CODI PRA,CODI,,8.0,06/17/2025,7/30/2022,NONE,0.45,7.25%,25.08,22.03,,17.23,-4.8,-7.85,19.42,22.55,-11.29,-23.58,10.88,24.88,10.88,26.06,79.0,17.18,6.3,-7.7,90.0,,10.0,90.0,,,,,-8.88,6.3,,48.756137,12805,16087,14586,14493,CODI-A,,75.24,Conglomerates,,,,,,
CODI PRB,CODI,,8.0,06/17/2025,4/30/2028,NONE,0.49,7.88%,26.85,23.5,,18.59,-4.91,-8.26,20.31,22.98,-8.47,-19.12,12.75,24.6,12.75,26.5,79.0,18.53,5.78,-6.07,80.113935,,16.449612,72.976501,,,,,-7.97,5.78,90.0,52.160393,45964,54528,43164,47885,CODI-B,FF,75.24,Conglomerates,,,,,,
CODI PRC,CODI,,8.0,06/17/2025,1/30/2025,NONE,0.49,7.88%,25.79,23.89,,18.6,-5.29,-7.19,20.39,23.05,-8.78,-19.32,12.44,25.18,12.44,25.91,79.0,18.54,6.1,-6.64,81.200701,,12.48062,78.929504,,,,,-7.37,6.1,83.947037,50.065466,46935,55191,48129,50085,CODI-C,FF,75.24,Conglomerates,,,,,,
CRBD,CRBG,,11.0,05/30/2025,12/15/2029,12/15/2064,0.4,6.38%,,,,23.13,,,,,,,19.76,31.75,19.76,31.75,61.0,23.0,3.24,-8.75,,,47.953488,,,,,,-8.75,3.24,,68.788871,103303,50039,50047,67796,CRBD,,550.13,Assetmanagement,,,,,,
CSWCZ,CSWC,BB,8.0,07/15/2025,8/1/2025,8/1/2028,0.48,7.75%,,25.05,,25.59,0.54,,25.55,25.7,0.16,-0.43,25.03,26.19,24.79,26.48,17.0,25.2,0.17,-0.99,49.859772,47.482774,86.031008,19.921671,,,,,-1.28,0.41,22.509458,87.315876,3280,3351,2069,2900,CSWCZ,,50.37,Assetmanagement,,,,,,
CUBI PRE,CUBI,,8.0,05/30/2025,6/15/2021,NONE,0.61,6.45%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUBI-E,FF,31.54,Regionalbank,,,,,,
CUBI PRF,CUBI,,8.0,05/30/2025,12/14/2021,NONE,0.59,6.00%,,,,25.62,,,25.44,25.4,0.73,0.88,23.9,25.99,22.2,25.99,61.0,25.43,1.53,-0.56,47.861525,42.66881,69.162791,15.430809,,,,,-0.56,3.23,15.245902,68.854337,4470,5061,5840,5124,CUBI-F,FF,31.54,Regionalbank,,,,,,
DBRG PRH,DBRG,,8.0,07/10/2025,4/15/2020,NONE,0.45,7.13%,24.5,21.28,,20.86,-0.42,-3.64,22.55,23.7,-7.5,-11.98,20.2,25.45,18.88,25.8,12.0,20.47,0.27,-4.98,76.713409,89.926504,84.790698,61.592689,,,,,-5.33,1.59,63.366961,79.590835,11153,13945,11017,12038,DBRG-H,,176.33,Assetmanagement,,,,,,
DBRG PRI,DBRG,,8.0,07/10/2025,6/5/2022,NONE,0.45,7.15%,24.3,20.8,,21.03,0.24,-3.26,22.58,23.72,-6.84,-11.31,20.3,25.63,18.59,25.86,12.0,20.65,0.35,-4.98,74.399649,87.464401,83.79845,61.592689,,,,,-5.21,2.06,62.156368,76.513912,23795,33792,32845,30144,DBRG-I,,176.33,Assetmanagement,,,,,,
DBRG PRJ,DBRG,,8.0,07/10/2025,9/22/2022,NONE,0.45,7.13%,24.72,21.0,,20.79,-0.21,-3.93,22.42,23.57,-7.26,-11.78,20.3,25.34,18.72,25.66,12.0,20.4,0.1,-4.94,75.872042,89.191548,86.899225,61.174935,,,,,-5.26,1.68,62.660782,79.001637,23326,30651,23551,25843,DBRG-J,,176.33,Assetmanagement,,,,,,
DCOMG,DCOM,,10.0,06/30/2025,7/15/2029,7/15/2034,0.56,9.00%,,,,26.94,,,,,,,24.25,27.64,24.25,27.64,2.0,26.39,2.14,-1.25,,,61.596899,22.637076,,,,,-1.25,2.14,22.20681,75.99018,5622,7369,769,4586,DCOMG,NFF,43.64,Regionalbank,,,,,,
DDT,DDS,TP,10.5,07/11/2025,8/12/2003,8/1/2038,0.47,7.50%,27.0,25.4,,25.91,0.51,-1.09,25.95,25.89,-0.14,0.08,24.39,26.55,24.39,26.59,13.0,25.51,1.12,-1.04,50.911481,45.608636,74.248062,20.443864,,,,,-1.08,1.12,20.491803,82.667758,7300,8402,5547,7083,DDT,,15.68,Departmentstores,,,,,,
DRH PRA,DRH,,8.0,06/20/2025,8/31/2025,NONE,0.52,8.25%,27.0,24.87,,24.98,0.11,-2.02,25.05,25.35,-0.26,-1.48,23.51,26.26,23.51,27.54,82.0,24.93,1.42,-1.33,51.332165,51.341295,70.527132,23.472585,,,,,-2.61,1.42,35.92686,80.703764,8284,8300,3248,6611,DRH-A,,205.53,Reit,,,,,,
DSX PRB,DSX,,8.0,07/10/2025,3/14/2019,NONE,0.56,8.88%,25.8,25.16,,26.53,1.37,0.73,26.19,26.26,1.31,1.03,23.88,27.75,23.88,27.75,12.0,26.04,2.16,-1.71,45.828221,42.117593,61.348837,27.441253,,,,,-1.71,2.16,26.847415,75.859247,1830,1801,1897,1843,DSX-B,,115.77,Marineshipping,,,,,,
DX PRC,DX,,8.0,06/27/2025,4/25/2025,NONE,0.43,6.90%,,,,25.72,,,25.46,25.24,1.01,1.9,24.56,25.76,21.48,25.76,89.0,25.72,1.16,-0.04,46.87993,38.920533,73.751938,10.0,,,,,-0.04,4.24,10.0,62.242226,10405,13588,6175,10056,DX-C,NFF,107.00,Reit,,,,,,
ECC PRD,ECC,,8.0,05/12/2025,11/29/2026,NONE,0.14,6.75%,23.19,19.6,,19.47,-0.13,-3.72,19.28,19.55,1.01,-0.42,18.08,20.42,18.08,21.45,43.0,19.4,1.32,-1.02,46.87993,47.446027,71.767442,20.234987,,,,,-2.05,1.32,30.277427,81.358429,26289,16439,11878,18202,ECC-D,,120.18,Cef,,,,,,
ECCC,ECC,,8.0,05/12/2025,6/16/2024,6/30/2031,0.14,6.50%,24.15,20.52,,23.28,2.76,-0.87,22.78,22.91,2.21,1.63,21.87,24.89,20.24,24.89,43.0,23.21,1.34,-1.68,42.673094,39.912724,71.51938,27.127937,,,,,-1.68,2.97,26.544767,70.556465,3495,3771,3353,3539,ECCC,,120.18,Cef,,,,,,
ECCF,ECC,Term,8.0,05/12/2025,1/18/2026,1/31/2029,0.17,8.00%,,,,25.0,,,24.87,24.93,0.52,0.3,24.03,25.5,24.03,25.55,43.0,24.91,0.88,-0.59,48.597721,44.800184,77.224806,15.744125,,,,,-0.64,0.88,16.052963,84.238953,5477,4623,4361,4821,ECCF,,120.18,Cef,,,,,,
ECCU,ECC,,8.0,05/12/2025,6/30/2027,4/30/2030,0.15,7.75%,,,,24.68,,,,,,,23.89,25.45,23.89,25.45,43.0,24.6,0.71,-0.85,,,79.333333,18.45953,,,,,-0.85,0.71,18.171501,85.351882,17000,15909,7070,13326,ECCU,,120.18,Cef,,,,,,
ECCV,ECC,BB,8.0,06/13/2025,1/31/2025,1/31/2029,0.34,5.38%,22.84,21.11,,23.07,1.96,0.23,22.96,22.9,0.48,0.76,21.94,23.53,21.03,23.53,75.0,23.01,1.07,-0.52,48.737949,43.109784,74.868217,15.013055,,,,,-0.52,1.98,14.842371,77.037643,3081,3679,2004,2921,ECCV,,120.18,Cef,,,,,,
ECCW,ECC,BB,8.0,06/13/2025,3/29/2024,3/31/2031,0.42,6.75%,24.5,21.9,,23.49,1.59,-1.01,23.5,24.11,-0.06,-2.59,22.28,24.9,21.44,25.21,75.0,23.42,1.14,-1.48,50.631025,55.420303,74.0,25.039164,,,,,-1.79,1.98,27.654477,77.037643,2730,3876,4360,3655,ECCW,,120.18,Cef,,,,,,
