"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"CCIA","CCIA","CCIF","","Term","8.00","05/19/2025","10/31/2025","10/31/2028","0.18","8.75%","","","15.39","Cef","","50.00","","","","","","25.55","","","25.62","25.80","-0.26","-0.96","25.00","27.79","24.10","27.79","25.47","0.47","-2.32","51.33","49.43","82.31","33.81","-2.32","1.37","33.00","81.03","4384.00","5250.00","4993.00","4875.00","40.50","","","","48.71","1.00"
"CFG PRH","CFG-H","CFG","","","10.50","06/20/2025","7/6/2029","NONE","0.46","7.38%","","","433.40","Regionalbank","","82.00","","","","","","25.94","","","26.15","26.41","-0.80","-1.79","24.95","27.69","24.95","27.69","25.90","0.95","-1.79","53.23","52.48","76.36","28.28","-1.79","0.95","27.65","83.78","29055.00","26577.00","27358.00","27663.00","59.23","47.06","56.08","78.32","55.86","1.00"
"CGBDL","CGBDL","CGBD","","","8.00","05/15/2025","","","0.51","","","","72.90","Assetmanagement","","46.00","","","","","","25.53","","","25.65","25.67","-0.48","-0.53","25.05","26.66","25.05","26.66","25.28","0.23","-1.38","52.10","47.85","85.29","23.99","-1.38","0.23","23.52","88.49","8356.00","5879.00","5685.00","6640.00","45.91","","","","49.58","1.00"
"CHMI PRA","CHMI-A","CHMI","","","8.00","06/27/2025","8/17/2022","NONE","0.51","8.20%","22.65","19.60","32.66","Reit","","89.00","","","","","","20.95","1.35","-1.70","21.43","22.63","-2.24","-7.41","19.20","24.40","17.75","25.00","20.94","1.74","-3.46","58.27","73.13","66.56","45.72","-4.06","3.19","50.55","69.12","2769.00","2541.00","2846.00","2718.00","34.82","","","","59.69","1.00"
"CHMI PRB","CHMI-B","CHMI","FF","","8.00","06/27/2025","4/5/2024","NONE","0.64","8.25%","","","32.66","Reit","","89.00","","","","","","23.97","","","24.09","24.56","-0.52","-2.38","22.23","25.10","20.20","25.60","23.96","1.73","-1.14","52.24","54.65","66.68","21.49","-1.64","3.76","26.14","65.38","4331.00","3557.00","1503.00","3130.00","34.82","","","","49.92","1.00"
"CHSCL","CHSCL","-","","","8.00","06/13/2025","1/21/2025","NONE","0.47","7.50%","27.30","25.07","-","-","","75.00","","","","","","25.39","0.32","-1.91","25.71","25.87","-1.25","-1.85","25.31","26.42","24.92","26.63","25.31","0.00","-1.11","54.80","52.70","88.14","21.17","-1.32","0.39","22.91","87.45","22220.00","23162.00","19477.00","21620.00","53.11","","","","54.97","1.00"
"CHSCM","CHSCM","-","","","8.00","06/13/2025","9/30/2024","NONE","0.42","6.75%","26.40","24.05","-","-","","75.00","","","","","","24.04","-0.01","-2.36","24.75","25.10","-2.85","-4.22","23.80","25.97","23.51","26.19","23.97","0.17","-2.00","60.41","61.41","86.03","30.47","-2.22","0.46","31.99","86.99","18378.00","18299.00","21540.00","19405.00","53.11","","","","60.56","1.00"
"CHSCN","CHSCN","-","","","8.00","06/13/2025","3/31/2024","NONE","0.44","7.10%","26.30","24.62","-","-","","75.00","","","","","","24.63","0.01","-1.67","25.20","25.52","-2.26","-3.49","24.37","26.39","24.37","26.90","24.56","0.19","-1.83","58.34","58.73","85.78","28.69","-2.34","0.19","33.20","88.76","14314.00","14813.00","22469.00","17199.00","53.11","","","","58.52","1.00"
"CHSCO","CHSCO","-","","","8.00","06/13/2025","9/26/2023","NONE","0.49","7.88%","28.31","25.64","-","-","","75.00","","","","","","26.10","0.46","-2.21","26.43","26.69","-1.24","-2.21","25.60","27.40","25.46","27.73","26.02","0.42","-1.38","54.77","54.02","82.93","23.99","-1.71","0.56","26.85","86.33","18105.00","18915.00","27634.00","21551.00","53.11","","","","55.48","1.00"
"CICB","CICB","CION","","","8.00","06/12/2025","12/30/2026","12/30/2029","0.47","7.50%","","","52.69","Assetmanagement","","74.00","","","","","","24.69","","","","","","","24.32","163.10","24.32","163.10","24.61","0.29","-138.49","52.18","51.93","84.54","","-138.49","0.29","","88.10","17029.00","7776.00","6089.00","10298.00","41.18","","","","50.52","1.00"
