"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","EX_DIV_DATE","TIME_TO_DIV","DIV_BONUS","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"AGM PRE","AGM","","NR","12/27/2024","","","0.3600","5.7500","24.9000","21.5500","c550","21.4100","-0.1400","-3.4900","21.9700","22.9800","-2.5600","-6.8400","21.1700","24.3000","20.3100","24.9300","81.0000","21.3700","0.2000","-2.9300","61.5700","58.6400","84.3000","41.3800","-3.5300","-0.1800","51.1100","77.4200","-3.5600","1.0600","49.5200","79.8500","3325.0000","1941.0000","2431.0000","2565.0000","50.7400","0.0673","389.4400","2024-12-27","-189","0","0.1200","2446.8200"
"AGM PRF","AGM","","NR","12/27/2024","","","0.3300","5.2500","22.5000","19.9000","c525","19.5900","-0.3100","-2.9100","20.2200","21.1300","-3.1400","-7.2900","19.2200","23.3400","17.8200","23.3900","81.0000","19.5600","0.3400","-3.7800","64.4900","60.4900","80.9800","52.9200","-2.9400","-0.3400","45.8700","78.9900","-3.8300","1.7400","53.2200","72.6700","9315.0000","8376.0000","10566.0000","9419.0000","50.7400","0.0671","393.1200","2024-12-27","-189","0","0.1200","2446.8200"
"AGM PRG","AGM","","NR","12/27/2024","","","0.3000","4.8800","21.8000","18.2000","c475","18.2400","0.0400","-3.5600","18.8400","19.7700","-3.1700","-7.7200","17.8800","22.1500","17.1600","22.3700","81.0000","18.2100","0.3300","-3.9400","64.6500","62.2600","81.2200","55.0900","-3.5900","0.0100","51.6400","75.5500","-4.1600","1.0500","57.7500","79.9600","9037.0000","8705.0000","12658.0000","10133.0000","50.7400","0.0670","399.9400","2024-12-27","-189","0","0.1200","2446.8200"
"AHH PRA","AHH","","NR","1/2/2025","","","0.4200","6.7500","26.4300","20.5000","c675","21.4000","0.9100","-5.0200","21.9100","22.4600","-2.2600","-4.6800","19.8800","24.9300","19.5200","25.7600","87.0000","21.4000","1.5200","-3.5300","60.0500","49.7500","52.9700","49.5200","-5.0300","0.9000","64.4300","66.8100","-4.3600","1.8800","60.5000","71.1900","8050.0000","5420.0000","2608.0000","5359.0000","35.8100","0.0789","398.0900","2025-01-02","-183","0","0.1200","2446.8200"
"AIZN","AIZ","BB","10","12/27/2024","","","0.3300","5.2500","24.0000","17.7400","c525","20.7900","3.0500","-3.2100","19.7000","20.9200","5.5200","-0.6100","18.0100","23.1400","17.7000","23.1400","81.0000","20.7600","2.7500","-2.3800","20.7600","33.0000","23.7700","33.9000","-3.2400","3.0200","48.5300","45.9700","-2.3800","3.0600","33.3300","58.7200","12653.0000","14822.0000","18928.0000","15468.0000","63.2800","0.0632","284.3300","2024-12-27","-189","0","0.1200","2446.8200"
"ALL PRH","ALL","","12","12/27/2024","","","0.3200","5.1000","24.7800","18.7400","c500","21.0500","2.3100","-3.7300","21.0200","22.1900","0.1300","-5.1500","19.3700","24.8500","18.3800","24.9700","81.0000","21.0200","1.6500","-3.8300","47.9800","51.6900","49.8800","53.6000","-3.7600","2.2800","53.1500","53.2400","-3.9500","2.6400","54.8700","63.1600","86187.0000","74462.0000","73929.0000","78193.0000","75.5700","0.0607","341.4500","2024-12-27","-189","0","0.1200","2446.8200"
"ALL PRI","ALL","","12","12/27/2024","","","0.3000","4.7500","24.9200","17.8500","c475","19.3600","1.5100","-5.5600","19.5200","20.8500","-0.7900","-7.1300","18.5600","23.4500","17.5000","24.4900","81.0000","19.3300","0.7700","-4.1200","52.6300","59.8400","70.7700","57.5400","-5.5900","1.4800","69.4000","61.1100","-5.1600","1.8300","71.4800","71.7200","23058.0000","21776.0000","28646.0000","24493.0000","75.5700","0.0614","376.7900","2024-12-27","-189","0","0.1200","2446.8200"
"AMH PRG","AMH","","9","12/13/2024","","","0.3700","5.8800","25.4700","21.4300","c575","22.8400","1.4100","-2.6300","23.0600","23.4200","-0.9500","-2.4600","21.7600","25.1600","21.1000","25.3400","67.0000","22.7500","0.9900","-2.4100","53.4300","40.6200","65.5500","34.3100","-2.7200","1.3200","43.9200","62.6800","-2.5900","1.6500","36.2100","73.6200","8014.0000","9408.0000","9011.0000","8811.0000","60.3600","0.0646","340.5300","2024-12-13","-203","0","0.1200","2446.8200"
"AMH PRH","AMH","","9","12/13/2024","","","0.3900","6.2500","25.8500","22.3800","c625","23.8000","1.4200","-2.0500","24.1100","24.3100","-1.2800","-2.1100","22.7000","25.4900","21.7400","26.2500","67.0000","23.7000","1.0000","-1.7900","55.1000","39.1800","65.3100","25.8900","-2.1500","1.3200","38.8600","62.6800","-2.5500","1.9600","35.6600","70.3400","7779.0000","7385.0000","6756.0000","7306.0000","60.3600","0.0659","337.9300","2024-12-13","-203","0","0.1200","2446.8200"
"ASB PRE","ASB","","10","12/2/2024","","","0.3700","5.8800","25.1000","16.7700","c575","20.7400","3.9700","-4.3600","20.4100","21.3600","1.6000","-2.8800","19.2500","23.7400","16.2000","23.7500","56.0000","20.6000","1.3500","-3.1400","40.5600","42.3500","57.0000","44.2300","-4.5000","3.8300","59.7200","38.0100","-3.1500","4.4000","43.8900","44.5600","3529.0000","3059.0000","2790.0000","3126.0000","55.0600","0.0714","336.0700","2024-12-02","-214","0","0.1200","2446.8200"
"ASB PRF","ASB","","10","12/2/2024","","","0.3500","5.6300","25.2500","16.4000","c550","19.8500","3.4500","-5.4000","19.5600","20.4300","1.4800","-2.8400","18.5100","22.4500","15.5500","22.9100","56.0000","19.7200","1.2100","-2.7300","41.1600","42.1800","60.3300","38.6600","-5.5300","3.3200","68.8700","43.0200","-3.1900","4.1700","44.4400","46.9900","5530.0000","4754.0000","3243.0000","4509.0000","55.0600","0.0714","339.9400","2024-12-02","-214","0","0.1200","2446.8200"
"ATH PRB","-","","11","12/13/2024","","","0.3500","5.6300","25.2600","18.0000","c550","20.2800","2.2800","-4.9800","19.6900","21.0800","3.0100","-3.8000","18.3400","23.5300","16.6600","23.5300","67.0000","20.1900","1.8500","-3.3400","33.4300","46.1300","45.1300","46.9400","-5.0700","2.1900","64.7800","54.1300","-3.3400","3.5300","46.5000","53.7500","22342.0000","23005.0000","27718.0000","24355.0000","44.0500","0.0697","337.4100","2024-12-13","-203","0","0.1200","2446.8200"
"ATH PRD","-","","11","12/13/2024","","","0.3000","4.8800","21.6900","15.2400","c475","17.2000","1.9600","-4.4900","17.0200","18.2800","1.0800","-5.9100","15.8600","20.6100","15.1900","20.6100","67.0000","17.1200","1.2600","-3.4900","43.1800","54.8100","59.1400","48.9800","-4.5700","1.8800","60.3400","57.1700","-3.4900","1.9300","48.5600","70.6600","47607.0000","45449.0000","60910.0000","51322.0000","44.0500","0.0713","368.6400","2024-12-13","-203","0","0.1200","2446.8200"
"AXS PRE","AXS","","11.5","12/26/2024","","","0.3400","5.5000","24.0400","19.2600","c550","20.1200","0.8600","-3.9200","20.4900","21.4300","-1.8000","-6.1300","19.4500","23.2100","18.7700","23.6600","80.0000","20.0800","0.6300","-3.1300","57.7300","55.7200","74.0900","44.0900","-3.9600","0.8200","54.9300","67.5900","-3.5800","1.3100","49.7900","77.2100","31688.0000","29527.0000","30751.0000","30655.0000","67.3500","0.0685","383.2700","2024-12-26","-190","0","0.1200","2446.8200"
"BAC PRB","BAC","","11","10/29/2024","6/16/2023","","0.3800","6.0000","25.6900","23.0200","c600","25.2000","2.1800","-0.4900","24.7200","25.0500","1.9200","0.6100","24.0400","25.6300","22.3000","25.6300","22.0000","24.9100","0.8700","-0.7200","38.9400","27.9800","68.4000","11.3600","-0.7800","1.8900","26.6900","57.0800","-0.7200","2.6100","10.5500","63.4700","83271.0000","98899.0000","139367.0000","107179.0000","78.0400","0.0602","286.7000","2024-10-29","-248","0","0.1200","2446.8200"
"BAC PRK","BAC","","11","1/2/2025","","","0.3700","5.8800","25.6800","22.0000","c575","24.3900","2.3900","-1.2900","24.2300","24.7500","0.6500","-1.4500","23.3500","25.3200","21.5100","25.4300","87.0000","24.3800","1.0300","-0.9400","45.3500","36.4600","64.6000","14.3500","-1.3000","2.3800","31.3100","52.2600","-1.0500","2.8700","15.0800","60.7300","51885.0000","56612.0000","58913.0000","55803.0000","78.0400","0.0603","297.8100","2025-01-02","-183","0","0.1200","2446.8200"
"BAC PRM","BAC","","11","12/2/2024","","","0.3400","5.3800","25.1800","20.7000","c525","22.1000","1.4000","-3.0800","22.0400","23.1100","0.2500","-4.3700","20.8300","24.8800","20.5400","24.8800","56.0000","21.9700","1.1400","-2.9100","47.3700","48.4800","61.9900","41.1000","-3.2100","1.2700","48.2700","63.1700","-2.9100","1.4300","40.6000","75.9400","90244.0000","83312.0000","90212.0000","87922.0000","78.0400","0.0612","342.3300","2024-12-02","-214","0","0.1200","2446.8200"
