PREF IBKR,CMON,Sector,IMPLIED_SOLIDITY,CALCULATED_SOLIDITY,ERROR,CRDT SCORE_,COM_MKTCAP,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH
AXS PRE,AXS,Insurance,40.65284516982797,54.35927221172023,13.706427041892262,11.5,7.57,96.2,70.16,107.19
BAC PRM,BAC,Bank,55.20268381325132,56.44230769230769,1.2396238790563743,11.0,351.96,46.72,33.06,49.31
BAC PRN,BAC,Bank,55.71168988491825,56.44230769230769,0.7306178073894429,11.0,351.96,46.72,33.06,49.31
BAC PRO,BAC,Bank,55.41322314049585,56.44230769230769,1.0290845518118417,11.0,351.96,46.72,33.06,49.31
BAC PRP,BAC,Bank,56.951811729548034,56.44230769230769,0.5095040372403403,11.0,351.96,46.72,33.06,49.31
BAC PRQ,BAC,Bank,55.66316539077798,56.44230769230769,0.7791423015297099,11.0,351.96,46.72,33.06,49.31
BAC PRS,BAC,Bank,56.501852150104654,56.44230769230769,0.05954445779696016,11.0,351.96,46.72,33.06,49.31
COF PRI,COF,Bank,47.11409395973151,57.839101675024004,10.725007715292492,10.0,140.7,219.79,128.22,221.95
COF PRJ,COF,Bank,45.22625356706074,57.839101675024004,12.612848107963266,10.0,140.7,219.79,128.22,221.95
COF PRK,COF,Bank,46.02024811065164,57.839101675024004,11.818853564372361,10.0,140.7,219.79,128.22,221.95
COF PRL,COF,Bank,46.09325486645538,57.839101675024004,11.745846808568622,10.0,140.7,219.79,128.22,221.95
CGABL,,,,49.3,,10.0,10000.0,20.0,15.0,25.0
CMSA,CMS,Ute,44.77220432581685,47.86503654080389,3.092832214987041,11.5,21.04,70.35,60.03,76.45
CMSC,CMS,Ute,44.2622950819672,47.86503654080389,3.6027414588366895,11.5,21.04,70.35,60.03,76.45
CMSD,CMS,Ute,45.6176765985939,47.86503654080389,2.2473599422099895,11.5,21.04,70.35,60.03,76.45
CMS PRC,CMS,Ute,61.11239860950172,46.535036540803894,14.577362068697823,10.5,21.04,70.35,60.03,76.45
CNO PRA,CNO,Insurance,35.882352941176485,40.99112359550561,5.108770654329128,8.0,3.6,36.33,28.96,43.2
DLR PRK,DLR,eREIT,50.886075949367104,45.224368111682594,5.66170783768451,10.5,56.74,168.26,129.95,198.0
DLR PRJ,DLR,eREIT,54.24692405600337,45.224368111682594,9.022555944320779,10.5,56.74,168.26,129.95,198.0
DLR PRL,DLR,eREIt,49.03876792352627,45.224368111682594,3.8143998118436784,10.5,56.74,168.26,129.95,198.0
DTW,DTE,Ute,55.10729613733906,55.60141672674838,0.49412058940932013,11.5,27.78,133.88,112.65,140.39
DTG,DTE,Ute,49.391634980988606,55.60141672674838,6.209781745759777,11.5,27.78,133.88,112.65,140.39
DTB,DTE,Ute,49.5900857959962,55.60141672674838,6.01133093075218,11.5,27.78,133.88,112.65,140.39
DUKB,DUK,Ute,65.01963153125948,48.61286923800564,16.406762293253834,12.0,91.3,117.46,104.01,125.27
EAI,,,,49.3,,10.0,10000.0,20.0,15.0,25.0
ELC,ETR,Ute,62.64182895850974,66.18428571428572,3.54245675577598,15.0,35.22,81.8,53.39,88.39
EMP,ETR,Ute,64.12017167381971,65.5192857142857,1.3991140404659888,14.5,35.22,81.8,53.39,88.39
ENO,ETR,Ute,50.52186177715088,63.52428571428571,13.002423937134829,13.0,35.22,81.8,53.39,88.39
EQH PRA,EQH,Insurance,48.41282251759189,55.18336228287841,6.770539765286522,10.5,16.05,52.8,36.46,56.61
EQH PRC,EQH,Insurance,47.30317733604633,55.18336228287841,7.880184946832081,10.5,16.05,52.8,36.46,56.61
AGM PRF,AGM,Finance,39.60490463215258,36.74660686562015,2.8582977665324307,8.0,1.89,177.33,159.63,217.6
AGM PRG,AGM,Finance,40.57596822244291,36.74660686562015,3.8293613568227585,8.0,1.89,177.33,159.63,217.6
FRT PRC,FRT,eREIT,53.60518180479906,49.17607455558503,4.429107249214027,12.5,8.24,94.88,80.65,118.34
F PRB,F,Other,35.76041010882273,43.056216848673955,7.295806739851223,9.5,46.85,11.78,8.44,14.85
F PRC,F,Other,36.72149744753261,42.39121684867395,5.669719401141336,9.0,46.85,11.78,8.44,14.85
GPJA,SO,Ute,64.84642796538262,57.931963696369635,6.914464269012981,11.5,101.84,92.66,79.3,94.45
GL PRD,,,,49.3,,10.0,10000.0,20.0,15.0,25.0
JPM PRJ,JPM,Bank,66.8214220435021,58.47130331753554,8.350118725966553,11.5,797.21,286.78,190.9,296.4
JPM PRK,JPM,Bank,64.99906594433025,58.47130331753554,6.527762626794711,11.5,797.21,286.78,190.9,296.4
