"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","Normalized_COM_6M","Normalized_COM_3M","Normalized_52W_LOW","FINAL_THG","CS_FACTOR"
"ASBA","ASBA","ASB","NFF","","11.00","05/15/2025","3/1/2028","3/1/2033","0.41","6.63%","","","165.95","Regionalbank","","40.00","","","","","","23.97","","","24.06","24.19","-0.36","-0.91","22.99","25.30","18.82","25.30","23.74","0.75","-1.56","58.75","51.75","79.62","25.66","-1.56","4.92","26.69","58.77","17098.00","14281.00","11946.00","14442.00","55.46","48.25","65.82","78.92","56.19","1.00"
"ATCO PRD","ATCO-D","-","","","8.00","07/25/2025","1/30/2018","NONE","0.50","7.95%","25.27","23.86","-","-","","21.00","","","","","","25.35","1.50","0.09","25.05","25.10","1.25","1.02","24.14","25.98","22.11","25.98","24.98","0.84","-1.00","53.43","45.93","78.52","19.78","-1.00","2.87","20.42","72.08","4832.00","6354.00","10693.00","7293.00","53.11","","","","50.82","1.00"
"ATCO PRH","ATCO-H","-","","","8.00","07/25/2025","8/11/2021","NONE","0.49","7.88%","24.95","22.38","-","-","","21.00","","","","","","25.51","3.13","0.56","24.89","24.94","2.50","2.28","23.78","27.47","21.36","27.47","25.13","1.35","-2.34","49.29","42.13","72.29","33.86","-2.34","3.77","35.43","66.23","11658.00","14337.00","24949.00","16982.00","53.11","","","","48.25","1.00"
"ATCOL","ATCOL","-","","","8.00","07/15/2025","5/13/2023","10/30/2027","0.45","7.13%","","","-","-","","11.00","","","","","","25.32","","","24.96","25.04","1.44","1.11","22.45","25.33","22.45","25.90","24.93","2.48","-0.40","52.80","45.66","58.49","13.47","-0.97","2.48","20.08","74.61","2074.00","2592.00","2985.00","2550.00","53.11","","","","50.16","1.00"
"ATH PRA","ATH-A","-","NFF","","11.50","06/13/2025","6/30/2029","NONE","0.40","6.35%","","","-","-","","69.00","","","","","","24.90","","","24.15","24.56","3.09","1.37","21.60","25.71","19.81","25.71","24.81","3.21","-0.90","47.34","44.88","49.57","18.73","-0.90","5.00","19.30","58.25","38939.00","39289.00","51949.00","43393.00","53.11","","","","50.22","1.00"
"ATH PRE","ATH-E","-","NFF","","11.50","06/13/2025","12/30/2027","NONE","0.48","7.75%","","","-","-","","69.00","","","","","","26.30","","","25.64","26.19","2.58","0.41","24.17","27.50","23.77","27.50","26.19","2.02","-1.31","49.02","47.77","64.11","23.04","-1.31","2.42","23.89","75.00","23143.00","26575.00","46267.00","31995.00","53.11","","","","51.34","1.00"
"ATHS","ATHS","-","NFF","","12.00","06/12/2025","3/30/2029","3/30/2064","0.45","7.25%","","","-","-","","68.00","","","","","","25.13","","","25.09","25.33","0.18","-0.78","24.01","26.25","24.01","26.25","25.02","1.01","-1.23","56.97","51.36","76.44","22.19","-1.23","1.01","23.00","84.16","45754.00","45801.00","39330.00","43629.00","53.11","","","","56.68","1.00"
"ATLCL","ATLCL","ATLC","","","8.00","07/11/2025","10/2/2026","12/31/2026","0.38","6.13%","24.52","21.61","15.11","Creditservices","","7.00","","","","","","24.34","2.73","-0.18","24.10","23.68","0.98","2.78","23.29","24.76","20.62","24.76","23.99","0.70","-0.77","54.32","40.63","80.23","17.36","-0.77","3.37","17.84","68.83","5399.00","6436.00","5421.00","5752.00","42.28","","","","46.80","1.00"
"ATLCP","ATLCP","ATLC","","","8.00","05/30/2025","6/11/2026","NONE","0.48","7.63%","24.15","20.61","15.11","Creditservices","","55.00","","","","","","22.04","1.43","-2.11","22.87","23.04","-3.64","-4.33","21.66","24.50","18.51","24.80","21.85","0.19","-2.65","69.61","62.06","86.46","37.12","-2.95","3.34","42.27","69.03","4736.00","5271.00","9687.00","6565.00","42.28","","","","61.53","1.00"
"ATLCZ","ATLCZ","ATLC","","BB","8.00","07/01/2025","1/31/2028","1/31/2029","0.58","9.25%","","","15.11","Creditservices","","87.00","","","","","","24.90","","","25.01","25.01","-0.50","-0.47","23.40","25.50","23.40","25.50","24.87","1.47","-0.63","59.22","50.42","70.82","15.89","-0.63","1.47","16.27","81.17","23613.00","19129.00","21902.00","21548.00","43.13","","","","53.83","1.00"
"AUB PRA","AUB-A","AUB","","","8.00","05/16/2025","9/1/2025","NONE","0.43","6.88%","26.14","19.25","142.37","Regionalbank","","41.00","","","","","","23.95","4.70","-2.19","24.23","24.35","-1.15","-1.65","22.86","25.93","19.21","25.93","23.72","0.86","-2.21","61.37","53.98","78.27","32.50","-2.21","4.51","33.98","61.43","13763.00","10454.00","8140.00","10786.00","46.77","","","","56.17","1.00"
"BAC PRE","BAC-E","BAC","FLR","","11.00","07/25/2025","11/15/2011","NONE","0.31","4.00%","","","7537.21","Bank","","21.00","","","","","","21.73","","","22.17","23.44","-1.97","-7.28","20.81","25.50","19.52","25.50","21.49","0.68","-4.01","64.08","70.95","80.47","51.42","-4.01","1.97","54.15","77.92","19578.00","25874.00","32571.00","26007.00","76.46","58.95","74.82","84.07","70.93","1.00"
"BANC PRF","BANC-F","BANC","NFF","","8.00","05/19/2025","9/1/2027","NONE","0.49","7.75%","","","169.33","Regionalbank","","44.00","","","","","","24.70","","","24.68","24.43","0.08","1.10","23.51","25.60","20.94","25.60","24.45","0.94","-1.15","57.30","45.69","77.30","21.35","-1.15","3.51","22.10","67.92","41464.00","33026.00","24142.00","32877.00","44.38","","","","52.13","1.00"
"BANFP","BANFP","BANF","","TP","8.00","06/27/2025","3/21/2009","3/31/2034","0.45","7.20%","27.53","27.00","33.23","Regionalbank","","83.00","","","","","","25.90","-1.10","-1.63","26.04","25.86","-0.53","0.15","25.45","29.45","24.70","29.45","25.86","0.41","-3.59","59.32","48.55","83.77","47.00","-3.59","1.16","49.44","83.18","540.00","423.00","253.00","405.00","54.55","","","","54.08","1.00"
"BC PRA","BC-A","BC","","BB","11.50","06/29/2025","10/15/2023","10/15/2048","0.40","6.50%","26.22","22.50","65.69","Consumercyclical","","85.00","","","","","","24.19","1.68","-2.04","23.69","24.41","2.06","-0.94","22.58","25.43","22.09","25.92","24.16","1.58","-1.27","50.74","51.84","69.48","22.61","-1.76","2.07","28.94","77.27","7898.00","8821.00","9028.00","8582.00","47.38","","","","51.04","1.00"
"BC PRC","BC-C","BC","","BB","11.50","06/29/2025","4/15/2024","4/15/2049","0.39","6.38%","25.99","22.33","65.69","Consumercyclical","","85.00","","","","","","24.05","1.72","-1.94","23.36","24.29","2.96","-0.98","22.00","25.43","21.76","25.77","24.03","2.03","-1.40","47.77","51.96","63.98","23.98","-1.74","2.27","28.71","75.97","13932.00","17092.00","25127.00","18717.00","47.38","","","","50.54","1.00"
"BK PRK","BK-K","BK","NFF","","12.50","06/05/2025","3/20/2030","NONE","0.41","6.15%","","","715.58","Bank","","61.00","","","","","","25.85","","","","","","","24.54","25.94","24.54","25.94","25.72","1.18","-0.22","58.17","53.63","74.37","11.58","-0.22","1.18","11.68","83.05","201561.00","201561.00","90874.00","164665.00","76.68","","","","70.35","1.00"
"BML PRG","BML-G","BAC","FLR","","11.00","05/15/2025","11/28/2009","NONE","0.33","3.00%","","","7537.21","Bank","","40.00","","","","","","20.86","","","21.44","22.29","-2.69","-6.42","20.25","23.50","19.75","23.68","20.68","0.43","-2.82","66.47","68.36","83.53","38.91","-3.00","0.93","42.83","84.68","5760.00","4188.00","6592.00","5513.00","76.46","58.95","74.82","84.07","69.57","1.00"
