PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
ACGLN,ACGL,,12,12/13/2024,,,0.28,4.55,21.7,16.62,c450,17.15,0.53,-4.55,17.36,18.86,-1.18,-9.07,16.44,20.99,16.44,21.22,73.0,17.1,0.66,-3.89,52.55,67.24,70.3,52.75,-4.6,0.48,61.13,68.17,-4.12,0.66,54.07,82.74,33071.0,32833.0,35307.0,33737.0,66.99,0.0665,436.58,1.12,2103.86,9
ACGLO,ACGL,,11.5,12/13/2024,,,0.34,5.45,24.93,19.34,c550,20.7,1.36,-4.23,20.76,22.07,-0.31,-6.19,19.99,23.82,19.2,24.5,73.0,20.64,0.65,-3.18,48.32,55.14,70.53,43.46,-4.29,1.3,58.43,60.83,-3.86,1.44,50.66,74.98,19885.0,18509.0,14436.0,17610.0,66.99,0.066,411.62,1.12,2103.86,9
ACP PRA,ACP,,15,12/16/2024,,,0.33,5.25,24.61,21.47,c525,20.6,-0.87,-4.01,21.36,22.9,-3.54,-10.06,20.05,25.0,19.65,26.33,76.0,20.55,0.5,-4.45,64.01,71.4,74.09,60.07,-4.06,-0.92,56.43,80.69,-5.78,0.9,75.84,80.35,2037.0,1795.0,1978.0,1936.0,56.09,0.0639,443.27,1.12,2103.86,11
ADC PRA,ADC,,11,10/22/2024,,,0.27,4.25,20.92,15.83,c425,16.95,1.12,-3.97,17.43,18.46,-2.74,-8.18,16.91,21.94,15.71,21.94,21.0,16.74,-0.17,-5.2,60.13,63.5,90.0,69.87,-4.18,0.91,57.48,64.32,-5.2,1.03,68.23,79.05,15340.0,11999.0,9936.0,12425.0,65.32,0.0635,443.98,1.12,2103.86,5
AEFC,AEG,BB,12.5,11/29/2024,12/15/2024,,0.32,5.1,24.32,18.56,c500,19.72,1.16,-4.6,20.03,21.03,-1.53,-6.22,18.61,22.7,18.24,22.9,59.0,19.61,1.0,-3.09,54.25,55.27,62.23,42.29,-4.71,1.05,62.09,63.06,-3.29,1.37,43.18,75.67,37485.0,43497.0,34566.0,38516.0,35.76,0.065,373.93,1.12,2103.86,9
AFGC,AFG,BB,11.5,11/29/2024,,,0.32,5.13,26.22,18.46,c500,19.02,0.56,-7.2,19.12,20.71,-0.5,-8.15,18.01,23.42,18.01,23.42,59.0,18.91,0.9,-4.51,49.25,63.38,64.6,60.85,-7.31,0.45,84.7,68.43,-4.51,0.9,59.18,80.35,6187.0,5388.0,7524.0,6366.0,64.8,0.0678,437.24,1.12,2103.86,2
AFGD,AFG,BB,11.5,11/15/2024,,,0.35,5.63,25.56,20.36,c550,20.47,0.11,-5.09,20.75,22.71,-1.35,-9.86,18.19,25.37,18.19,25.61,45.0,20.29,2.1,-5.08,53.38,70.56,36.11,68.3,-5.27,-0.07,66.96,73.09,-5.32,2.1,69.8,68.41,7274.0,7007.0,6548.0,6943.0,64.8,0.0694,439.29,1.12,2103.86,5
AGM PRD,AGM,,NR,12/27/2024,,,0.36,5.7,25.28,21.04,c550,21.41,0.37,-3.87,21.97,22.88,-2.54,-6.41,20.92,24.86,20.26,25.7,87.0,21.4,0.48,-3.46,59.16,56.07,74.57,47.12,-3.88,0.36,54.87,69.24,-4.3,1.14,56.43,77.96,4367.0,4428.0,6988.0,5261.0,50.74,0.0666,410.1,1.12,2103.86,5
AGM PRE,AGM,,NR,12/27/2024,,,0.36,5.75,24.9,21.55,c550,21.57,0.02,-3.33,22.03,23.0,-2.09,-6.22,21.25,24.4,20.31,24.93,87.0,21.56,0.31,-2.84,56.97,55.27,78.61,39.02,-3.34,0.01,50.17,72.37,-3.37,1.25,44.23,76.87,3635.0,1923.0,2617.0,2725.0,50.74,0.0667,402.32,1.12,2103.86,11
AGM PRF,AGM,,NR,12/27/2024,,,0.33,5.25,22.5,19.9,c525,19.44,-0.46,-3.06,20.29,21.17,-4.18,-8.19,19.26,23.34,17.82,23.99,87.0,19.43,0.17,-3.91,67.12,63.54,81.93,53.01,-3.07,-0.47,47.83,76.67,-4.56,1.61,59.84,73.28,9180.0,8152.0,9428.0,8920.0,50.74,0.0676,428.75,1.12,2103.86,3
AGM PRG,AGM,,NR,12/27/2024,,,0.3,4.88,21.8,18.2,c475,18.27,0.07,-3.53,18.89,19.79,-3.3,-7.69,17.88,22.15,17.16,22.37,87.0,18.26,0.38,-3.89,62.85,61.44,76.94,52.75,-3.54,0.06,51.91,71.92,-4.11,1.1,53.93,78.36,9043.0,8225.0,11870.0,9713.0,50.74,0.0668,420.01,1.12,2103.86,1
AHH PRA,AHH,,NR,1/2/2025,,,0.42,6.75,26.43,20.5,c675,21.81,1.32,-4.61,21.94,22.47,-0.53,-2.9,19.88,24.93,19.52,25.76,3.0,21.41,1.53,-3.52,49.39,41.33,49.64,47.91,-5.02,0.91,64.78,64.32,-4.35,1.89,57.08,70.5,8170.0,5522.0,3627.0,5773.0,35.81,0.0788,388.69,1.12,2103.86,5
AIZN,AIZ,BB,10,12/27/2024,,,0.33,5.25,24.0,17.74,c525,20.34,2.6,-3.66,19.66,20.92,3.44,-2.78,18.01,23.14,17.7,23.14,87.0,20.33,2.32,-2.81,30.11,40.82,30.89,38.63,-3.67,2.59,53.04,49.28,-2.81,2.63,36.89,63.13,11875.0,13182.0,11776.0,12278.0,63.28,0.0646,350.64,1.12,2103.86,1
ALL PRH,ALL,,12,12/27/2024,,,0.32,5.1,24.78,18.74,c500,20.87,2.13,-3.91,21.08,22.21,-1.0,-6.04,19.37,24.85,18.38,24.97,87.0,20.86,1.49,-3.99,51.68,54.51,50.59,54.05,-3.92,2.12,55.22,53.49,-4.11,2.48,53.93,64.63,86243.0,72306.0,75646.0,78065.0,75.57,0.0611,402.94,1.12,2103.86,9
ALL PRI,ALL,,12,12/27/2024,,,0.3,4.75,24.92,17.85,c475,19.45,1.6,-5.47,19.57,20.87,-0.62,-6.81,18.56,23.45,17.5,24.49,87.0,19.44,0.88,-4.01,49.83,57.75,65.07,54.31,-5.48,1.59,68.78,58.23,-5.05,1.94,66.26,70.0,23508.0,20730.0,26601.0,23613.0,75.57,0.0611,420.39,1.12,2103.86,10
AMH PRG,AMH,,9,12/13/2024,,,0.37,5.88,25.47,21.43,c575,22.77,1.34,-2.7,23.07,23.41,-1.29,-2.75,21.76,25.16,21.1,25.34,73.0,22.7,0.94,-2.46,53.08,40.7,63.65,34.05,-2.77,1.27,45.22,61.1,-2.64,1.6,34.66,73.38,8130.0,9785.0,10658.0,9524.0,60.36,0.0648,377.33,1.12,2103.86,7
AMH PRH,AMH,,9,12/13/2024,,,0.39,6.25,25.85,22.38,c625,23.48,1.1,-2.37,24.12,24.32,-2.67,-3.45,22.7,25.49,21.74,26.25,73.0,23.41,0.71,-2.08,59.79,43.64,69.11,29.08,-2.44,1.03,42.35,63.24,-2.84,1.67,37.28,72.69,7882.0,7279.0,5991.0,7051.0,60.36,0.0667,388.99,1.12,2103.86,7
ASB PRE,ASB,,10,12/2/2024,,,0.37,5.88,25.1,16.77,c575,20.4,3.62,-4.71,20.46,21.35,-0.35,-4.49,19.25,23.74,16.2,23.75,62.0,20.27,1.02,-3.47,48.52,48.01,61.75,47.25,-4.83,3.5,63.13,41.14,-3.48,4.07,45.67,48.81,3685.0,2928.0,3848.0,3487.0,55.06,0.0725,385.57,1.12,2103.86,1
ASB PRF,ASB,,10,12/2/2024,,,0.35,5.63,25.25,16.4,c550,19.3,2.9,-5.95,19.61,20.43,-1.6,-5.52,18.51,22.45,15.3,22.91,62.0,19.19,0.68,-3.26,54.59,52.33,69.82,44.51,-6.06,2.79,73.83,47.49,-3.72,3.89,48.82,50.6,5919.0,4723.0,3373.0,4672.0,55.06,0.0733,402.44,1.12,2103.86,1
ATH PRB,-,,11,12/13/2024,,,0.35,5.63,25.26,18.0,c550,19.8,1.8,-5.46,19.71,21.1,0.43,-6.18,18.34,23.53,16.66,23.53,73.0,19.73,1.39,-3.8,44.73,55.1,52.97,51.57,-5.53,1.73,69.22,56.98,-3.8,3.07,49.87,58.76,21477.0,21218.0,19488.0,20727.0,44.05,0.0713,385.12,1.12,2103.86,10
ATH PRD,-,,11,12/13/2024,,,0.3,4.88,21.69,15.24,c475,16.89,1.65,-4.8,17.06,18.31,-0.97,-7.75,15.86,20.61,15.19,20.61,73.0,16.83,0.97,-3.78,51.53,61.7,62.94,51.31,-4.86,1.59,63.39,58.23,-3.78,1.64,49.61,72.99,46850.0,43301.0,47488.0,45880.0,44.05,0.0725,406.34,1.12,2103.86,8
AXS PRE,AXS,,11.5,12/26/2024,,,0.34,5.5,24.04,19.26,c550,20.42,1.16,-3.62,20.54,21.45,-0.59,-4.82,19.45,23.21,18.77,23.66,86.0,20.4,0.95,-2.81,49.68,49.39,63.41,38.63,-3.64,1.14,52.78,62.26,-3.26,1.63,42.79,73.08,31353.0,28635.0,27234.0,29074.0,67.35,0.0674,402.35,1.12,2103.86,9
BAC PRB,BAC,,11,10/29/2024,6/16/2023,,0.38,6.0,25.69,23.02,c600,24.87,1.85,-0.82,24.73,25.05,0.56,-0.71,24.04,25.63,22.3,25.63,28.0,24.61,0.57,-1.02,44.1,32.13,72.43,15.23,-1.08,1.59,30.52,58.23,-1.02,2.31,13.41,66.32,80844.0,92816.0,136655.0,103438.0,78.04,0.061,358.61,1.12,2103.86,4
BAC PRK,BAC,,11,1/2/2025,,,0.37,5.88,25.68,22.0,c575,24.46,2.46,-1.22,24.26,24.76,0.81,-1.2,23.35,25.32,21.51,25.43,3.0,24.1,0.75,-1.22,42.88,34.19,68.16,17.84,-1.58,2.1,34.87,53.67,-1.33,2.59,17.48,63.53,51814.0,55015.0,70449.0,59093.0,78.04,0.061,358.68,1.12,2103.86,4
BAC PRM,BAC,,11,12/2/2024,,,0.34,5.38,25.18,20.7,c525,21.78,1.08,-3.4,22.11,23.13,-1.5,-5.82,20.83,24.88,20.54,24.88,62.0,21.67,0.84,-3.21,54.1,53.59,66.02,43.86,-3.51,0.97,51.65,63.78,-3.21,1.13,42.13,78.06,90513.0,82259.0,113292.0,95355.0,78.04,0.0621,414.5,1.12,2103.86,2
BAC PRN,BAC,,11,12/2/2024,,,0.31,5.0,23.9,19.25,c500,20.38,1.13,-3.52,20.53,21.71,-0.72,-6.14,19.37,23.86,19.0,24.04,62.0,20.28,0.91,-3.58,50.32,54.93,64.36,48.69,-3.62,1.03,52.61,63.24,-3.76,1.28,49.34,76.57,108347.0,102306.0,157451.0,122702.0,78.04,0.0616,415.39,1.12,2103.86,2
BAC PRP,BAC,,11,10/15/2024,,,0.26,4.12,20.8,15.57,c400,16.89,1.32,-3.91,17.05,18.16,-0.94,-6.97,16.17,20.0,15.4,20.58,14.0,16.67,0.5,-3.33,51.38,58.42,74.09,45.42,-4.13,1.1,57.04,62.62,-3.91,1.27,51.31,76.67,68978.0,63597.0,83404.0,71993.0,78.04,0.0618,423.15,1.12,2103.86,2
BAC PRQ,BAC,,11,11/1/2024,,,0.27,4.25,20.46,16.11,c425,17.34,1.23,-3.12,17.48,18.58,-0.82,-6.68,16.56,20.51,15.98,21.0,31.0,17.16,0.6,-3.35,50.8,57.2,71.72,45.69,-3.3,1.05,49.83,63.06,-3.84,1.18,50.39,77.56,106481.0,107420.0,133213.0,115705.0,78.04,0.0619,420.11,1.12,2103.86,2
BAC PRS,BAC,,11,11/1/2024,,,0.3,4.75,22.49,18.24,c475,,1.1,-3.15,19.56,20.79,-1.1,-6.97,18.55,23.05,17.82,23.44,31.0,19.14,0.59,-3.91,52.16,58.42,71.96,53.01,-3.35,0.9,50.26,64.41,-4.3,1.32,56.43,76.17,47421.0,39513.0,56478.0,47804.0,78.04,0.062,426.93,1.12,2103.86,2
BCV PRA,BCV,,16,12/16/2024,,,0.34,5.39,24.69,22.15,c525,21.76,-0.39,-2.93,22.19,22.92,-1.92,-5.07,21.51,24.71,21.51,25.26,76.0,21.71,0.2,-3.0,56.14,50.44,81.22,41.11,-2.98,-0.44,47.04,76.4,-3.55,0.2,46.59,87.31,1612.0,1503.0,614.0,1243.0,59.61,0.0621,405.35,1.12,2103.86,0
BFS PRD,BFS,,NR,12/27/2024,,,0.38,6.13,24.15,19.3,c625,20.93,1.63,-3.22,20.98,21.46,-0.24,-2.48,19.3,23.76,19.01,23.95,87.0,20.92,1.62,-2.84,47.98,39.56,47.51,39.02,-3.23,1.62,49.22,57.96,-3.03,1.91,39.77,70.3,3324.0,2441.0,677.0,2147.0,44.2,0.0733,369.29,1.12,2103.86,11
BFS PRE,BFS,,NR,12/27/2024,,,0.38,6.0,24.6,18.93,c600,21.55,2.62,-3.05,20.83,21.45,3.45,0.47,18.34,24.06,18.34,24.49,87.0,21.54,3.2,-2.52,30.06,27.18,10.0,34.84,-3.06,2.61,47.74,49.11,-2.95,3.2,38.72,57.46,4223.0,3916.0,1950.0,3363.0,44.2,0.0696,316.13,1.12,2103.86,3
BHFAL,BHF,BB,10.5,12/2/2024,9/15/2023,,0.39,6.25,26.35,20.69,c625,19.3,-1.39,-7.05,20.62,22.57,-6.39,-14.49,19.05,25.47,19.05,25.47,62.0,19.18,0.13,-6.29,77.86,90.0,82.88,84.12,-7.17,-1.51,83.48,85.97,-6.29,0.13,82.52,88.01,19681.0,19960.0,19296.0,19646.0,59.64,0.0815,532.82,1.12,2103.86,1
BHFAM,BHF,,10.5,12/6/2024,,,0.29,4.63,21.13,13.35,c450,13.31,-0.04,-7.82,14.61,16.07,-8.89,-17.17,13.08,18.88,13.03,18.95,66.0,13.23,0.15,-5.65,90.0,35.58,82.4,75.75,-7.9,-0.12,89.83,73.53,-5.72,0.2,75.05,87.31,34251.0,25972.0,32136.0,30786.0,58.47,0.0875,493.5,1.12,2103.86,8
BHFAN,BHF,,10,12/6/2024,,,0.34,5.38,22.69,15.27,c525,14.86,-0.41,-7.83,16.25,18.24,-8.54,-18.55,14.54,21.47,14.54,21.63,66.0,14.77,0.23,-6.7,88.3,35.58,80.5,89.48,-7.92,-0.5,90.0,76.94,-6.86,0.23,90.0,87.01,61802.0,59891.0,62539.0,61411.0,58.47,0.0911,510.44,1.12,2103.86,8
BOH PRA,BOH,,12,10/17/2024,8/1/2026,,0.27,4.38,20.44,13.05,c425,15.71,2.66,-4.73,15.63,16.53,0.49,-4.94,14.51,19.1,12.86,19.24,16.0,15.49,0.98,-3.61,44.44,49.9,62.7,49.08,-4.95,2.44,64.17,50.63,-3.75,2.63,49.21,63.13,8946.0,6478.0,6744.0,7389.0,54.66,0.0707,392.08,1.12,2103.86,8
BWBBP,BWB,,NR,11/11/2024,8/17/2026,,0.37,5.88,23.52,16.57,c575,18.52,1.95,-5.0,18.87,19.1,-1.87,-3.04,18.1,21.4,15.25,22.0,41.0,18.32,0.22,-3.08,55.9,41.92,80.74,42.16,-5.2,1.75,66.35,56.8,-3.68,3.07,48.3,58.76,2900.0,1887.0,2185.0,2324.0,47.69,0.0802,408.08,1.12,2103.86,11
CADE PRA,CADE,,NR,11/1/2024,11/20/2024,,0.34,5.5,24.16,16.69,c550,20.67,3.98,-3.49,20.91,21.19,-1.16,-2.43,19.6,23.22,16.13,23.49,31.0,20.45,0.85,-2.77,52.45,39.35,65.79,38.1,-3.71,3.76,53.39,38.81,-3.04,4.32,39.9,46.32,9878.0,11125.0,10303.0,10436.0,30.27,0.0672,333.9,1.12,2103.86,1
CFG PRE,CFG,,10,12/18/2024,,,0.31,5.0,22.34,16.2,c500,18.93,2.73,-3.41,19.26,20.3,-1.69,-6.74,17.99,22.68,15.17,23.38,78.0,18.89,0.9,-3.79,55.03,57.45,64.6,51.44,-3.45,2.69,51.13,48.39,-4.49,3.72,58.92,52.29,32735.0,29195.0,26352.0,29427.0,59.63,0.0662,398.66,1.12,2103.86,8
CFR PRB,CFR,,11.5,11/27/2024,,,0.28,4.45,21.8,15.89,c450,17.25,1.36,-4.55,17.39,18.64,-0.8,-7.45,16.34,21.7,15.6,22.15,57.0,17.15,0.81,-4.55,50.7,60.44,66.74,61.37,-4.65,1.26,61.57,61.19,-5.0,1.55,65.61,73.88,9482.0,8719.0,8014.0,8738.0,61.35,0.0649,419.56,1.12,2103.86,1
CIM PRA,CIM,,NR,12/11/2024,10/21/2021,,0.5,8.0,22.82,18.15,c775,22.03,3.88,-0.79,21.75,22.62,1.27,-2.62,19.85,24.56,17.33,24.56,71.0,21.92,2.07,-2.64,40.65,40.15,36.82,36.41,-0.9,3.77,28.96,38.72,-2.64,4.59,34.66,43.63,9058.0,10246.0,8230.0,9178.0,18.67,0.0912,347.05,1.12,2103.86,5
CMSC,CMS,BB,11.5,12/27/2024,10/15/2023,,0.37,5.88,25.19,21.74,c575,22.53,0.79,-2.66,22.48,23.72,0.24,-5.04,21.28,25.03,21.28,25.36,87.0,22.52,1.24,-2.51,45.65,50.31,56.53,34.71,-2.67,0.78,44.35,65.48,-2.84,1.24,37.28,76.97,31497.0,43971.0,99901.0,58456.0,68.59,0.0653,393.22,1.12,2103.86,4
CNO PRA,CNO,BB,NR,11/15/2024,11/25/2025,,0.32,5.13,22.08,14.95,c500,17.41,2.46,-4.67,18.3,19.77,-4.84,-11.92,16.54,22.0,14.64,22.53,45.0,17.25,0.71,-4.75,70.33,79.21,69.11,63.99,-4.83,2.3,63.13,51.88,-5.28,2.61,69.28,63.33,1567.0,1319.0,1334.0,1407.0,53.69,0.0743,455.28,1.12,2103.86,3
COF PRI,COF,,10,11/13/2024,,,0.31,5.0,23.21,16.12,c500,19.04,2.92,-4.17,19.04,19.93,0.02,-4.48,17.75,21.83,15.65,22.04,43.0,18.88,1.13,-2.95,46.72,47.96,59.14,40.46,-4.33,2.76,58.78,47.76,-3.16,3.23,41.48,57.16,104561.0,94219.0,101874.0,100218.0,74.36,0.0662,392.95,1.12,2103.86,10
COF PRJ,COF,,10,11/13/2024,,,0.3,4.8,21.9,15.54,c475,17.95,2.41,-3.95,18.2,19.02,-1.38,-5.64,16.97,20.72,15.05,20.85,43.0,17.79,0.82,-2.93,53.52,52.83,66.5,40.2,-4.11,2.25,56.87,52.33,-3.06,2.74,40.16,62.04,100287.0,90939.0,80786.0,90671.0,74.36,0.0675,409.37,1.12,2103.86,10
COF PRK,COF,,10,11/13/2024,,,0.29,4.63,22.17,14.99,c450,17.5,2.51,-4.67,17.59,18.73,-0.52,-6.55,16.46,20.85,14.64,21.07,43.0,17.35,0.89,-3.5,49.34,56.66,64.84,47.65,-4.82,2.36,63.04,51.34,-3.72,2.71,48.82,62.34,9192.0,9169.0,10897.0,9753.0,74.36,0.0667,414.57,1.12,2103.86,10
COF PRL,COF,,10,11/13/2024,,,0.27,4.38,20.06,13.84,c425,16.61,2.77,-3.45,16.62,17.73,-0.07,-6.32,15.42,20.14,13.57,20.16,43.0,16.47,1.05,-3.67,47.16,55.69,61.04,49.87,-3.59,2.63,52.35,48.93,-3.69,2.9,48.43,60.45,46742.0,42724.0,36489.0,41985.0,74.36,0.0665,407.83,1.12,2103.86,10
COF PRN,COF,,10,11/13/2024,,,0.27,4.25,19.94,13.68,c425,16.55,2.87,-3.39,16.39,17.28,0.97,-4.23,15.15,19.72,13.26,19.81,43.0,16.41,1.26,-3.31,42.11,46.91,56.05,45.16,-3.53,2.73,51.83,48.03,-3.4,3.15,44.62,57.96,33541.0,26085.0,21243.0,26957.0,74.36,0.0647,386.95,1.12,2103.86,10
CUBB,CUBI,BB,NR,12/13/2024,,,0.34,5.38,23.56,18.75,c525,19.75,1.0,-3.81,19.86,19.99,-0.54,-1.2,18.3,21.85,16.89,22.0,73.0,19.69,1.39,-2.16,49.44,34.19,52.97,30.13,-3.87,0.94,54.78,64.05,-2.31,2.8,30.33,61.44,2185.0,2752.0,1207.0,2048.0,45.65,0.0683,351.16,1.12,2103.86,11
DCOMP,DCOM,,8,11/5/2024,2/15/2025,,0.34,5.5,22.38,14.51,c550,18.28,3.76,-4.11,18.74,19.02,-2.5,-3.96,17.05,20.75,14.26,21.44,35.0,18.06,1.01,-2.69,58.96,45.78,61.99,37.06,-4.32,3.55,58.7,40.69,-3.38,3.8,44.36,51.49,5677.0,4303.0,5740.0,5240.0,24.03,0.0761,358.91,1.12,2103.86,3
DLR PRJ,DLR,,10.5,12/13/2024,,,0.33,5.25,25.38,19.55,c525,20.97,1.41,-4.42,21.11,22.19,-0.72,-5.55,20.02,24.63,19.06,24.63,73.0,20.9,0.88,-3.73,50.32,52.46,65.07,50.65,-4.48,1.35,60.09,60.38,-3.73,1.84,48.95,71.0,12720.0,10598.0,7168.0,10162.0,71.01,0.0628,406.65,1.12,2103.86,2
DLR PRK,DLR,,10.5,12/13/2024,,,0.37,5.88,26.4,22.0,c575,23.36,1.36,-3.04,23.37,24.17,-0.05,-3.33,22.1,25.41,21.4,25.61,73.0,23.29,1.19,-2.12,47.06,43.13,57.72,29.61,-3.11,1.29,48.17,60.92,-2.32,1.89,30.46,70.5,13232.0,14167.0,10693.0,12697.0,71.01,0.0631,378.4,1.12,2103.86,2
DLR PRL,DLR,,10.5,12/13/2024,,,0.33,5.2,25.37,19.32,c525,20.12,0.8,-5.25,20.49,21.78,-1.8,-7.61,19.61,24.26,19.01,24.45,73.0,20.06,0.45,-4.2,55.56,61.11,75.28,56.8,-5.31,0.74,67.3,65.84,-4.39,1.05,57.61,78.86,19672.0,21987.0,20040.0,20566.0,71.01,0.0648,436.88,1.12,2103.86,2
DTB,DTE,BB,11.5,12/27/2024,,,0.27,4.38,22.29,17.3,c425,17.51,0.21,-4.78,17.71,19.14,-1.12,-8.52,16.93,21.71,16.93,22.65,87.0,17.5,0.57,-4.21,52.26,64.93,72.43,56.93,-4.79,0.2,62.78,70.67,-5.15,0.57,67.57,83.63,15694.0,13002.0,17521.0,15406.0,73.05,0.0626,441.31,1.12,2103.86,10
DTG,DTE,BB,11.5,11/15/2024,,,0.27,4.38,20.89,17.32,c425,17.23,-0.09,-3.66,17.62,19.19,-2.22,-10.2,16.71,22.05,16.71,22.25,45.0,17.09,0.38,-4.96,57.6,71.98,76.94,66.73,-3.8,-0.23,54.17,74.52,-5.16,0.38,67.7,85.52,22340.0,21985.0,17935.0,20753.0,73.05,0.0641,459.61,1.12,2103.86,9
DTW,DTE,BB,11.5,11/15/2024,12/1/2022,,0.33,5.25,25.42,20.88,c525,21.27,0.39,-4.15,21.6,22.85,-1.54,-6.92,20.55,25.11,20.42,25.17,45.0,21.11,0.56,-4.0,54.3,58.21,72.67,54.18,-4.31,0.23,58.61,70.4,-4.06,0.69,53.28,82.44,22281.0,15966.0,16561.0,18269.0,73.05,0.0622,428.45,1.12,2103.86,2
DUK PRA,DUK,,11,11/15/2024,,,0.36,5.75,26.49,22.91,c550,24.42,1.51,-2.07,24.79,24.97,-1.5,-2.21,24.06,25.59,22.71,25.66,45.0,24.24,0.18,-1.35,54.1,38.43,81.69,19.54,-2.25,1.33,40.7,60.56,-1.42,1.53,18.66,74.08,58524.0,59319.0,50080.0,55975.0,76.09,0.0593,376.91,1.12,2103.86,4
DUKB,DUK,BB,12,12/13/2024,,,0.35,5.63,26.08,21.93,c550,23.92,1.99,-2.16,24.51,24.72,-2.43,-3.24,23.3,25.46,21.8,25.5,73.0,23.85,0.55,-1.61,58.62,42.76,72.91,22.94,-2.23,1.92,40.52,55.28,-1.65,2.05,21.67,68.91,27745.0,28548.0,31894.0,29395.0,77.61,0.059,379.84,1.12,2103.86,4
ECF PRA,ECF,,16,12/16/2024,,,0.33,5.25,24.84,21.83,c525,21.76,-0.07,-3.08,21.88,22.5,-0.53,-3.28,20.21,24.36,20.21,24.43,76.0,21.71,1.5,-2.65,49.39,42.92,50.36,36.54,-3.13,-0.12,48.35,73.53,-2.72,1.5,35.7,74.38,1241.0,936.0,447.0,875.0,61.24,0.0605,370.64,1.12,2103.86,0
EFSCP,EFSC,,NR,11/27/2024,,,0.31,5.0,21.75,15.4,c500,19.76,4.36,-1.99,18.87,19.62,4.74,0.7,17.2,22.22,13.68,22.22,57.0,19.65,2.45,-2.57,23.79,26.21,27.8,35.49,-2.1,4.25,39.39,34.43,-2.57,5.97,33.74,29.9,2384.0,2106.0,1204.0,1898.0,49.82,0.0636,292.07,1.12,2103.86,11
ELC,ETR,BB,15,11/29/2024,,,0.3,4.88,25.3,20.02,c475,20.19,0.17,-5.11,20.57,21.61,-1.83,-6.58,19.86,23.43,19.86,23.45,59.0,20.09,0.23,-3.34,55.71,56.78,80.5,45.56,-5.21,0.07,66.43,71.83,-3.36,0.23,44.1,87.01,12365.0,10434.0,10722.0,11173.0,80.72,0.0607,433.71,1.12,2103.86,9
EMP,ETR,BB,14.5,12/27/2024,,,0.31,4.9,25.3,20.07,c475,20.62,0.55,-4.68,20.72,21.84,-0.49,-5.57,20.01,23.61,19.9,24.23,87.0,20.61,0.6,-3.0,49.2,52.54,71.72,41.11,-4.69,0.54,61.91,67.63,-3.62,0.71,47.51,82.24,11847.0,10946.0,9235.0,10676.0,80.72,0.0594,415.66,1.12,2103.86,9
ENJ,ETR,BB,14.5,11/29/2024,12/1/2017,,0.31,5.0,24.79,19.49,c500,20.3,0.81,-4.49,20.73,21.68,-2.07,-6.38,19.86,23.91,19.31,24.59,59.0,20.19,0.33,-3.72,56.87,55.94,78.13,50.52,-4.6,0.7,61.13,66.2,-4.4,0.88,57.74,80.55,1525.0,1304.0,1163.0,1330.0,80.72,0.0619,436.38,1.12,2103.86,11
ENO,ETR,BB,13,12/27/2024,,,0.34,5.5,25.4,20.75,c550,21.86,1.11,-3.54,22.0,23.02,-0.65,-5.04,21.21,25.26,20.5,25.32,87.0,21.85,0.64,-3.41,49.98,50.31,70.77,46.47,-3.55,1.1,52.0,62.62,-3.47,1.35,45.54,75.87,7465.0,8092.0,4777.0,6778.0,80.72,0.0629,416.3,1.12,2103.86,4
EQH PRA,EQH,,10.5,11/29/2024,,,0.33,5.25,23.77,17.79,c525,20.58,2.79,-3.19,20.4,21.62,0.86,-4.81,18.41,23.76,17.26,23.89,59.0,20.47,2.06,-3.29,42.64,49.35,37.06,44.9,-3.3,2.68,49.83,48.48,-3.42,3.21,44.89,57.36,47627.0,46975.0,50250.0,48284.0,66.3,0.0641,372.08,1.12,2103.86,9
EQH PRC,EQH,,10.5,11/29/2024,,,0.27,4.3,21.08,13.95,c425,17.24,3.29,-3.84,16.89,18.16,2.08,-5.07,15.83,20.02,13.35,20.69,59.0,17.15,1.32,-2.87,36.72,50.44,54.63,39.41,-3.93,3.2,55.3,43.83,-3.54,3.8,46.46,51.49,26749.0,33489.0,61185.0,40475.0,66.3,0.0627,368.32,1.12,2103.86,10
ETI PR,ETR,,10,12/30/2024,,,0.34,5.38,25.5,21.75,c525,22.79,1.04,-2.71,23.38,23.68,-2.52,-3.74,22.36,24.99,21.39,25.43,0.0,22.45,0.09,-2.54,59.06,44.86,83.83,35.1,-3.05,0.7,47.65,66.2,-2.98,1.06,39.11,78.76,1901.0,1476.0,1280.0,1552.0,79.13,0.0599,408.7,1.12,2103.86,7
