PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,Aug4_chg,Oct19_chg,Aug4_chg_norm,Oct19_chg_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,CUR_YIELD,FINAL_THG,SOLIDITY_WEIGHT_USED,YIELD_WEIGHT_USED,Group
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63,20.78,14.61,c450,16.31,1.7,-4.47,16.61,17.04,-1.81,-4.27,15.69,19.88,14.37,19.88,31.0,16.12,0.43,-3.76,55.61,47.08,75.76,51.05,-4.66,1.51,61.65,58.95,-3.76,1.75,49.34,71.89,29164.0,24480.0,21925.0,25190.0,55.2,0.0718,410.41,1.12,2103.86,8
PEB PRE,PEB,,NR,12/27/2024,,,0.4,6.38,24.71,18.32,c625,18.15,-0.17,-6.56,18.09,20.24,0.32,-10.35,16.27,23.22,16.27,23.22,87.0,18.14,1.87,-5.08,45.26,72.61,41.57,68.3,-6.57,-0.18,78.26,74.07,-5.08,1.87,66.66,70.7,9006.0,7565.0,3961.0,6844.0,35.52,0.0879,446.46,1.12,2103.86,11
PEB PRF,PEB,,NR,12/27/2024,,,0.39,6.3,23.52,18.56,c625,18.45,-0.11,-5.07,18.31,20.35,0.79,-9.33,16.85,23.75,16.85,23.75,87.0,18.44,1.59,-5.31,42.98,68.33,48.22,71.31,-5.08,-0.12,65.3,73.53,-5.31,1.59,69.67,73.48,7189.0,8268.0,1867.0,5774.0,35.52,0.0854,439.14,1.12,2103.86,5
PEB PRG,PEB,,NR,12/27/2024,,,0.4,6.38,23.4,18.0,c625,18.37,0.37,-5.03,18.3,20.09,0.38,-8.57,16.6,22.94,16.6,23.18,87.0,18.36,1.76,-4.58,44.97,65.14,44.18,61.76,-5.04,0.36,64.96,69.24,-4.82,1.76,63.25,71.79,9443.0,8821.0,4193.0,7486.0,35.52,0.0869,431.46,1.12,2103.86,5
PEB PRH,PEB,,NR,12/27/2024,,,0.36,5.7,21.01,16.38,c550,16.36,-0.02,-4.65,16.54,18.17,-1.06,-9.98,15.51,21.12,15.02,21.12,87.0,16.35,0.84,-4.77,51.97,71.06,66.02,64.25,-4.66,-0.03,61.65,72.73,-4.77,1.33,62.59,76.07,11295.0,7199.0,6454.0,8316.0,35.52,0.0872,452.25,1.12,2103.86,5
PFH,PRU,BB,13,11/15/2024,9/1/2025,,0.26,4.13,22.61,17.35,c400,17.39,0.04,-5.22,17.47,18.9,-0.46,-8.0,16.62,21.27,16.62,21.59,45.0,17.26,0.64,-4.01,49.05,62.75,70.77,54.31,-5.35,-0.09,67.65,73.27,-4.33,0.64,56.82,82.94,30861.0,30002.0,33900.0,31588.0,71.08,0.0598,425.48,1.12,2103.86,9
PRH,PRU,BB,13,11/15/2024,,,0.37,5.95,,23.79,c575,25.14,1.35,,24.79,25.53,1.4,-1.54,23.59,26.89,23.17,26.95,45.0,24.96,1.37,-1.93,40.02,35.62,53.44,27.12,,1.17,41.62,61.99,-1.99,1.79,26.13,71.49,18925.0,22952.0,15463.0,19113.0,71.08,0.0596,355.87,1.12,2103.86,4
PRS,PRU,BB,13,11/1/2024,8/15/2023,,0.35,5.63,26.16,22.52,c550,23.71,1.19,-2.45,23.22,24.13,2.1,-1.75,22.35,25.42,22.31,25.42,31.0,23.48,1.13,-1.94,36.62,36.5,59.14,27.25,-2.68,0.96,44.43,63.87,-1.94,1.17,25.48,77.66,30406.0,28478.0,31338.0,30074.0,71.08,0.0599,360.76,1.12,2103.86,4
PSA PRF,PSA,,13.5,12/12/2024,,,0.32,5.15,25.84,20.87,c500,20.58,-0.29,-5.26,21.06,22.67,-2.3,-9.2,19.87,25.08,19.87,25.11,72.0,20.52,0.65,-4.56,57.99,67.78,70.53,61.5,-5.32,-0.35,67.39,75.59,-4.59,0.65,60.23,82.84,18539.0,14635.0,17927.0,17034.0,71.49,0.0627,446.22,1.12,2103.86,2
PSA PRG,PSA,,13.5,12/12/2024,,,0.32,5.05,25.87,21.11,c500,20.25,-0.86,-5.62,20.86,22.45,-2.95,-9.79,19.87,25.0,19.87,25.06,72.0,20.19,0.32,-4.81,61.15,70.26,78.37,64.77,-5.68,-0.92,70.52,80.69,-4.87,0.32,63.9,86.12,17025.0,13952.0,10733.0,13903.0,71.49,0.0625,458.68,1.12,2103.86,2
PSA PRH,PSA,,13.5,12/12/2024,,,0.35,5.6,26.96,22.76,c550,22.8,0.04,-4.16,22.98,24.17,-0.8,-5.67,20.85,25.7,20.85,25.95,72.0,22.73,1.88,-2.97,50.7,52.96,41.34,40.72,-4.23,-0.03,57.91,72.73,-3.22,1.88,42.26,70.6,19567.0,19370.0,14478.0,17805.0,71.49,0.0616,394.69,1.12,2103.86,4
PSA PRI,PSA,,13.5,12/12/2024,,,0.3,4.88,25.8,19.44,c475,19.44,0.0,-6.36,19.86,21.4,-2.13,-9.17,18.69,23.72,18.69,23.94,72.0,19.38,0.69,-4.34,57.16,67.66,69.58,58.63,-6.42,-0.06,76.96,73.0,-4.56,0.69,59.84,82.44,15908.0,12425.0,10815.0,13049.0,71.49,0.063,445.44,1.12,2103.86,2
PSA PRJ,PSA,,13.5,12/12/2024,,,0.29,4.7,25.08,18.25,c475,18.69,0.44,-6.39,19.13,20.53,-2.32,-8.97,18.25,23.21,17.94,23.21,72.0,18.63,0.38,-4.58,58.09,66.82,76.94,61.76,-6.45,0.38,77.22,69.06,-4.58,0.69,60.1,82.44,15014.0,14716.0,12785.0,14172.0,71.49,0.0631,447.98,1.12,2103.86,2
PSA PRK,PSA,,13.5,12/12/2024,,,0.3,4.75,25.8,18.4,c475,18.92,0.51,-6.89,19.35,20.72,-2.26,-8.74,18.44,23.16,18.16,23.21,72.0,18.85,0.41,-4.31,57.8,65.85,76.23,58.24,-6.95,0.45,81.57,68.43,-4.36,0.69,57.21,82.44,16810.0,18044.0,15703.0,16852.0,71.49,0.063,444.78,1.12,2103.86,2
