"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"SF PRC","SF","","8","12/2/2024","","","0.3800","6.1300","27.0000","22.1200","c625","22.8800","0.7600","-4.1200","23.3400","24.3800","-1.9600","-6.1500","21.8100","25.8600","21.2700","26.4700","62.0000","22.7600","0.9500","-3.1000","56.3400","54.9800","63.4100","42.4200","-4.2400","0.6400","58.0000","66.7300","-3.7100","1.4900","48.6900","74.4800","10994.0000","12113.0000","16415.0000","13174.0000","55.3100","0.0673","404.0200","1.1200","2103.8600"
"SHO PRH","SHO","","NR","12/27/2024","","","0.3800","6.1300","23.7500","20.4000","c625","20.6900","0.2900","-3.0600","20.7000","21.6900","-0.0600","-4.6200","19.1400","24.2200","19.1400","24.2700","87.0000","20.6800","1.5400","-3.5400","47.1100","48.5500","49.4100","48.1700","-3.0700","0.2800","47.8300","69.9600","-3.5900","1.5400","47.1100","73.9800","6816.0000","6583.0000","1470.0000","4956.0000","42.9200","0.0741","388.7500","1.1200","2103.8600"
"SHO PRI","SHO","","NR","12/27/2024","","","0.3600","5.7000","22.9800","19.4300","c550","19.4300","0.0000","-3.5500","19.4800","20.4400","-0.2600","-4.9200","17.9600","22.7900","17.9600","22.7900","87.0000","19.4200","1.4600","-3.3700","48.0800","49.8100","51.3100","45.9500","-3.5600","-0.0100","52.0900","72.5500","-3.3700","1.4600","44.2300","74.7800","6531.0000","6016.0000","1270.0000","4606.0000","42.9200","0.0734","389.7900","1.1200","2103.8600"
"SIGIP","SIGI","","10","11/27/2024","","","0.2900","4.6000","20.7400","15.4800","c450","17.0900","1.6100","-3.6500","17.5100","18.3100","-2.4200","-6.6600","16.6100","20.3000","15.1700","20.3000","57.0000","16.9800","0.3700","-3.3200","58.5700","57.1200","77.1800","45.2900","-3.7600","1.5000","53.8300","59.0400","-3.3200","1.8100","43.5700","71.2900","4834.0000","4029.0000","3008.0000","3957.0000","55.9900","0.0677","408.3500","1.1200","2103.8600"
"SLG PRI","SLG","","9.5","12/17/2024","","","0.4100","6.5000","25.6700","18.1500","c650","21.6500","3.5000","-4.0200","22.2100","22.7000","-2.5000","-4.6200","20.5600","24.5300","16.6000","24.8700","77.0000","21.5900","1.0300","-2.9400","58.9600","48.5500","61.5100","40.3300","-4.0800","3.4400","56.6100","41.6800","-3.2800","4.9900","43.0500","39.6500","13358.0000","10586.0000","12440.0000","12128.0000","33.4500","0.0753","365.7700","1.1200","2103.8600"
"SOJC","SO","BB","11.5","11/29/2024","","","0.3300","5.2500","25.6900","20.7500","c525","21.5900","0.8400","-4.1000","21.6400","22.9300","-0.2200","-5.8400","21.0500","24.9200","20.3500","25.0700","59.0000","21.4800","0.4300","-3.4400","47.8900","53.6700","75.7600","46.8600","-4.2100","0.7300","57.7400","65.9300","-3.5900","1.1300","47.1100","78.0600","25585.0000","24126.0000","23746.0000","24486.0000","80.0800","0.0611","418.9900","1.1200","2103.8600"
"SOJD","SO","BB","11.5","10/29/2024","","","0.3100","4.9500","23.8600","19.4500","c500","20.0200","0.5700","-3.8400","20.2900","21.6500","-1.3200","-7.5200","19.2600","23.9500","19.2600","24.5500","28.0000","19.8100","0.5500","-4.1400","53.2300","60.7300","72.9100","56.0100","-4.0500","0.3600","56.3500","69.2400","-4.7400","0.5500","62.2000","83.8300","84500.0000","78197.0000","81739.0000","81479.0000","80.0800","0.0625","442.2400","1.1200","2103.8600"
"SOJE","SO","BB","11.5","1/10/2025","","","0.2600","4.2000","20.9600","17.4200","c425","17.6200","0.2000","-3.3400","17.9200","19.4000","-1.7000","-9.1900","16.9900","21.9200","16.9900","22.3500","11.0000","17.3900","0.4000","-4.5300","55.0800","67.7400","76.4700","61.1100","-3.5700","-0.0300","52.1700","72.7300","-4.9600","0.4000","65.0800","85.3200","54327.0000","53489.0000","44049.0000","50622.0000","80.0800","0.0604","450.3100","1.1200","2103.8600"
"SR PRA","SR","","11","10/25/2024","8/15/2024","","0.3700","5.9000","26.1500","21.8700","c575","23.7000","1.8300","-2.4500","24.0600","24.3100","-1.5000","-2.5100","23.2000","25.3900","21.3600","25.3900","24.0000","23.4300","0.2300","-1.9600","54.1000","39.6900","80.5000","27.5200","-2.7200","1.5600","44.7800","58.5000","-1.9600","2.0700","25.7400","68.7100","16451.0000","14956.0000","15170.0000","15526.0000","61.1200","0.0630","371.7000","1.1200","2103.8600"
"SREA","SRE","BB","11.5","12/13/2024","","","0.3600","5.7500","25.2400","21.1600","c550","20.9400","-0.2200","-4.3000","21.2400","23.1200","-1.4100","-9.4200","19.6000","25.2000","19.6000","25.4700","73.0000","20.8700","1.2700","-4.3300","53.6700","68.7100","55.8200","58.5000","-4.3700","-0.2900","59.1300","75.0600","-4.6000","1.2700","60.3600","76.6700","51975.0000","57703.0000","35445.0000","48374.0000","69.4600","0.0689","444.8700","1.1200","2103.8600"
"STT PRG","STT","","13","11/27/2024","","","0.3300","5.3500","26.9000","21.6300","c525","21.8800","0.2500","-5.0200","22.5000","23.7900","-2.7700","-8.0200","21.3200","25.1600","21.3200","25.1600","57.0000","21.7600","0.4400","-3.4000","60.2700","62.8300","75.5200","46.3400","-5.1400","0.1300","65.8300","71.3000","-3.4000","0.4400","44.6200","84.9300","40842.0000","43237.0000","43816.0000","42632.0000","73.3400","0.0615","432.8700","1.1200","2103.8600"
"SYF PRA","SYF","","NR","10/30/2024","11/15/2024","","0.3500","5.6300","22.1400","15.2800","c550","18.6700","3.3900","-3.4700","18.1400","19.2700","2.9400","-3.1000","16.1900","21.6200","14.5100","21.9400","29.0000","18.4300","2.2400","-3.1900","32.5400","42.1700","32.7900","43.5900","-3.7100","3.1500","53.3900","44.2700","-3.5100","3.9200","46.0700","50.3000","53975.0000","50636.0000","39710.0000","48107.0000","59.3500","0.0764","372.4000","1.1200","2103.8600"
"T PRA","T","","10","1/7/2025","12/12/2024","","0.3100","5.0000","23.4900","18.3100","c500","20.1000","1.7900","-3.3900","20.2800","21.0900","-0.8700","-4.7100","19.1500","22.7500","18.2000","22.8000","8.0000","19.8200","0.6700","-2.9300","51.0400","48.9300","70.0600","40.2000","-3.6700","1.5100","53.0400","58.9500","-2.9800","1.6200","39.1100","73.1800","98183.0000","91406.0000","75101.0000","88230.0000","77.9400","0.0631","406.1600","1.1200","2103.8600"
"T PRC","T","","10","1/7/2025","2/18/2025","","0.3000","4.7500","21.5500","17.2500","c475","19.1000","1.8500","-2.4500","19.1900","19.9900","-0.4700","-4.4300","18.2000","21.6900","17.0200","21.7100","8.0000","18.8300","0.6300","-2.8600","49.1000","47.7500","71.0100","39.2800","-2.7200","1.5800","44.7800","58.3200","-2.8800","1.8100","37.8000","71.2900","132174.0000","126090.0000","136500.0000","131588.0000","77.9400","0.0631","401.0500","1.1200","2103.8600"
"TBB","T","BB","12","10/17/2024","","","0.3300","5.3500","24.9800","20.3200","c525","22.5100","2.1900","-2.4700","22.7800","23.4700","-1.2100","-4.1100","21.5500","24.9000","20.2600","24.9000","16.0000","22.2400","0.6900","-2.6600","52.7000","46.4100","69.5800","36.6700","-2.7400","1.9200","44.9600","55.2800","-2.6600","1.9800","34.9200","69.6000","75650.0000","58923.0000","56730.0000","63768.0000","79.5000","0.0601","393.3500","1.1200","2103.8600"
"TCBIO","TCBI","","8","12/2/2024","6/15/2026","","0.3600","5.7500","24.5000","16.0100","c550","21.0200","5.0100","-3.4800","20.0600","20.3500","4.8000","3.2900","18.1100","21.8700","15.5200","22.7100","62.0000","20.9100","2.8000","-0.9600","23.5000","15.3300","19.5000","14.4400","-3.5900","4.9000","52.3500","28.6100","-1.8000","5.3900","23.6400","35.6700","20534.0000","17547.0000","14869.0000","17650.0000","50.9700","0.0687","283.1100","1.1200","2103.8600"
"TDS PRU","TDS","","7","12/13/2024","","","0.4100","6.6300","24.2500","14.2600","c650","19.7100","5.4500","-4.5400","20.3100","20.7400","-2.9700","-4.9500","18.7100","22.8800","13.3100","22.8800","73.0000","19.6300","0.9200","-3.2500","61.2400","49.9400","64.1200","44.3800","-4.6200","5.3700","61.3000","24.4100","-3.2500","6.3200","42.6600","26.4200","26767.0000","21593.0000","28363.0000","25574.0000","48.6600","0.0844","396.4200","1.1200","2103.8600"
"TDS PRV","TDS","","7","12/13/2024","9/30/2026","","0.3800","6.0000","22.2800","12.8800","c600","18.1000","5.2200","-4.1800","17.9800","18.4700","0.6700","-1.9900","16.2500","20.4800","12.0100","20.4800","73.0000","18.0300","1.7800","-2.4500","43.5600","37.5100","43.7100","33.9200","-4.2500","5.1500","58.0900","26.3800","-2.4500","6.0200","32.1600","29.4000","43916.0000","39342.0000","40286.0000","41181.0000","48.6600","0.0832","358.9500","1.1200","2103.8600"
"TFC PRO","TFC","","11.5","11/8/2024","","","0.3300","5.2500","25.2000","19.7800","c525","21.1500","1.3700","-4.0500","21.3100","22.3800","-0.7600","-5.4900","19.6900","24.4600","19.4300","24.8300","38.0000","20.9600","1.2700","-3.5000","50.5100","52.2000","55.8200","47.6500","-4.2400","1.1800","58.0000","61.9000","-3.8700","1.5300","50.7900","74.0800","47097.0000","39397.0000","40141.0000","42212.0000","64.8100","0.0626","396.9500","1.1200","2103.8600"
"TFC PRR","TFC","","11.5","11/8/2024","","","0.3000","4.7500","22.4900","17.7100","c475","18.9600","1.2500","-3.5300","19.2900","20.2600","-1.7100","-6.4200","18.4100","22.2700","17.2900","22.6200","38.0000","18.7900","0.3800","-3.4800","55.1200","56.1100","76.9400","47.3900","-3.7000","1.0800","53.3000","62.8000","-3.8300","1.5000","50.2600","74.3800","69470.0000","60926.0000","58621.0000","63006.0000","64.8100","0.0632","411.2100","1.1200","2103.8600"
"TRTN PRD","-","","NR","12/6/2024","3/15/2025","","0.4300","6.8800","25.9500","21.6200","c675","22.5500","0.9300","-3.4000","21.9300","23.2600","2.8400","-3.0500","19.7600","25.0100","19.7600","25.6700","66.0000","22.4400","2.6800","-2.5700","33.0200","41.9600","22.3400","35.4900","-3.5100","0.8200","51.6500","65.1200","-3.2300","2.6800","42.3900","62.6400","9411.0000","9310.0000","10758.0000","9827.0000","44.0500","0.0766","359.6600","1.1200","2103.8600"
"TRTN PRE","-","","NR","12/6/2024","","","0.3600","5.7500","23.7900","17.8000","c550","18.7500","0.9500","-5.0400","18.7500","20.4200","0.0100","-8.1600","16.9000","23.1700","16.9000","23.3000","66.0000","18.6500","1.7500","-4.5200","46.7700","63.4200","44.4200","60.9800","-5.1400","0.8500","65.8300","64.8500","-4.6500","1.7500","61.0200","71.8900","6906.0000","7019.0000","4681.0000","6202.0000","44.0500","0.0771","417.7200","1.1200","2103.8600"
"TRTX PRC","TRTX","","NR","12/16/2024","6/14/2026","","0.3900","6.2500","18.8300","13.8100","c625","17.5500","3.7400","-1.2800","17.6900","18.0900","-0.7900","-2.9700","16.0100","20.0000","13.0000","20.0000","76.0000","17.4900","1.4800","-2.5100","50.6600","41.6200","50.8300","34.7100","-1.3400","3.6800","32.7800","39.5300","-2.5100","4.4900","32.9500","44.6300","7250.0000","7399.0000","5375.0000","6674.0000","42.8400","0.0893","382.5100","1.1200","2103.8600"
"TY PR","TY","","NR","12/5/2024","","","0.3100","5.0000","50.1100","43.5000","c500","44.2900","0.8000","-5.8100","44.6000","45.8200","-0.6800","-3.3200","43.1300","48.6500","42.0000","49.1900","65.0000","44.2100","1.0800","-4.4400","50.1200","43.0900","60.3300","59.9300","-5.9000","0.7100","72.4300","66.1100","-4.9800","2.2100","65.3400","67.3100","533.0000","453.0000","190.0000","392.0000","51.4100","0.0283","313.3600","1.1200","2103.8600"
"UNMA","UNM","BB","10","11/29/2024","","","0.3900","6.2500","26.1900","21.9200","c625","23.2300","1.3100","-2.9600","24.4800","24.8300","-5.1100","-6.4400","23.1000","25.4600","21.4900","26.0500","59.0000","23.1000","0.0000","-2.3600","71.6400","56.1900","85.9600","32.7500","-3.0900","1.1800","48.0000","61.9000","-2.9500","1.6100","38.7200","73.2800","13265.0000","12463.0000","11243.0000","12324.0000","66.4300","0.0676","424.5700","1.1200","2103.8600"
"USB PRP","USB","","13.5","12/30/2024","","","0.3400","5.5000","25.2500","19.7500","c550","22.7800","3.0300","-2.4700","22.9300","23.8500","-0.6400","-4.4700","21.4600","25.4300","19.0000","25.4300","0.0000","22.4400","0.9800","-2.9900","49.9300","47.9200","62.7000","40.9800","-2.8100","2.6900","45.5700","48.3900","-2.9900","3.4400","39.2500","55.0700","34992.0000","36179.0000","37948.0000","36373.0000","72.0400","0.0613","379.5900","1.1200","2103.8600"
"USB PRQ","USB","","13.5","12/27/2024","","","0.2300","3.7500","19.5700","13.5000","c400","15.2800","1.7800","-4.2900","15.5500","16.6400","-1.7600","-8.1900","14.6600","18.5900","13.3200","18.6000","87.0000","15.2700","0.6100","-3.3200","55.3700","63.5400","71.4800","45.2900","-4.3000","1.7700","58.5200","56.6200","-3.3300","1.9500","43.7000","69.9000","41326.0000","38487.0000","55976.0000","45263.0000","72.0400","0.0614","414.4300","1.1200","2103.8600"
"USB PRR","USB","","13.5","12/27/2024","","","0.2500","4.0000","21.0500","14.5700","c400","16.3300","1.7500","-4.7300","16.5900","17.7600","-1.6100","-8.1200","15.6200","20.0900","14.2400","20.3500","87.0000","16.3100","0.6900","-3.7800","54.6400","63.2500","69.5800","51.3100","-4.7400","1.7400","62.3500","56.8900","-4.0400","2.0700","53.0200","68.7100","49759.0000","43121.0000","51745.0000","48208.0000","72.0400","0.0613","418.4900","1.1200","2103.8600"
"USB PRS","USB","","13.5","12/27/2024","","","0.2800","4.5000","22.0800","16.4400","c450","18.7300","2.2900","-3.3500","18.9900","20.2100","-1.3500","-7.3300","18.0400","22.5400","16.2200","22.9700","87.0000","18.7200","0.6800","-3.8200","53.3800","59.9300","69.8200","51.8300","-3.3600","2.2800","50.3500","52.0600","-4.2500","2.5000","55.7700","64.4300","41596.0000","35961.0000","27636.0000","35064.0000","72.0400","0.0601","407.9800","1.1200","2103.8600"
"UZD","USM","BB","9.5","11/29/2024","9/1/2025","","0.3900","6.2500","24.1600","16.7700","c625","23.8800","7.1100","-0.2800","23.7000","23.4100","0.7700","2.0100","22.0000","24.3700","15.7800","24.8000","59.0000","23.7500","1.7500","-0.6200","43.0800","20.7100","44.4200","10.0000","-0.4100","6.9800","24.7000","10.0000","-1.0500","7.9700","13.8000","10.0000","39825.0000","38960.0000","50850.0000","43212.0000","57.7600","0.0658","283.2600","1.1200","2103.8600"
"UZE","USM","BB","9.5","11/29/2024","","","0.3400","5.5000","21.8000","14.9300","c550","20.8800","5.9500","-0.9200","21.6900","21.7800","-3.7300","-4.1300","20.2500","23.2200","13.7000","23.8000","59.0000","20.7600","0.5100","-2.4600","64.9400","46.4900","73.8600","34.0500","-1.0400","5.8300","30.1700","20.2900","-3.0400","7.0600","39.9000","19.0500","36282.0000","32213.0000","37621.0000","35372.0000","57.7600","0.0662","356.3800","1.1200","2103.8600"
"UZF","USM","BB","9.5","11/29/2024","6/1/2026","","0.3400","5.5000","21.7500","15.4400","c550","20.8300","5.3900","-0.9200","21.7300","21.7900","-4.1500","-4.4000","20.3000","23.5000","13.6100","23.7000","59.0000","20.7100","0.4100","-2.7900","66.9800","47.6300","76.2300","38.3700","-1.0400","5.2700","30.1700","25.3000","-2.9900","7.1000","39.2500","18.6600","30097.0000","26017.0000","30393.0000","28836.0000","57.7600","0.0664","362.6300","1.1200","2103.8600"
"VNO PRL","VNO","","10.5","12/13/2024","","","0.3400","5.4000","24.1600","13.7500","c525","17.8500","4.1100","-6.3000","17.5200","17.5000","1.9600","2.0400","15.2500","19.4600","13.1100","19.4600","73.0000","17.8000","2.5500","-1.6600","37.3000","20.5800","25.4300","23.5900","-6.3600","4.0500","76.4300","36.2200","-1.6600","4.6900","21.8000","42.6400","19678.0000","17678.0000","17419.0000","18258.0000","60.6700","0.0758","336.1700","1.1200","2103.8600"
"VNO PRM","VNO","","10.5","12/13/2024","","","0.3300","5.2500","23.4000","13.7100","c525","17.1100","3.4000","-6.2900","16.9600","17.0300","0.9100","0.4700","14.7500","18.9900","13.1700","18.9900","73.0000","17.0500","2.3000","-1.9400","42.4000","27.1800","31.3600","27.2500","-6.3500","3.3400","76.3500","42.5700","-1.9400","3.8800","25.4800","50.7000","20018.0000","18945.0000","9600.0000","16188.0000","60.6700","0.0770","357.7700","1.1200","2103.8600"
"VNO PRN","VNO","","10.5","12/13/2024","","","0.3300","5.2500","22.9200","13.7600","c525","17.1300","3.3700","-5.7900","17.0000","17.1000","0.7800","0.1500","14.8100","18.9700","13.3100","18.9700","73.0000","17.0700","2.2600","-1.9000","43.0300","28.5200","32.3100","26.7300","-5.8500","3.3100","72.0000","42.8400","-1.9000","3.7600","24.9500","51.8900","18192.0000","17972.0000","17758.0000","17974.0000","60.6700","0.0769","358.9400","1.1200","2103.8600"
"VNO PRO","VNO","","10.5","12/13/2024","","","0.2800","4.5000","19.7000","11.6000","c450","14.5500","2.9500","-5.1500","14.6200","14.9900","-0.4800","-2.9600","12.5100","17.3400","11.2800","17.3400","73.0000","14.5000","1.9900","-2.8400","49.1500","41.5800","38.7200","39.0200","-5.2000","2.9000","66.3500","46.5100","-2.8400","3.2200","37.2800","57.2600","21534.0000","21377.0000","20186.0000","21032.0000","60.6700","0.0776","389.1600","1.1200","2103.8600"
"WAFDP","WAFD","","10","12/27/2024","4/15/2026","","0.3000","4.8800","22.2000","12.6000","c475","15.9400","3.3400","-6.2600","16.2100","16.8600","-1.6700","-5.4600","15.2400","19.4900","12.0200","19.7500","87.0000","15.9300","0.6900","-3.5600","54.9300","52.0800","69.5800","48.4300","-6.2700","3.3300","75.6500","42.6600","-3.8200","3.9100","50.1300","50.4000","18171.0000","18448.0000","20084.0000","18901.0000","50.2300","0.0766","404.3600","1.1200","2103.8600"
"WBS PRF","WBS","","10","12/2/2024","","","0.3300","5.2500","24.4000","15.5200","c525","19.0900","3.5700","-5.3100","19.3000","20.2300","-1.0900","-5.6200","18.0200","22.5400","15.1000","22.5400","62.0000","18.9900","0.9700","-3.5500","52.1100","52.7500","62.9400","48.3000","-5.4100","3.4700","68.1700","41.4100","-3.5500","3.8900","46.5900","50.6000","7374.0000","5440.0000","7789.0000","6868.0000","59.0000","0.0691","392.0800","1.1200","2103.8600"
"WFC PRC","WFC","","11","11/27/2024","","","0.2700","4.3800","20.1900","16.0500","c425","17.6200","1.5700","-2.5700","17.7900","18.9900","-0.9400","-7.2000","16.8500","20.7000","15.8900","21.1800","57.0000","17.5200","0.6700","-3.1800","51.3800","59.3900","70.0600","43.4600","-2.6700","1.4700","44.3500","59.3100","-3.6600","1.6300","48.0300","73.0800","74313.0000","67691.0000","92706.0000","78236.0000","77.1500","0.0625","416.4500","1.1200","2103.8600"
"WFC PRD","WFC","","11","11/27/2024","","","0.2700","4.2500","19.8900","15.5600","c425","17.1400","1.5800","-2.7500","17.3500","18.5100","-1.1900","-7.4100","16.3800","20.2600","15.4700","20.8000","57.0000","17.0400","0.6600","-3.2200","52.6000","60.2700","70.3000","43.9900","-2.8500","1.4800","45.9100","59.2200","-3.7600","1.5700","49.3400","73.6800","90959.0000","92495.0000","111511.0000","98322.0000","77.1500","0.0624","418.9900","1.1200","2103.8600"
"WFC PRY","WFC","","11","11/27/2024","","","0.3500","5.6300","25.3600","21.1900","c550","23.2300","2.0400","-2.1300","23.1100","23.9600","0.5300","-3.0400","21.9200","25.3600","21.0800","25.3600","57.0000","23.1000","1.1800","-2.2600","44.2400","41.9200","57.9500","31.4400","-2.2600","1.9100","40.7800","55.3700","-2.2600","2.0200","29.6700","69.2000","44136.0000","44057.0000","66811.0000","51668.0000","77.1500","0.0609","374.6700","1.1200","2103.8600"
"WFC PRZ","WFC","","11","11/27/2024","","","0.3000","4.7500","21.8000","17.4900","c475","19.0800","1.5900","-2.7200","19.2800","20.2800","-1.0400","-5.9300","18.2200","22.0100","17.3300","22.2900","57.0000","18.9700","0.7500","-3.0400","51.8700","54.0500","68.1600","41.6300","-2.8300","1.4800","45.7400","59.2200","-3.3200","1.6400","43.5700","72.9900","168452.0000","162979.0000","254999.0000","195477.0000","77.1500","0.0626","409.4600","1.1200","2103.8600"
"WRB PRE","WRB","BB","11.5","12/13/2024","","","0.3600","5.7000","25.5900","21.7700","c550","22.5200","0.7500","-3.0700","22.0400","23.6200","2.1800","-4.6800","20.4300","25.3200","20.4300","25.6800","73.0000","22.4500","2.0200","-2.8700","36.2300","48.8000","38.0100","39.4100","-3.1400","0.6800","48.4300","66.3800","-3.2300","2.0200","42.3900","69.2000","10043.0000","12756.0000","12539.0000","11779.0000","73.1600","0.0635","382.2400","1.1200","2103.8600"
"WRB PRF","WRB","BB","11.5","12/13/2024","","","0.3200","5.1000","24.5100","18.9300","c500","20.1800","1.2500","-4.3300","19.7700","21.3000","2.0900","-5.2800","19.0000","24.2400","18.7900","24.5400","73.0000","20.1200","1.1200","-4.1200","36.6700","51.3200","59.3800","55.7500","-4.3900","1.1900","59.3000","61.8100","-4.4200","1.3300","58.0000","76.0700","19949.0000","21920.0000","16023.0000","19297.0000","73.1600","0.0634","406.5200","1.1200","2103.8600"
"WRB PRG","WRB","BB","11.5","12/13/2024","","","0.2700","4.2500","21.2500","17.3500","c425","16.4900","-0.8600","-4.7600","16.7400","18.4000","-1.4900","-10.3900","15.8200","20.6500","15.8200","22.2900","73.0000","16.4400","0.6200","-4.2100","54.0600","72.7800","71.2500","56.9300","-4.8100","-0.9100","62.9600","80.6000","-5.8500","0.6200","76.7500","83.1300","7596.0000","8350.0000","9102.0000","8350.0000","73.1600","0.0646","459.6400","1.1200","2103.8600"
"WRB PRH","WRB","BB","11.5","12/13/2024","","","0.2600","4.1300","20.8500","15.6000","c400","16.1000","0.5000","-4.7500","16.4400","17.9900","-2.0600","-10.4900","15.4400","20.6100","15.4000","21.1500","73.0000","16.0500","0.6100","-4.5600","56.8200","73.2000","71.4800","61.5000","-4.8000","0.4500","62.8700","68.4300","-5.1000","0.6500","66.9200","82.8400","13145.0000","17440.0000","33636.0000","21407.0000","73.1600","0.0643","455.1900","1.1200","2103.8600"
