"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","Aug4_chg","Oct19_chg","Aug4_chg_norm","Oct19_chg_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm","ADV_6M","ADV_3M","ADV_15D","AVG_ADV","SOLIDITY_SCORE","CUR_YIELD","FINAL_THG","SOLIDITY_WEIGHT_USED","YIELD_WEIGHT_USED"
"FULTP","FULT","","11","12/2/2024","","","0.3200","5.1300","23.1000","15.0900","c500","18.1900","3.1000","-4.9100","19.0200","19.2500","-4.3400","-5.5100","17.2500","21.2200","14.5600","21.2200","62.0000","18.0900","0.8400","-3.1300","67.9000","52.2900","66.0200","42.8100","-5.0100","3.0000","64.7000","45.6200","-3.1300","3.5300","41.0800","54.1800","8553.0000","6299.0000","8954.0000","7935.0000","54.6300","0.0709","399.5200","1.1200","2103.8600"
"GAB PRG","GAB","","16","12/16/2024","","","0.3100","5.0000","24.5000","21.0000","c500","20.5200","-0.4800","-3.9800","21.0900","21.8100","-2.7000","-5.9200","20.1700","24.0000","20.1700","24.2000","76.0000","20.4700","0.3000","-3.5300","59.9300","54.0100","78.8400","48.0400","-4.0300","-0.5300","56.1700","77.2000","-3.7300","0.3000","48.9500","86.3200","4073.0000","4911.0000","2322.0000","3769.0000","66.2300","0.0611","420.0100","1.1200","2103.8600"
"GAB PRH","GAB","","16","12/16/2024","","","0.3100","5.0000","23.8900","20.9800","c500","20.5700","-0.4100","-3.3200","21.0800","21.8500","-2.4300","-5.8700","20.3900","24.0300","20.3900","24.2400","76.0000","20.5200","0.1300","-3.5100","58.6200","53.8000","82.8800","47.7800","-3.3700","-0.4600","50.4300","76.5800","-3.7200","0.1300","48.8200","88.0100","9143.0000","10262.0000","12839.0000","10748.0000","66.2300","0.0609","419.3900","1.1200","2103.8600"
"GAB PRK","GAB","","16","12/16/2024","","","0.3100","5.0000","24.4000","21.2300","c500","20.5400","-0.6900","-3.8600","21.1000","21.8600","-2.6400","-6.0400","20.4800","24.1700","20.4800","24.2500","76.0000","20.4900","0.0100","-3.6800","59.6400","54.5100","85.7300","50.0000","-3.9100","-0.7400","55.1300","79.0800","-3.7600","0.0100","49.3400","89.2000","7201.0000","8169.0000","10328.0000","8566.0000","66.2300","0.0610","424.9400","1.1200","2103.8600"
"GDV PRH","GDV","","17","12/16/2024","","","0.3400","5.3800","25.8500","22.5500","c525","22.4500","-0.1000","-3.4000","23.2300","23.6700","-3.3400","-5.1400","22.3500","25.1500","22.0000","25.3400","76.0000","22.4000","0.0500","-2.7500","63.0400","50.7300","84.7800","37.8400","-3.4500","-0.1500","51.1300","73.8000","-2.9400","0.4000","38.5900","85.3200","2991.0000","3324.0000","3297.0000","3204.0000","72.2500","0.0600","415.8200","1.1200","2103.8600"
"GDV PRK","GDV","","17","12/13/2024","","","0.2700","4.2500","20.8200","17.6500","c425","18.0900","0.4400","-2.7300","18.4800","19.1200","-2.0900","-5.3900","17.9600","21.3100","16.9600","21.4900","73.0000","18.0400","0.0800","-3.2700","56.9700","51.7800","84.0700","44.6400","-2.7800","0.3900","45.3000","68.9700","-3.4500","1.0800","45.2800","78.5600","7732.0000","8359.0000","4963.0000","7018.0000","72.2500","0.0589","409.8600","1.1200","2103.8600"
"GGN PRB","GGN","","15","12/16/2024","5/7/2018","","0.3100","5.0000","23.6700","21.3800","c500","20.3500","-1.0300","-3.3200","20.7300","21.3700","-1.8100","-4.7900","19.8400","23.8800","19.8400","24.1500","76.0000","20.3000","0.4600","-3.5800","55.6100","49.2700","75.0400","48.6900","-3.3700","-1.0800","50.4300","82.1300","-3.8500","0.4600","50.5200","84.7300","8074.0000","9189.0000","3836.0000","7033.0000","68.7700","0.0616","416.4200","1.1200","2103.8600"
"GGT PRE","GGT","","15","12/16/2024","","","0.3200","5.1300","24.8500","22.9800","c500","22.9100","-0.0700","-1.9400","22.8200","23.0000","0.3800","-0.3900","22.2500","24.6300","21.4100","24.7000","76.0000","22.8600","0.6100","-1.7700","44.9700","30.7900","71.4800","25.0300","-1.9900","-0.1200","38.4300","73.5300","-1.8400","1.4500","24.1600","74.8800","657.0000","567.0000","361.0000","528.0000","50.3000","0.0561","333.3600","1.1200","2103.8600"
"GGT PRG","GGT","","15","12/16/2024","12/20/2024","","0.3200","5.1300","24.5900","22.9500","c500","22.6500","-0.3000","-1.9400","22.6900","22.9600","-0.1600","-1.3600","22.2500","24.4700","21.8700","24.4700","76.0000","22.6000","0.3500","-1.8700","47.6000","34.8600","77.6600","26.3400","-1.9900","-0.3500","38.4300","75.5900","-1.8700","0.7300","24.5600","82.0400","883.0000","1022.0000","513.0000","806.0000","50.3000","0.0567","346.3000","1.1200","2103.8600"
"GNT PRA","GNT","","15","11/15/2024","","","0.3300","5.2000","24.5500","21.5300","c525","21.4900","-0.0500","-3.0700","21.6900","22.2100","-0.9600","-3.2800","21.3300","24.0100","21.1700","24.3000","45.0000","21.3200","-0.0100","-2.6900","51.4800","42.9200","86.2000","37.0600","-3.2300","-0.2100","49.2200","74.3400","-2.9800","0.1500","39.1100","87.8100","800.0000","619.0000","138.0000","519.0000","67.1900","0.0610","399.5900","1.1200","2103.8600"
