PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
NCV PRA,NCV,,NR,12/5/2024,,,0.35,5.63%,24.28,20.92,c550,21.55,0.63,-2.73,21.81,22.03,-1.18,-2.18,20.72,23.64,20.60,23.64,77.00,21.50,13.56,11.51,14.92,107.84,13.07,11.36,25.64,0.31,8.00,70.51,43.76,0.19,-0.47,0.18,-0.09,-0.03,0.04,0.30,1.31,25.49,47.60,24.25,81.80,-0.13,0.95,,,55.80,64.29,73.55,99.48,,68.38,,,-0.09,-0.47,0.18,0.19,0.19,12.35,0.18,26.20,64.70,0.04,-0.87,-0.83,36.55,10.90,23.61,0.00,1.00,0.00,1.00,61.53,72.43,<1B USD
NCZ PRA,NCZ,,NR,12/5/2024,,,0.34,5.50%,24.28,20.50,c550,20.73,0.23,-3.55,21.01,21.05,-1.34,-1.53,19.92,22.38,19.92,22.38,77.00,20.68,12.18,10.23,13.44,107.84,11.71,10.00,22.04,0.23,8.00,70.51,43.76,0.22,-0.45,0.19,-0.09,-0.03,0.04,0.30,1.31,27.44,49.74,25.25,81.56,-0.13,1.01,,,57.26,67.43,74.68,99.87,,69.02,,,-0.09,-0.45,0.19,0.22,0.22,12.66,0.19,27.39,65.65,0.04,-0.89,-0.85,36.15,10.90,23.85,0.00,1.00,0.00,1.00,61.53,72.99,<1B USD
NEE PRN,NEE,BB,12,11/27/2024,,,0.35,5.65%,26.15,22.13,c550,22.03,-0.10,-4.12,22.96,24.06,-4.03,-8.45,21.97,25.55,21.92,25.62,69.00,21.95,74.78,61.72,86.10,72.27,72.11,47.14,93.73,153.94,12.00,67.94,47.94,0.59,-0.20,0.21,-0.13,0.03,0.04,0.10,0.56,56.91,71.80,26.93,78.17,1.80,0.93,51.16,42.31,69.67,99.83,76.42,55.05,67.58,68.26,24.65,15.22,-0.13,-0.20,0.21,0.59,0.59,17.32,0.21,29.38,74.98,0.04,0.03,0.07,87.70,50.50,77.31,41.87,53.88,43.50,58.22,71.58,72.33,<1B USD
NRUC,-,BB,13,11/1/2024,,,0.34,5.50%,25.22,21.75,c550,23.70,1.95,-1.52,23.50,24.13,0.87,-1.79,22.38,25.75,21.64,25.75,43.00,23.52,102.41,81.64,122.33,107.84,101.33,44.30,129.37,66.95,8.00,70.51,43.76,1.21,-0.23,0.28,-0.15,-0.03,-0.00,0.30,1.31,10.00,71.24,10.00,75.34,-0.13,-0.01,,,,,,,,,,,,,,,,,,,73.29,0.01,-0.05,-0.04,79.71,10.90,45.33,0.00,1.00,0.00,1.00,61.53,64.33,<1B USD
NSA PRA,NSA,,NR,12/13/2024,,,0.38,6.00%,25.30,20.65,c600,22.75,2.10,-2.55,22.40,22.85,1.54,-0.46,21.12,25.20,20.16,25.20,85.00,22.73,32.98,30.88,49.44,41.15,37.26,26.71,70.04,2.52,8.00,35.96,23.98,0.23,-0.53,0.07,-0.33,-0.20,-0.11,-0.08,0.38,28.78,42.38,15.44,60.04,-4.24,-2.86,38.46,34.35,58.18,56.62,2.55,24.04,31.67,31.25,18.78,12.55,-0.33,-0.53,0.07,0.23,0.23,12.87,0.07,15.74,51.21,-0.11,-0.20,-0.31,43.80,10.90,40.77,35.30,45.58,35.92,48.26,40.12,40.05,<1B USD
NTRSO,NTRS,,13,12/13/2024,,,0.29,4.70%,24.85,18.30,c475,18.91,0.61,-5.94,19.86,20.92,-4.79,-9.61,18.81,24.29,18.10,24.29,85.00,18.89,107.75,80.45,114.67,104.71,98.68,62.43,135.15,20.96,13.00,101.06,64.56,0.73,-0.20,0.34,-0.06,0.03,0.09,0.07,0.67,68.07,71.75,37.15,84.57,1.65,2.31,48.77,47.02,72.37,99.76,84.36,94.63,66.70,81.64,23.55,16.81,-0.06,-0.20,0.34,0.73,0.73,19.09,0.34,41.52,78.16,0.09,0.03,0.12,64.66,60.40,70.12,47.23,60.65,47.66,63.70,70.82,83.99,<1B USD
NYMTZ,NYMT,,NR,1/2/2025,,,0.44,7.00%,19.78,16.60,c700,18.80,2.20,-0.98,18.59,19.36,1.11,-2.87,16.75,21.65,15.31,21.75,15.00,18.43,6.85,5.01,7.27,6.37,6.81,2.40,19.74,0.62,8.00,70.51,43.76,1.85,-0.65,0.37,-0.06,0.08,0.01,0.30,1.31,90.00,31.23,39.38,84.80,2.85,0.16,,,84.31,40.25,85.70,94.21,73.83,60.67,,,-0.06,-0.65,0.37,1.85,1.85,33.37,0.37,44.17,58.02,0.01,0.08,0.09,38.10,10.90,21.41,0.00,1.00,0.00,1.00,77.06,65.71,<1B USD
OPP PRA,OPP,,16,11/1/2024,,,0.27,4.38%,20.87,16.98,c425,17.37,0.39,-3.50,18.04,18.60,-3.74,-6.61,16.54,19.95,16.54,20.21,43.00,17.23,8.33,7.91,9.30,8.32,8.59,7.26,16.36,0.20,16.00,17.00,12.71,0.15,-0.49,0.05,-0.10,0.00,-0.03,-0.51,-0.34,21.79,45.83,14.25,80.61,0.93,-0.75,11.13,4.10,3.67,61.69,2.17,59.61,62.41,51.86,6.15,2.38,-0.10,-0.49,0.05,0.15,0.15,11.77,0.05,14.32,63.22,-0.03,0.00,-0.03,36.00,90.10,58.61,30.40,39.39,31.38,42.27,67.06,58.03,<1B USD
OPP PRB,OPP,,16,11/1/2024,2/15/2027,,0.30,4.75%,21.43,18.70,c475,18.57,-0.13,-2.86,19.61,20.02,-5.28,-7.24,18.34,21.59,18.31,22.31,43.00,18.41,8.33,7.91,9.30,8.32,8.59,7.26,16.36,0.20,16.00,17.00,12.71,0.15,-0.49,0.05,-0.10,0.00,-0.03,-0.51,-0.34,21.79,45.83,14.25,80.61,0.93,-0.75,11.13,4.10,3.67,61.69,2.17,59.61,62.41,51.86,6.15,2.38,-0.10,-0.49,0.05,0.15,0.15,11.77,0.05,14.32,63.22,-0.03,0.00,-0.03,36.00,90.10,58.61,30.40,39.39,31.38,42.27,67.06,58.03,<1B USD
OZKAP,OZK,,9,11/1/2024,11/15/2026,,0.29,4.63%,20.78,14.61,c450,16.22,1.61,-4.56,16.74,17.04,-3.10,-4.80,15.69,19.88,14.37,19.88,43.00,16.07,44.68,35.71,53.64,46.42,44.26,20.10,53.64,5.07,9.00,28.03,18.00,1.22,-0.17,0.25,-0.17,-0.04,0.01,0.59,1.48,90.00,74.97,30.10,74.97,-0.07,0.25,85.30,82.11,79.00,92.06,79.29,49.09,56.46,61.55,40.43,28.60,-0.17,-0.17,0.25,1.22,1.22,25.38,0.25,33.14,74.97,0.01,-0.04,-0.03,50.14,20.80,55.20,33.37,43.14,33.61,45.22,61.84,66.48,<1B USD
