PREF IBKR,CMON,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CGRUP,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,TIME TO DIV,Div adj.price,COM_LAST_PRICE,COM_52W_LOW,COM_52W_HIGH,COM_6M_PRICE,COM_3M_PRICE,COM_5Y_LOW,COM_5Y_HIGH,COM_MKTCAP,CRDT_SCORE,COM_FEB2020_PRICE,COM_MAR2020_PRICE,COM_5Y_LOW_CHG,COM_5Y_HIGH_CHG,COM_52W_LOW_CHG,COM_52W_HIGH_CHG,COM_6M_CHG,COM_3M_CHG,COM_FEB2020_CHG,COM_MAR2020_CHG,5Y_LOW_SKOR,5Y_HIGH_SKOR,52W_LOW_SKOR,52W_HIGH_SKOR,COM_6M_SKOR,COM_3M_SKOR,FEB2020_SKOR,MAR2020_SKOR,Normalized_5Y_LOW,Normalized_5Y_HIGH,Normalized_52W_LOW,Normalized_52W_HIGH,Normalized_COM_6M,Normalized_COM_3M,Normalized_FEB2020,Normalized_MAR2020,52W_HIGH_CHG,5Y_HIGH_CHG,52W_LOW_CHG,5Y_LOW_CHG,5Y_CHG,5Y CHG SKOR,52W_CHG,52W CHG SKOR,TOTAL_HIGH_SCORE,3M_PERF,6M_PERF,RECENT_TOTAL,MKTCAP_NORM,CRDT_NORM,SOLIDITY_SCORE,H2020_SKOR,H2020_NORM,L2020_SKOR,L2020_NORM,COM_6M_NORM,COM_3M_NORM,MKTCAP_RANGE
SIGIP,SIGI,,10,11/27/2024,,,0.29,4.60%,20.74,15.48,c450,16.74,1.26,-4.00,17.59,18.36,-4.82,-8.81,16.70,20.30,15.17,20.30,69.00,16.67,85.12,78.13,103.56,95.30,89.17,48.04,109.58,5.17,10.00,68.79,46.42,0.77,-0.22,0.09,-0.18,-0.11,-0.05,0.24,0.83,71.75,69.91,17.16,73.97,-1.86,-1.13,60.62,54.13,73.15,97.05,3.11,47.24,45.79,48.17,29.02,19.19,-0.18,-0.22,0.09,0.77,0.77,19.67,0.09,17.78,71.94,-0.05,-0.11,-0.16,50.34,30.70,55.99,42.02,54.07,43.08,57.67,52.49,54.81,<1B USD
SLG PRI,SLG,,9.5,12/17/2024,,,0.41,6.50%,25.67,18.15,c650,21.42,3.27,-4.25,22.31,22.71,-3.99,-5.67,20.56,24.87,16.60,24.87,89.00,21.42,65.20,45.15,82.81,74.11,58.24,19.06,88.27,4.96,9.50,70.51,43.76,2.42,-0.26,0.44,-0.21,-0.12,0.12,0.30,1.31,90.00,66.48,45.53,70.86,-2.21,3.00,,,87.71,92.01,88.92,46.96,43.72,88.36,,,-0.21,-0.26,0.44,2.42,2.42,40.54,0.44,51.46,68.67,0.12,-0.12,0.00,49.90,25.75,33.45,0.00,1.00,0.00,1.00,50.68,89.85,<1B USD
SOJC,SO,BB,11.5,11/29/2024,,,0.33,5.25%,25.69,20.75,c525,21.36,0.61,-4.33,21.71,22.98,-1.63,-7.05,21.05,24.99,20.35,25.07,71.00,21.29,90.68,76.96,94.45,83.28,90.54,50.40,94.45,99.30,11.50,68.44,46.36,0.80,-0.04,0.18,-0.04,0.09,0.00,0.32,0.96,73.94,86.41,24.26,86.41,3.20,0.05,66.68,59.40,73.59,6.50,73.57,91.26,75.91,59.62,31.82,20.97,-0.04,-0.04,0.18,0.80,0.80,20.02,0.18,26.21,86.41,0.00,0.09,0.09,84.89,45.55,80.08,41.96,53.99,43.06,57.65,78.89,64.79,<1B USD
SOJD,SO,BB,11.5,10/29/2024,,,0.31,4.95%,23.86,19.45,c500,19.75,0.30,-4.11,20.37,21.71,-3.06,-9.01,19.26,24.42,19.26,24.55,40.00,19.58,90.68,76.96,94.45,83.28,90.54,50.40,94.45,99.30,11.50,68.44,46.36,0.80,-0.04,0.18,-0.04,0.09,0.00,0.32,0.96,73.94,86.41,24.26,86.41,3.20,0.05,66.68,59.40,73.59,6.50,73.57,91.26,75.91,59.62,31.82,20.97,-0.04,-0.04,0.18,0.80,0.80,20.02,0.18,26.21,86.41,0.00,0.09,0.09,84.89,45.55,80.08,41.96,53.99,43.06,57.65,78.89,64.79,<1B USD
SOJE,SO,BB,11.5,1/10/2025,,,0.26,4.20%,20.96,17.42,c425,17.17,-0.25,-3.79,18.03,19.47,-4.75,-11.80,17.09,22.35,17.09,22.35,23.00,16.98,90.68,76.96,94.45,83.28,90.54,50.40,94.45,99.30,11.50,68.44,46.36,0.80,-0.04,0.18,-0.04,0.09,0.00,0.32,0.96,73.94,86.41,24.26,86.41,3.20,0.05,66.68,59.40,73.59,6.50,73.57,91.26,75.91,59.62,31.82,20.97,-0.04,-0.04,0.18,0.80,0.80,20.02,0.18,26.21,86.41,0.00,0.09,0.09,84.89,45.55,80.08,41.96,53.99,43.06,57.65,78.89,64.79,<1B USD
SR PRA,SR,,11,10/25/2024,8/15/2024,,0.37,5.90%,26.15,21.87,c575,23.50,1.63,-2.65,24.14,24.31,-2.64,-3.33,23.20,25.39,21.36,25.39,36.00,23.28,72.26,57.77,79.81,68.30,76.27,50.58,79.81,4.26,11.00,86.34,63.50,0.43,-0.09,0.25,-0.09,0.06,-0.05,-0.16,0.14,44.29,81.49,30.07,81.49,2.40,-1.31,32.91,24.10,65.71,6.79,79.27,100.00,71.15,46.43,16.21,9.10,-0.09,-0.09,0.25,0.43,0.43,15.33,0.25,33.11,81.49,-0.05,0.06,0.01,48.15,40.60,61.12,44.99,57.81,47.41,63.37,74.72,53.29,<1B USD
SREA,SRE,BB,11.5,12/13/2024,,,0.36,5.75%,25.24,21.16,c550,20.82,-0.34,-4.42,21.47,23.21,-3.03,-10.28,19.60,25.20,19.60,25.47,85.00,20.80,74.08,61.90,95.77,86.96,71.06,56.08,95.77,48.31,11.50,78.99,49.82,0.32,-0.23,0.20,-0.23,-0.15,0.04,-0.06,0.49,35.68,69.62,25.74,69.62,-2.93,1.07,39.89,39.16,62.08,96.62,75.21,44.32,39.43,69.60,19.44,14.17,-0.23,-0.23,0.20,0.32,0.32,13.97,0.20,27.97,69.62,0.04,-0.15,-0.11,76.28,45.55,69.46,43.79,56.30,44.00,58.89,46.92,73.49,<1B USD
STT PRG,STT,,13,11/27/2024,,,0.33,5.35%,26.90,21.63,c525,21.69,0.06,-5.21,22.71,23.87,-4.51,-9.11,21.62,25.16,21.42,25.16,69.00,21.61,96.14,70.20,103.00,98.70,87.81,56.63,104.87,27.42,13.00,79.13,46.67,0.70,-0.08,0.37,-0.07,-0.03,0.09,0.21,1.06,65.81,82.51,39.56,84.01,0.23,2.38,59.07,63.89,71.87,6.73,85.80,95.64,58.24,82.36,28.31,22.48,-0.07,-0.08,0.37,0.70,0.70,18.73,0.37,44.38,83.26,0.09,-0.03,0.06,67.40,60.40,73.34,43.81,56.33,43.15,57.76,63.40,84.62,<1B USD
SYF PRA,SYF,,NR,10/30/2024,11/15/2024,,0.35,5.63%,22.14,15.28,c550,18.42,3.14,-3.72,18.19,19.25,1.28,-4.31,16.19,21.94,14.51,21.94,41.00,18.23,59.39,40.54,70.93,67.19,53.44,21.04,70.93,22.78,8.00,33.27,13.41,1.82,-0.16,0.46,-0.16,-0.12,0.11,0.79,3.43,90.00,75.36,47.20,75.36,-2.10,2.79,98.52,166.11,84.09,92.57,89.70,49.82,44.36,86.37,46.54,56.84,-0.16,-0.16,0.46,1.82,1.82,32.97,0.46,53.45,75.36,0.11,-0.12,-0.01,65.43,10.90,59.35,34.66,44.78,31.68,42.68,51.24,88.12,<1B USD
T PRA,T,,10,1/7/2025,12/12/2024,,0.31,5.00%,23.49,18.31,c500,19.68,1.37,-3.81,20.36,21.12,-3.36,-6.82,19.15,22.78,18.20,22.80,20.00,19.44,28.17,17.49,29.03,22.83,26.83,13.43,29.03,202.84,10.00,28.94,21.47,1.10,-0.03,0.61,-0.03,0.23,0.05,-0.03,0.31,90.00,87.33,58.85,87.33,6.96,1.26,42.35,31.62,77.62,6.45,94.35,89.50,98.23,71.41,20.58,11.63,-0.03,-0.03,0.61,1.10,1.10,23.79,0.61,67.29,87.33,0.05,0.23,0.28,90.05,30.70,77.94,33.60,43.43,34.98,47.02,98.45,75.07,<1B USD
T PRC,T,,10,1/7/2025,2/18/2025,,0.30,4.75%,21.55,17.25,c475,18.66,1.41,-2.89,19.25,20.01,-3.09,-6.74,18.20,21.71,17.02,21.71,20.00,18.43,28.17,17.49,29.03,22.83,26.83,13.43,29.03,202.84,10.00,28.94,21.47,1.10,-0.03,0.61,-0.03,0.23,0.05,-0.03,0.31,90.00,87.33,58.85,87.33,6.96,1.26,42.35,31.62,77.62,6.45,94.35,89.50,98.23,71.41,20.58,11.63,-0.03,-0.03,0.61,1.10,1.10,23.79,0.61,67.29,87.33,0.05,0.23,0.28,90.05,30.70,77.94,33.60,43.43,34.98,47.02,98.45,75.07,<1B USD
TBB,T,BB,12,10/17/2024,,,0.33,5.35%,24.98,20.32,c525,21.91,1.59,-3.07,22.92,23.48,-4.40,-6.69,21.55,24.90,20.26,24.90,28.00,21.68,28.17,17.49,29.03,22.83,26.83,13.43,29.03,202.84,10.00,28.94,21.47,1.10,-0.03,0.61,-0.03,0.23,0.05,-0.03,0.31,90.00,87.33,58.85,87.33,6.96,1.26,42.35,31.62,77.62,6.45,94.35,89.50,98.23,71.41,20.58,11.63,-0.03,-0.03,0.61,1.10,1.10,23.79,0.61,67.29,87.33,0.05,0.23,0.28,90.05,30.70,79.50,33.60,43.43,34.98,47.02,98.45,75.07,<1B USD
TBC,T,BB,12,10/17/2024,8/1/2023,,0.35,5.63%,,,c550,,,,,,,,,,,,,,28.17,17.49,29.03,22.83,26.83,13.43,29.03,202.84,10.00,28.94,21.47,1.10,-0.03,0.61,-0.03,0.23,0.05,-0.03,0.31,90.00,87.33,58.85,87.33,6.96,1.26,42.35,31.62,77.62,6.45,94.35,89.50,98.23,71.41,20.58,11.63,-0.03,-0.03,0.61,1.10,1.10,23.79,0.61,67.29,87.33,0.05,0.23,0.28,90.05,30.70,79.50,33.60,43.43,34.98,47.02,98.45,75.07,<1B USD
TCBIO,TCBI,,8,12/2/2024,6/15/2026,,0.36,5.75%,24.50,16.01,c550,20.28,4.27,-4.22,20.09,20.30,0.94,-0.11,18.11,22.71,15.52,22.71,74.00,20.22,75.36,56.24,91.80,82.35,75.62,25.37,93.26,3.46,8.00,55.90,22.36,1.97,-0.19,0.34,-0.18,-0.08,-0.00,0.35,2.37,90.00,72.73,37.20,73.88,-1.30,-0.08,68.28,120.43,85.08,89.17,84.39,47.07,49.16,58.40,32.57,41.48,-0.18,-0.19,0.34,1.97,1.97,34.84,0.34,41.58,73.31,-0.00,-0.08,-0.08,46.15,10.90,50.97,39.59,51.00,35.32,47.46,55.45,63.73,<1B USD
TDS PRU,TDS,,7,12/13/2024,,,0.41,6.63%,24.25,14.26,c650,19.62,5.36,-4.63,20.49,20.73,-4.23,-5.36,18.71,22.88,12.51,22.88,85.00,19.60,33.11,17.90,41.21,33.74,35.44,6.43,41.21,3.55,7.00,23.68,16.20,4.15,-0.20,0.85,-0.20,-0.02,-0.07,0.40,1.04,90.00,72.31,77.98,72.31,0.42,-1.64,71.75,63.19,94.60,88.63,100.00,44.14,59.36,43.22,34.17,22.24,-0.20,-0.20,0.85,4.15,4.15,62.42,0.85,90.00,72.31,-0.07,-0.02,-0.09,46.38,1.00,48.66,32.24,41.71,32.87,44.25,64.38,50.49,<1B USD
TDS PRV,TDS,,7,12/13/2024,9/30/2026,,0.38,6.00%,22.28,12.88,c600,18.11,5.23,-4.17,18.06,18.44,0.29,-1.80,16.25,20.48,11.51,20.48,85.00,18.09,33.11,17.90,41.21,33.74,35.44,6.43,41.21,3.55,7.00,23.68,16.20,4.15,-0.20,0.85,-0.20,-0.02,-0.07,0.40,1.04,90.00,72.31,77.98,72.31,0.42,-1.64,71.75,63.19,94.60,88.63,100.00,44.14,59.36,43.22,34.17,22.24,-0.20,-0.20,0.85,4.15,4.15,62.42,0.85,90.00,72.31,-0.07,-0.02,-0.09,46.38,1.00,48.66,32.24,41.71,32.87,44.25,64.38,50.49,<1B USD
TFC PRO,TFC,,11.5,11/8/2024,,,0.33,5.25%,25.20,19.78,c525,20.90,1.12,-4.30,21.46,22.42,-2.62,-6.78,19.69,24.75,19.43,24.83,50.00,20.75,38.83,33.56,49.06,45.13,41.05,25.56,68.95,51.03,11.50,54.33,30.04,0.52,-0.44,0.16,-0.21,-0.14,-0.05,-0.29,0.29,51.53,50.68,22.56,71.23,-2.71,-1.34,30.57,30.78,68.13,68.82,71.47,47.74,40.74,46.06,15.13,11.35,-0.21,-0.44,0.16,0.52,0.52,16.47,0.16,24.20,60.96,-0.05,-0.14,-0.19,77.16,45.55,64.81,39.28,50.61,38.07,51.08,48.07,52.97,<1B USD
TFC PRR,TFC,,11.5,11/8/2024,,,0.30,4.75%,22.49,17.71,c475,18.70,0.99,-3.79,19.44,20.29,-3.82,-7.85,18.41,22.62,17.29,22.62,50.00,18.57,38.83,33.56,49.06,45.13,41.05,25.56,68.95,51.03,11.50,54.33,30.04,0.52,-0.44,0.16,-0.21,-0.14,-0.05,-0.29,0.29,51.53,50.68,22.56,71.23,-2.71,-1.34,30.57,30.78,68.13,68.82,71.47,47.74,40.74,46.06,15.13,11.35,-0.21,-0.44,0.16,0.52,0.52,16.47,0.16,24.20,60.96,-0.05,-0.14,-0.19,77.16,45.55,64.81,39.28,50.61,38.07,51.08,48.07,52.97,<1B USD
TRTN PRD,-,,NR,12/6/2024,3/15/2025,,0.43,6.88%,25.95,21.62,c675,21.82,0.20,-4.13,21.97,23.29,-0.70,-6.30,19.76,25.66,19.76,25.67,78.00,21.76,102.41,81.64,122.33,107.84,101.33,44.30,129.37,66.95,8.00,70.51,43.76,1.21,-0.23,0.28,-0.15,-0.03,-0.00,0.30,1.31,10.00,71.24,10.00,75.34,-0.13,-0.01,,,,,,,,,,,,,,,,,,,73.29,0.01,-0.05,-0.04,79.71,10.90,44.05,0.00,1.00,0.00,1.00,61.53,64.33,<1B USD
TRTN PRE,-,,NR,12/6/2024,,,0.36,5.75%,23.79,17.80,c550,18.30,0.50,-5.49,18.85,20.47,-2.90,-10.60,16.90,23.30,16.90,23.30,78.00,18.25,102.41,81.64,122.33,107.84,101.33,44.30,129.37,66.95,8.00,70.51,43.76,1.21,-0.23,0.28,-0.15,-0.03,-0.00,0.30,1.31,10.00,71.24,10.00,75.34,-0.13,-0.01,,,,,,,,,,,,,,,,,,,73.29,0.01,-0.05,-0.04,79.71,10.90,44.05,0.00,1.00,0.00,1.00,61.53,64.33,<1B USD
TRTX PRC,TRTX,,NR,12/16/2024,6/14/2026,,0.39,6.25%,18.83,13.81,c625,17.91,4.10,-0.92,17.71,18.07,1.11,-0.87,16.01,20.00,13.00,20.00,88.00,17.90,7.92,6.47,9.66,8.85,8.57,4.64,14.55,0.63,8.00,20.54,7.03,0.71,-0.46,0.22,-0.18,-0.11,-0.08,-0.61,0.13,66.55,48.99,27.93,73.79,-1.82,-1.89,2.10,23.61,72.04,66.33,77.38,46.90,46.05,40.76,1.97,8.94,-0.18,-0.46,0.22,0.71,0.71,18.85,0.22,30.57,61.39,-0.08,-0.11,-0.19,38.15,10.90,42.84,31.39,40.64,28.72,38.79,52.72,48.34,<1B USD
TY PR,TY,,NR,12/5/2024,,,0.31,5.00%,50.11,43.50,c500,44.45,0.95,-5.66,44.69,45.85,-0.54,-3.05,43.55,49.16,42.00,49.19,77.00,44.41,30.88,26.54,34.82,31.82,31.02,24.11,35.91,1.63,8.00,28.97,18.53,0.28,-0.14,0.16,-0.11,-0.03,-0.00,0.07,0.67,32.46,77.39,23.08,79.82,0.14,-0.10,48.76,46.91,60.41,95.20,72.14,58.12,57.68,58.14,23.54,16.77,-0.11,-0.14,0.16,0.28,0.28,13.46,0.16,24.81,78.60,-0.00,-0.03,-0.03,41.58,10.90,51.41,33.60,43.44,33.83,45.50,62.91,63.50,<1B USD
UNMA,UNM,BB,10,11/29/2024,,,0.39,6.25%,26.19,21.92,c625,23.96,2.04,-2.23,24.58,24.87,-2.51,-3.67,23.13,26.03,21.49,26.05,71.00,23.88,78.19,48.38,84.48,72.86,81.61,15.20,84.48,13.63,10.00,29.35,10.56,4.14,-0.07,0.62,-0.07,0.07,-0.04,1.66,6.40,90.00,83.30,59.29,83.30,2.80,-1.04,159.34,294.51,94.58,6.68,94.50,96.89,73.49,49.03,74.66,100.00,-0.07,-0.07,0.62,4.14,4.14,62.35,0.62,67.81,83.30,-0.04,0.07,0.03,61.54,30.70,66.43,33.70,43.56,30.40,41.00,76.77,55.55,<1B USD
USB PRP,USB,,13.5,12/30/2024,,,0.34,5.50%,25.25,19.75,c550,22.59,2.84,-2.66,23.04,23.88,-1.97,-5.42,21.46,25.43,19.00,25.43,12.00,22.30,43.05,35.18,53.98,49.98,42.18,27.27,63.57,66.98,13.50,54.64,32.57,0.58,-0.32,0.22,-0.20,-0.14,0.02,-0.21,0.32,56.29,60.95,27.90,71.78,-2.69,0.52,29.52,32.04,69.50,83.89,77.35,48.90,40.89,64.27,14.64,11.77,-0.20,-0.32,0.22,0.58,0.58,17.23,0.22,30.53,66.37,0.02,-0.14,-0.12,79.72,65.35,72.04,39.34,50.69,38.91,52.19,48.19,68.84,<1B USD
USB PRQ,USB,,13.5,12/27/2024,,,0.23,3.75%,19.57,13.50,c400,14.94,1.44,-4.63,15.68,16.69,-4.72,-10.47,14.66,18.59,13.32,18.60,9.00,14.73,43.05,35.18,53.98,49.98,42.18,27.27,63.57,66.98,13.50,54.64,32.57,0.58,-0.32,0.22,-0.20,-0.14,0.02,-0.21,0.32,56.29,60.95,27.90,71.78,-2.69,0.52,29.52,32.04,69.50,83.89,77.35,48.90,40.89,64.27,14.64,11.77,-0.20,-0.32,0.22,0.58,0.58,17.23,0.22,30.53,66.37,0.02,-0.14,-0.12,79.72,65.35,72.04,39.34,50.69,38.91,52.19,48.19,68.84,<1B USD
USB PRR,USB,,13.5,12/27/2024,,,0.25,4.00%,21.05,14.57,c400,16.04,1.47,-5.01,16.73,17.80,-4.13,-9.90,15.62,20.35,14.24,20.35,9.00,15.81,43.05,35.18,53.98,49.98,42.18,27.27,63.57,66.98,13.50,54.64,32.57,0.58,-0.32,0.22,-0.20,-0.14,0.02,-0.21,0.32,56.29,60.95,27.90,71.78,-2.69,0.52,29.52,32.04,69.50,83.89,77.35,48.90,40.89,64.27,14.64,11.77,-0.20,-0.32,0.22,0.58,0.58,17.23,0.22,30.53,66.37,0.02,-0.14,-0.12,79.72,65.35,72.04,39.34,50.69,38.91,52.19,48.19,68.84,<1B USD
USB PRS,USB,,13.5,12/27/2024,,,0.28,4.50%,22.08,16.44,c450,18.48,2.04,-3.60,19.12,20.25,-3.37,-8.73,18.04,22.97,16.22,22.97,9.00,18.23,43.05,35.18,53.98,49.98,42.18,27.27,63.57,66.98,13.50,54.64,32.57,0.58,-0.32,0.22,-0.20,-0.14,0.02,-0.21,0.32,56.29,60.95,27.90,71.78,-2.69,0.52,29.52,32.04,69.50,83.89,77.35,48.90,40.89,64.27,14.64,11.77,-0.20,-0.32,0.22,0.58,0.58,17.23,0.22,30.53,66.37,0.02,-0.14,-0.12,79.72,65.35,72.04,39.34,50.69,38.91,52.19,48.19,68.84,<1B USD
UZD,USM,BB,9.5,11/29/2024,9/1/2025,,0.39,6.25%,24.16,16.77,c625,23.76,6.99,-0.40,23.72,23.34,0.18,1.80,22.00,24.37,14.86,24.80,71.00,23.68,59.77,47.59,70.79,61.27,65.64,13.79,70.79,5.08,9.50,33.56,28.21,3.33,-0.16,0.26,-0.16,-0.02,-0.09,0.78,1.12,90.00,75.99,30.47,75.99,0.27,-2.23,98.23,66.43,91.80,93.38,79.61,51.00,58.46,37.45,46.41,23.33,-0.16,-0.16,0.26,3.33,3.33,52.10,0.26,33.59,75.99,-0.09,-0.02,-0.11,50.16,25.75,57.76,34.73,44.86,37.44,50.25,63.60,45.46,<1B USD
UZE,USM,BB,9.5,11/29/2024,,,0.34,5.50%,21.80,14.93,c550,21.06,6.13,-0.74,21.81,21.75,-3.45,-3.16,20.25,23.22,13.00,23.80,71.00,20.99,59.77,47.59,70.79,61.27,65.64,13.79,70.79,5.08,9.50,33.56,28.21,3.33,-0.16,0.26,-0.16,-0.02,-0.09,0.78,1.12,90.00,75.99,30.47,75.99,0.27,-2.23,98.23,66.43,91.80,93.38,79.61,51.00,58.46,37.45,46.41,23.33,-0.16,-0.16,0.26,3.33,3.33,52.10,0.26,33.59,75.99,-0.09,-0.02,-0.11,50.16,25.75,57.76,34.73,44.86,37.44,50.25,63.60,45.46,<1B USD
UZF,USM,BB,9.5,11/29/2024,6/1/2026,,0.34,5.50%,21.75,15.44,c550,21.16,5.72,-0.59,21.86,21.76,-3.19,-2.74,20.30,23.50,12.95,23.70,71.00,21.09,59.77,47.59,70.79,61.27,65.64,13.79,70.79,5.08,9.50,33.56,28.21,3.33,-0.16,0.26,-0.16,-0.02,-0.09,0.78,1.12,90.00,75.99,30.47,75.99,0.27,-2.23,98.23,66.43,91.80,93.38,79.61,51.00,58.46,37.45,46.41,23.33,-0.16,-0.16,0.26,3.33,3.33,52.10,0.26,33.59,75.99,-0.09,-0.02,-0.11,50.16,25.75,57.76,34.73,44.86,37.44,50.25,63.60,45.46,<1B USD
VNO PRL,VNO,,10.5,12/13/2024,,,0.34,5.40%,24.16,13.75,c525,17.70,3.95,-6.46,17.51,17.44,1.06,1.49,15.25,19.46,13.10,19.46,85.00,17.68,40.39,24.76,46.63,44.78,38.13,12.31,50.91,8.43,10.50,66.22,29.66,2.28,-0.21,0.63,-0.13,-0.10,0.06,-0.39,0.36,90.00,71.40,60.50,77.96,-1.64,1.49,21.51,33.76,86.95,99.24,94.91,54.66,47.14,73.68,10.94,12.35,-0.13,-0.21,0.63,2.28,2.28,38.77,0.63,69.25,74.68,0.06,-0.10,-0.04,56.86,35.65,60.67,41.56,53.48,37.94,50.91,53.67,77.05,<1B USD
VNO PRM,VNO,,10.5,12/13/2024,,,0.33,5.25%,23.40,13.71,c525,17.08,3.37,-6.32,16.99,16.97,0.53,0.64,14.75,18.99,12.87,18.99,85.00,17.06,40.39,24.76,46.63,44.78,38.13,12.31,50.91,8.43,10.50,66.22,29.66,2.28,-0.21,0.63,-0.13,-0.10,0.06,-0.39,0.36,90.00,71.40,60.50,77.96,-1.64,1.49,21.51,33.76,86.95,99.24,94.91,54.66,47.14,73.68,10.94,12.35,-0.13,-0.21,0.63,2.28,2.28,38.77,0.63,69.25,74.68,0.06,-0.10,-0.04,56.86,35.65,60.67,41.56,53.48,37.94,50.91,53.67,77.05,<1B USD
VNO PRN,VNO,,10.5,12/13/2024,,,0.33,5.25%,22.92,13.76,c525,17.00,3.24,-5.92,17.03,17.05,-0.18,-0.29,14.81,18.97,13.06,18.97,85.00,16.98,40.39,24.76,46.63,44.78,38.13,12.31,50.91,8.43,10.50,66.22,29.66,2.28,-0.21,0.63,-0.13,-0.10,0.06,-0.39,0.36,90.00,71.40,60.50,77.96,-1.64,1.49,21.51,33.76,86.95,99.24,94.91,54.66,47.14,73.68,10.94,12.35,-0.13,-0.21,0.63,2.28,2.28,38.77,0.63,69.25,74.68,0.06,-0.10,-0.04,56.86,35.65,60.67,41.56,53.48,37.94,50.91,53.67,77.05,<1B USD
VNO PRO,VNO,,10.5,12/13/2024,,,0.28,4.50%,19.70,11.60,c450,14.55,2.95,-5.15,14.65,14.94,-0.71,-2.64,12.51,17.34,11.28,17.34,85.00,14.53,40.39,24.76,46.63,44.78,38.13,12.31,50.91,8.43,10.50,66.22,29.66,2.28,-0.21,0.63,-0.13,-0.10,0.06,-0.39,0.36,90.00,71.40,60.50,77.96,-1.64,1.49,21.51,33.76,86.95,99.24,94.91,54.66,47.14,73.68,10.94,12.35,-0.13,-0.21,0.63,2.28,2.28,38.77,0.63,69.25,74.68,0.06,-0.10,-0.04,56.86,35.65,60.67,41.56,53.48,37.94,50.91,53.67,77.05,<1B USD
WAFDP,WAFD,,10,12/27/2024,4/15/2026,,0.30,4.88%,22.20,12.60,c475,15.57,2.97,-6.63,16.30,16.86,-4.48,-7.66,15.24,19.75,12.02,19.75,9.00,15.30,28.07,23.74,38.62,34.48,28.34,20.01,39.18,2.25,10.00,34.75,25.67,0.40,-0.28,0.18,-0.27,-0.19,-0.01,-0.19,0.09,42.22,64.48,24.59,65.41,-3.91,-0.23,30.89,22.19,64.93,89.08,73.95,35.43,33.61,56.92,15.28,8.46,-0.27,-0.28,0.18,0.40,0.40,15.00,0.18,26.61,64.94,-0.01,-0.19,-0.20,43.12,30.70,50.23,35.02,45.22,36.54,49.07,41.82,62.44,<1B USD
WBS PRF,WBS,,10,12/2/2024,,,0.33,5.25%,24.40,15.52,c525,18.84,3.32,-5.56,19.43,20.26,-3.02,-7.02,18.02,22.54,15.10,22.54,74.00,18.78,51.94,39.33,63.99,57.71,50.86,23.67,65.00,8.74,10.00,46.68,20.20,1.19,-0.20,0.32,-0.19,-0.10,0.02,0.11,1.57,90.00,71.92,35.65,73.05,-1.69,0.54,51.99,85.95,78.70,100.00,83.40,45.52,46.84,64.42,25.03,29.89,-0.19,-0.20,0.32,1.19,1.19,25.02,0.32,39.74,72.48,0.02,-0.10,-0.08,57.48,30.70,59.00,37.70,48.61,34.49,46.37,53.41,68.97,<1B USD
WFC PRA,WFC,,11,11/27/2024,12/15/2025,,0.29,4.70%,21.54,17.53,c475,18.33,0.80,-3.21,19.12,20.20,-4.13,-9.26,18.00,22.21,17.36,22.21,69.00,18.26,72.65,50.15,81.50,70.81,70.84,20.76,81.50,235.47,11.00,47.77,26.50,2.50,-0.11,0.45,-0.11,0.03,0.03,0.52,1.74,90.00,80.23,45.89,80.23,1.58,0.65,80.23,93.30,88.12,98.86,89.09,58.89,66.23,65.47,38.09,32.36,-0.11,-0.11,0.45,2.50,2.50,41.54,0.45,51.90,80.23,0.03,0.03,0.06,90.59,40.60,77.15,37.93,48.90,36.84,49.46,70.40,69.89,<1B USD
WFC PRC,WFC,,11,11/27/2024,,,0.27,4.38%,20.19,16.05,c425,17.13,1.08,-3.06,17.92,19.05,-4.42,-10.06,16.85,21.18,15.89,21.18,69.00,17.07,72.65,50.15,81.50,70.81,70.84,20.76,81.50,235.47,11.00,47.77,26.50,2.50,-0.11,0.45,-0.11,0.03,0.03,0.52,1.74,90.00,80.23,45.89,80.23,1.58,0.65,80.23,93.30,88.12,98.86,89.09,58.89,66.23,65.47,38.09,32.36,-0.11,-0.11,0.45,2.50,2.50,41.54,0.45,51.90,80.23,0.03,0.03,0.06,90.59,40.60,77.15,37.93,48.90,36.84,49.46,70.40,69.89,<1B USD
WFC PRD,WFC,,11,11/27/2024,,,0.27,4.25%,19.89,15.56,c425,16.63,1.07,-3.26,17.48,18.57,-4.85,-10.43,16.38,20.80,15.47,20.80,69.00,16.57,72.65,50.15,81.50,70.81,70.84,20.76,81.50,235.47,11.00,47.77,26.50,2.50,-0.11,0.45,-0.11,0.03,0.03,0.52,1.74,90.00,80.23,45.89,80.23,1.58,0.65,80.23,93.30,88.12,98.86,89.09,58.89,66.23,65.47,38.09,32.36,-0.11,-0.11,0.45,2.50,2.50,41.54,0.45,51.90,80.23,0.03,0.03,0.06,90.59,40.60,77.15,37.93,48.90,36.84,49.46,70.40,69.89,<1B USD
