PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV
BOH PRB,BOH-B,BOH,,,9.5,07/14/2025,8/1/2029,NONE,0.5,8.00%,,,39.66,Regionalbank,,42.0,,,,,,25.78,,,,,,,24.81,27.13,24.81,27.13,25.16,0.35,-1.97,,,77.850467,33.98682,-1.97,0.35,29.51773,85.921569,20959,20585,18669,20071
BPOPM,BPOPM,BPOP,,TP,7.0,05/15/2025,12/1/2009,12/1/2034,0.13,6.13%,27.2,24.51,69.37,Regionalbank,,72.0,,,,,,24.93,0.07,-2.62,25.47,25.52,-3.49,-3.68,24.53,26.11,24.38,26.25,24.55,0.02,-1.56,54.986508,55.903871,84.018692,28.583196,-1.7,0.17,26.453901,87.05098,1936,2095,2698,2243
C PRN,C-N,C,FF,,10.0,07/25/2025,10/30/2015,10/30/2040,0.68,7.88%,,,1868.19,Bank,,53.0,,,,,,28.99,,,30.02,29.94,-2.9,-2.63,28.36,31.34,27.82,31.34,28.87,0.51,-2.47,52.439288,52.330923,74.859813,40.576606,-2.47,1.05,35.191489,81.529412,106607,117947,194909,139821
CCIA,CCIA,CCIF,,Term,8.0,05/19/2025,10/31/2025,10/31/2028,0.18,8.75%,,,15.39,Cef,,76.0,,,,,,25.44,,,25.78,25.8,-0.88,-0.99,25.0,27.79,24.1,27.79,25.52,0.52,-2.27,43.718295,46.750319,74.672897,37.940692,-2.27,1.42,32.921986,79.207843,4301,5827,8868,6332
CFG PRH,CFG-H,CFG,,,10.5,06/20/2025,7/6/2029,NONE,0.46,7.38%,,,433.40,Regionalbank,,18.0,,,,,,26.05,,,,,,,24.95,27.69,24.95,27.69,25.51,0.56,-2.18,,,73.925234,36.75453,-2.18,0.56,31.900709,84.603922,30986,24974,21603,25854
CGBDL,CGBDL,CGBD,,,8.0,05/15/2025,,,0.51,,,,72.90,Assetmanagement,,72.0,,,,,,25.75,,,25.69,25.66,1.11,1.25,25.05,26.66,25.05,26.66,25.88,0.83,-0.78,35.126821,39.128031,68.878505,18.30313,-0.78,0.83,16.014184,82.909804,8360,6179,4802,6447
CHMI PRA,CHMI-A,CHMI,,,8.0,06/27/2025,8/17/2022,NONE,0.51,8.20%,22.65,19.6,32.66,Reit,,25.0,,,,,,21.11,1.2,-1.85,21.72,22.71,-4.25,-8.39,19.2,24.4,17.75,25.0,20.43,1.23,-3.97,58.267674,71.931093,61.401869,60.345964,-4.57,2.68,59.021277,71.301961,2792,2552,2165,2503
CHMI PRB,CHMI-B,CHMI,FF,,8.0,06/27/2025,4/5/2024,NONE,0.64,8.25%,,,32.66,Reit,,25.0,,,,,,24.35,,,24.15,24.61,0.59,-1.3,22.23,25.38,20.2,25.6,23.83,1.6,-1.55,37.371829,47.805189,54.485981,28.4514,-1.77,3.63,27.248227,65.341176,4682,3557,1872,3370
CHSCL,CHSCL,-,,,8.0,06/13/2025,1/21/2025,NONE,0.47,7.50%,27.3,25.07,-,-,,11.0,,,,,,25.95,0.48,-1.75,25.77,25.88,-0.87,-1.27,25.31,26.42,24.92,26.75,25.14,-0.17,-1.28,43.675121,47.703105,87.570093,24.892916,-1.61,0.22,25.432624,86.737255,22742,22348,14148,19746
CHSCM,CHSCM,-,,,8.0,06/13/2025,9/30/2024,NONE,0.42,6.75%,26.4,24.05,-,-,,11.0,,,,,,24.9,0.95,-1.4,24.89,25.16,0.46,-0.63,23.8,26.19,23.51,26.19,24.63,0.83,-1.56,37.933081,45.525308,68.878505,28.583196,-1.56,1.12,24.865248,81.090196,18230,16764,14182,16392
