"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020","52W_HIGH_CHG","5Y_HIGH_CHG","52W_LOW_CHG","5Y_LOW_CHG","5Y_CHG","5Y CHG SKOR","52W_CHG","52W CHG SKOR","TOTAL_HIGH_SCORE","3M_PERF","6M_PERF","RECENT_TOTAL","MKTCAP_NORM","CRDT_NORM","SOLIDITY_SCORE","H2020_SKOR","H2020_NORM","L2020_SKOR","L2020_NORM","COM_6M_NORM","COM_3M_NORM","MKTCAP_RANGE"
"AOMN","AOMN","AOMR","","BB","8.000000","07/14/2025","7/30/2026","7/30/2029","0.590000","9.50%","","","23.50","Reit","","28.000000","","","","","","24.870000","","","","","","","23.600000","26.100000","23.600000","26.100000","24.460000","9.320000","7.360000","13.320000","9.280000","9.650000","4.430000","19.000000","0.219020","8.000000","","","1.103837","-0.509474","0.266304","-0.300300","0.004310","-0.034197","","","90.000000","44.147368","31.304348","62.972973","2.470847","0.128704","","","","61.517807","","86.093498","69.551857","65.977622","","","-0.300300","-0.509474","0.266304","1.103837","1.103837","15.263435","0.266304","27.805365","53.560171","-0.034197","0.004310","-0.029887","36.095100","8.920000","39.123488","0.000000","1.000000","0.000000","1.000000","73.573782","70.742060","<1B USD"
"APOS","APOS","APO","NFF","","13.000000","05/30/2025","12/15/2028","9/15/2053","0.480000","7.63%","","","571.72","Assetmanagement","","73.000000","","","","","","26.220000","","","26.380000","26.720000","-0.600000","-1.860000","24.890000","27.740000","24.890000","27.770000","26.130000","132.500000","95.110000","189.490000","176.320000","138.700000","29.170000","189.490000","75.752900","13.000000","","","3.542338","-0.300755","0.393124","-0.300755","-0.248525","-0.044701","","","90.000000","62.932081","41.449900","62.932081","-5.556194","-0.144592","","","","87.495629","","86.031207","57.710647","64.932954","","","-0.300755","-0.300755","0.393124","3.542338","3.542338","26.824679","0.393124","36.087840","62.932081","-0.044701","-0.248525","-0.293226","81.120464","48.520000","67.772455","0.000000","1.000000","0.000000","1.000000","50.219683","69.843685","<1B USD"
"AQNB","AQNB","AQN","FF","","9.000000","06/13/2025","7/1/2024","7/1/2079","0.550000","6.20%","","","789.65","Utilities","","87.000000","","","","","","25.200000","","","25.430000","25.480000","-0.910000","-1.100000","24.590000","26.500000","22.710000","26.500000","25.180000","5.860000","4.190000","6.360000","4.460000","5.110000","4.190000","17.860000","4.627349","9.000000","15.780000","11.250000","0.398568","-0.671892","0.398568","-0.078616","0.313901","0.146771","-0.628644","-0.479111","41.885442","29.529675","41.885442","82.924528","10.939074","4.837209","127.139788","74.850443","","41.302655","","10.377137","97.939272","83.975842","7.067650","5.703049","-0.078616","-0.671892","0.398568","0.398568","0.398568","11.919661","0.398568","36.443401","56.227102","0.146771","0.313901","0.460672","49.068372","16.840000","46.120048","34.515937","45.444197","37.216710","47.500838","98.211476","86.219839","<1B USD"
"ARGD","ARGD","-","","BB","9.500000","05/30/2025","9/15/2017","9/15/2042","0.410000","6.50%","24.350000","21.310000","-","-","","73.000000","","","","","","19.920000","-1.390000","-4.430000","20.710000","21.670000","-3.810000","-8.070000","19.190000","22.850000","19.190000","24.240000","19.840000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ARGO PRA","ARGO-A","-","NFF","","8.500000","05/27/2025","9/15/2025","NONE","0.440000","7.00%","","","-","-","","70.000000","","","","","","24.960000","","","25.050000","24.940000","-0.370000","0.080000","24.510000","25.360000","20.760000","25.490000","24.860000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ARR PRC","ARR-C","ARR","","","8.000000","05/15/2025","1/28/2025","","0.150000","7.00%","22.600000","18.060000","81.90","Reit","","58.000000","","","","","","20.680000","2.620000","-1.920000","21.040000","21.640000","-1.730000","-4.420000","19.270000","23.580000","17.850000","23.580000","20.630000","16.580000","13.180000","21.930000","19.030000","18.720000","13.180000","62.800000","1.357902","8.000000","","","0.257967","-0.735987","0.257967","-0.243958","-0.128744","-0.114316","","","30.637329","23.761146","30.637329","68.043776","-1.168583","-1.955878","","","","33.325220","","93.817912","57.351660","58.009328","","","-0.243958","-0.735987","0.257967","0.257967","0.257967","11.253052","0.257967","27.260835","45.902461","-0.114316","-0.128744","-0.243060","40.894755","8.920000","37.011988","0.000000","1.000000","0.000000","1.000000","62.985120","63.889633","<1B USD"
"ASBA","ASBA","ASB","NFF","","11.000000","05/15/2025","3/1/2028","3/1/2033","0.410000","6.63%","","","165.95","Regionalbank","","58.000000","","","","","","23.670000","","","24.200000","24.130000","-2.190000","-1.910000","22.990000","25.300000","18.820000","25.300000","23.520000","22.820000","18.320000","28.180000","25.100000","22.220000","11.780000","28.180000","3.786979","11.000000","20.280000","11.700000","0.937182","-0.190206","0.245633","-0.190206","-0.090837","0.027003","0.125247","0.950427","84.974533","72.881476","29.650655","72.881476","-0.131703","1.721022","358.949615","292.827790","","89.224297","","89.164769","60.827517","72.064246","18.130597","19.399134","-0.190206","-0.190206","0.245633","0.937182","0.937182","14.473298","0.245633","26.455348","72.881476","0.027003","-0.090837","-0.063834","46.967447","32.680000","55.463525","36.676752","48.226555","37.600309","47.980130","66.001848","75.976323","<1B USD"
"ATCO PRD","ATCO-D","-","","","8.000000","07/25/2025","1/30/2018","NONE","0.500000","7.95%","25.270000","23.860000","-","-","","39.000000","","","","","","25.010000","1.150000","-0.260000","25.030000","25.080000","-0.070000","-0.270000","24.140000","25.980000","22.000000","25.980000","24.730000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATCO PRH","ATCO-H","-","","","8.000000","07/25/2025","8/11/2021","NONE","0.490000","7.88%","24.950000","22.380000","-","-","","39.000000","","","","","","24.980000","2.600000","0.030000","24.840000","24.900000","0.550000","0.310000","23.780000","25.490000","21.360000","25.490000","24.700000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATCOL","ATCOL","-","","","8.000000","07/15/2025","5/13/2023","10/30/2027","0.450000","7.13%","","","-","-","","29.000000","","","","","","25.180000","","","24.940000","25.010000","0.940000","0.670000","22.450000","25.450000","22.450000","25.900000","24.880000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRA","ATH-A","-","NFF","","11.500000","06/13/2025","6/30/2029","NONE","0.400000","6.35%","","","-","-","","87.000000","","","","","","24.010000","","","24.200000","24.550000","-0.790000","-2.190000","21.600000","25.710000","19.810000","25.710000","24.000000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRC","ATH-C","-","NFF","","11.500000","06/13/2025","9/30/2025","NONE","0.400000","6.38%","","","-","-","","87.000000","","","","","","24.940000","","","25.120000","25.110000","-0.720000","-0.680000","24.240000","25.460000","22.520000","25.640000","24.930000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATH PRE","ATH-E","-","NFF","","11.500000","06/13/2025","12/30/2027","NONE","0.480000","7.75%","","","-","-","","87.000000","","","","","","25.600000","","","25.710000","26.210000","-0.440000","-2.340000","24.170000","27.500000","23.610000","27.500000","25.580000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATHS","ATHS","-","NFF","","12.000000","06/12/2025","3/30/2029","3/30/2064","0.450000","7.25%","","","-","-","","86.000000","","","","","","24.930000","","","25.140000","25.340000","-0.820000","-1.610000","24.010000","26.250000","24.010000","26.250000","24.910000","","","","","","","","","","","","","","","","","","","","10.000000","10.000000","10.000000","10.000000","","","","","","","","","","","","","","","","","","","","","10.000000","","","","35.000000","","","0.000000","1.000000","0.000000","1.000000","","","<1B USD"
"ATLCL","ATLCL","ATLC","","","8.000000","07/11/2025","10/2/2026","12/31/2026","0.380000","6.13%","24.520000","21.610000","15.11","Creditservices","","25.000000","","","","","","24.360000","2.750000","-0.160000","24.070000","23.610000","1.220000","3.170000","23.290000","24.760000","20.620000","24.760000","24.090000","50.940000","25.440100","64.700000","58.680000","47.580000","7.441500","91.981500","0.769703","8.000000","16.400000","5.490000","5.845394","-0.446193","1.002351","-0.212674","-0.131902","0.070618","2.106098","8.278689","90.000000","49.842631","90.000000","70.859351","-1.254957","2.855823","1034.843253","1486.989190","","69.393921","","98.106911","57.062115","76.402010","50.387106","94.431409","-0.212674","-0.446193","1.002351","5.845394","5.845394","37.743764","1.002351","75.875963","60.350991","0.070618","-0.131902","-0.061284","38.848515","8.920000","42.282337","34.824976","45.842129","31.703120","40.611821","62.733822","79.706634","<1B USD"
"ATLCP","ATLCP","ATLC","","","8.000000","05/30/2025","6/11/2026","NONE","0.480000","7.63%","24.150000","20.610000","15.11","Creditservices","","73.000000","","","","","","22.170000","1.560000","-1.980000","23.100000","23.040000","-4.030000","-3.790000","21.660000","24.500000","18.510000","24.800000","22.080000","50.940000","25.440100","64.700000","58.680000","47.580000","7.441500","91.981500","0.769703","8.000000","16.400000","5.490000","5.845394","-0.446193","1.002351","-0.212674","-0.131902","0.070618","2.106098","8.278689","90.000000","49.842631","90.000000","70.859351","-1.254957","2.855823","1034.843253","1486.989190","","69.393921","","98.106911","57.062115","76.402010","50.387106","94.431409","-0.212674","-0.446193","1.002351","5.845394","5.845394","37.743764","1.002351","75.875963","60.350991","0.070618","-0.131902","-0.061284","38.848515","8.920000","42.282337","34.824976","45.842129","31.703120","40.611821","62.733822","79.706634","<1B USD"
"ATLCZ","ATLCZ","ATLC","","BB","8.000000","07/01/2025","1/31/2028","1/31/2029","0.580000","9.25%","","","15.11","Creditservices","","15.000000","","","","","","25.030000","","","25.010000","25.000000","0.080000","0.130000","23.400000","25.500000","23.400000","25.500000","24.550000","50.940000","25.440100","64.700000","58.680000","47.580000","7.441500","91.981500","0.769703","8.000000","16.400000","5.490000","5.845394","-0.446193","1.002351","-0.212674","-0.131902","0.070618","2.106098","8.278689","90.000000","49.842631","90.000000","70.859351","-1.254957","2.855823","1034.843253","1486.989190","","69.393921","","98.106911","57.062115","76.402010","50.387106","94.431409","-0.212674","-0.446193","1.002351","5.845394","5.845394","37.743764","1.002351","75.875963","60.350991","0.070618","-0.131902","-0.061284","38.848515","8.920000","43.127984","34.824976","45.842129","31.703120","40.611821","62.733822","79.706634","<1B USD"
