"PREF IBKR","CMON","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CGRUP","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","TIME TO DIV","Div adj.price","COM_LAST_PRICE","COM_52W_LOW","COM_52W_HIGH","COM_6M_PRICE","COM_3M_PRICE","COM_5Y_LOW","COM_5Y_HIGH","COM_MKTCAP","CRDT_SCORE","COM_FEB2020_PRICE","COM_MAR2020_PRICE","COM_5Y_LOW_CHG","COM_5Y_HIGH_CHG","COM_52W_LOW_CHG","COM_52W_HIGH_CHG","COM_6M_CHG","COM_3M_CHG","COM_FEB2020_CHG","COM_MAR2020_CHG","5Y_LOW_SKOR","5Y_HIGH_SKOR","52W_LOW_SKOR","52W_HIGH_SKOR","COM_6M_SKOR","COM_3M_SKOR","FEB2020_SKOR","MAR2020_SKOR","Normalized_5Y_LOW","Normalized_5Y_HIGH","Normalized_52W_LOW","Normalized_52W_HIGH","Normalized_COM_6M","Normalized_COM_3M","Normalized_FEB2020","Normalized_MAR2020"
"WBS PRF","WBS","","10","12/2/2024","","","0.330000","5.25%","24.400000","15.520000","c525","18.840000","3.320000","-5.560000","19.430000","20.260000","-3.020000","-7.020000","18.020000","22.540000","15.100000","22.540000","74.000000","18.780000","51.940000","39.330000","63.990000","57.710000","50.860000","23.670000","65.000000","8.740000","10","46.680000","20.200000","1.194339","-0.200923","0.320620","-0.188311","-0.099983","0.021235","0.112682","1.571287","151.605130","468.317363","119.154702","13.372023","12.361487","8.548185","51.991419","85.954488","78.699837","100.000000","83.400611","45.523890","46.838611","64.415130","25.034199","29.893943"
"WFC PRA","WFC","","11","11/27/2024","12/15/2025","","0.290000","4.70%","21.540000","17.530000","c475","18.330000","0.800000","-3.210000","19.120000","20.200000","-4.130000","-9.260000","18.000000","22.210000","17.360000","22.210000","69.000000","18.260000","72.650000","50.150000","81.500000","70.810000","70.840000","20.760000","81.500000","235.470000","11","47.770000","26.500000","2.499518","-0.108589","0.448654","-0.108589","0.025985","0.025551","0.520829","1.741509","169.985137","462.917717","127.388921","17.386352","17.590653","8.689960","80.232916","93.299808","88.119858","98.858541","89.094928","58.890119","66.229300","65.466901","38.089464","32.363102"
"WFC PRC","WFC","","11","11/27/2024","","","0.270000","4.38%","20.190000","16.050000","c425","17.130000","1.080000","-3.060000","17.920000","19.050000","-4.420000","-10.060000","16.850000","21.180000","15.890000","21.180000","69.000000","17.070000","72.650000","50.150000","81.500000","70.810000","70.840000","20.760000","81.500000","235.470000","11","47.770000","26.500000","2.499518","-0.108589","0.448654","-0.108589","0.025985","0.025551","0.520829","1.741509","169.985137","462.917717","127.388921","17.386352","17.590653","8.689960","80.232916","93.299808","88.119858","98.858541","89.094928","58.890119","66.229300","65.466901","38.089464","32.363102"
"WFC PRD","WFC","","11","11/27/2024","","","0.270000","4.25%","19.890000","15.560000","c425","16.630000","1.070000","-3.260000","17.480000","18.570000","-4.850000","-10.430000","16.380000","20.800000","15.470000","20.800000","69.000000","16.570000","72.650000","50.150000","81.500000","70.810000","70.840000","20.760000","81.500000","235.470000","11","47.770000","26.500000","2.499518","-0.108589","0.448654","-0.108589","0.025985","0.025551","0.520829","1.741509","169.985137","462.917717","127.388921","17.386352","17.590653","8.689960","80.232916","93.299808","88.119858","98.858541","89.094928","58.890119","66.229300","65.466901","38.089464","32.363102"
"WFC PRY","WFC","","11","11/27/2024","","","0.350000","5.63%","25.360000","21.190000","c550","22.270000","1.080000","-3.090000","23.250000","23.990000","-4.210000","-7.180000","21.920000","25.360000","21.080000","25.360000","69.000000","22.190000","72.650000","50.150000","81.500000","70.810000","70.840000","20.760000","81.500000","235.470000","11","47.770000","26.500000","2.499518","-0.108589","0.448654","-0.108589","0.025985","0.025551","0.520829","1.741509","169.985137","462.917717","127.388921","17.386352","17.590653","8.689960","80.232916","93.299808","88.119858","98.858541","89.094928","58.890119","66.229300","65.466901","38.089464","32.363102"
"WFC PRZ","WFC","","11","11/27/2024","","","0.300000","4.75%","21.800000","17.490000","c475","18.490000","1.000000","-3.310000","19.420000","20.340000","-4.790000","-9.090000","18.220000","22.190000","17.330000","22.290000","69.000000","18.420000","72.650000","50.150000","81.500000","70.810000","70.840000","20.760000","81.500000","235.470000","11","47.770000","26.500000","2.499518","-0.108589","0.448654","-0.108589","0.025985","0.025551","0.520829","1.741509","169.985137","462.917717","127.388921","17.386352","17.590653","8.689960","80.232916","93.299808","88.119858","98.858541","89.094928","58.890119","66.229300","65.466901","38.089464","32.363102"
"WRB PRE","WRB","BB","11.5","12/13/2024","","","0.360000","5.70%","25.590000","21.770000","c550","21.610000","-0.160000","-3.980000","22.140000","23.670000","-2.400000","-8.710000","20.430000","25.470000","20.430000","25.680000","85.000000","21.590000","73.290000","51.410000","76.380000","58.850000","64.080000","24.200000","76.380000","27.800000","11.5","35.000000","21.150000","2.028512","-0.040456","0.425598","-0.040456","0.245370","0.143727","1.094000","2.465248","164.782832","26.042561","126.092543","27.134593","26.697737","12.572116","119.893167","124.530108","85.453601","6.505270","88.198426","91.348153","100.000000","94.266864","56.423303","42.861291"
"WRB PRF","WRB","BB","11.5","12/13/2024","","","0.320000","5.10%","24.510000","18.930000","c500","19.230000","0.300000","-5.280000","19.880000","21.350000","-3.280000","-9.940000","19.000000","24.400000","18.790000","24.540000","85.000000","19.210000","73.290000","51.410000","76.380000","58.850000","64.080000","24.200000","76.380000","27.800000","11.5","35.000000","21.150000","2.028512","-0.040456","0.425598","-0.040456","0.245370","0.143727","1.094000","2.465248","164.782832","26.042561","126.092543","27.134593","26.697737","12.572116","119.893167","124.530108","85.453601","6.505270","88.198426","91.348153","100.000000","94.266864","56.423303","42.861291"
"WRB PRG","WRB","BB","11.5","12/13/2024","","","0.270000","4.25%","21.250000","17.350000","c425","15.980000","-1.370000","-5.270000","16.890000","18.480000","-5.410000","-13.520000","15.820000","21.100000","15.820000","22.290000","85.000000","15.960000","73.290000","51.410000","76.380000","58.850000","64.080000","24.200000","76.380000","27.800000","11.5","35.000000","21.150000","2.028512","-0.040456","0.425598","-0.040456","0.245370","0.143727","1.094000","2.465248","164.782832","26.042561","126.092543","27.134593","26.697737","12.572116","119.893167","124.530108","85.453601","6.505270","88.198426","91.348153","100.000000","94.266864","56.423303","42.861291"
"WRB PRH","WRB","BB","11.5","12/13/2024","","","0.260000","4.13%","20.850000","15.600000","c400","15.660000","0.060000","-5.190000","16.600000","18.060000","-5.660000","-13.290000","15.440000","21.150000","15.400000","21.150000","85.000000","15.650000","73.290000","51.410000","76.380000","58.850000","64.080000","24.200000","76.380000","27.800000","11.5","35.000000","21.150000","2.028512","-0.040456","0.425598","-0.040456","0.245370","0.143727","1.094000","2.465248","164.782832","26.042561","126.092543","27.134593","26.697737","12.572116","119.893167","124.530108","85.453601","6.505270","88.198426","91.348153","100.000000","94.266864","56.423303","42.861291"
