symbol,total_qty,weighted_avg_cost,weighted_pff_fill,weighted_time_fill,last_updated
PSEC PRA,110,16.62,31.25,20.0,2026-03-28T15:09:43.171051
REGCP,6,22.82,31.49,30.46,2026-03-28T15:09:43.171051
REXR PRC,298,20.46,31.25,20.0,2026-03-28T15:09:43.171051
RF PRF,-420,24.96,31.25,20.0,2026-03-28T15:09:43.171051
RIV PRA,97,22.3,31.25,20.0,2026-03-28T15:09:43.171051
SCHW PRJ,445,17.91,31.25,20.0,2026-03-28T15:09:43.171051
SF PRB,45,23.72,31.25,20.0,2026-03-28T15:09:43.171051
SF PRD,-466,17.27,31.25,20.0,2026-03-28T15:09:43.171051
SHO PRH,69,20.28,31.25,20.0,2026-03-28T15:09:43.171051
SHO PRI,943,18.12,31.25,20.0,2026-03-28T15:09:43.171051
SYF PRB,101,25.13,31.25,20.0,2026-03-28T15:09:43.171051
TBB,0,21.6,30.4891,4.0,2026-04-06T17:35:16.846517
TCBIO,-917.0,21.92,31.1417,20.16,2026-04-08T23:00:06.712836
TFC PRR,145,18.4,31.25,20.0,2026-03-28T15:09:43.171051
TPGXL,51,24.42,30.7026,9.18,2026-04-06T21:43:26.599161
TRTN PRA,-430,25.85,31.25,20.0,2026-03-28T15:09:43.171051
TRTN PRB,-354,25.11,31.25,20.0,2026-03-28T15:09:43.171051
TRTN PRC,100,24.32,31.25,20.0,2026-03-28T15:09:43.171051
TWO PRC,411,23.455,31.25,20.0,2026-03-28T15:09:43.171051
UMBFO,65,26.09,31.6719,35.21,2026-03-28T15:09:43.171051
UNMA,0,23.18,31.27,21.0,2026-04-08T18:03:27.289126
USB PRR,1200,15.92,31.25,20.0,2026-03-28T15:09:43.171051
UZE,96,17.57,31.12,22.0,2026-04-07T18:47:07.462799
VLYPO,0,24.775,30.9691,14.93,2026-04-08T19:05:01.652390
VLYPP,20,24.55,31.17,19.0,2026-03-28T15:09:43.171051
VNO PRL,107,16.88,31.25,20.0,2026-03-28T15:09:43.171051
VOYA PRB,6,23.35,31.25,20.0,2026-03-28T15:09:43.171051
WAFDP,0,16.44,31.2563,26.11,2026-04-06T22:57:26.358486
WFC PRA,-500,18.6,31.25,20.0,2026-03-28T15:09:43.171051
WFC PRD,-100,17.01,31.25,20.0,2026-03-28T15:09:43.171051
WFC PRZ,-100,18.85,31.25,20.0,2026-03-28T15:09:43.171051
WRB PRE,268,21.39,31.25,20.0,2026-03-28T15:09:43.171051
WRB PRF,299,19.23,31.25,20.0,2026-03-28T15:09:43.171051
WRB PRH,1096,15.85,31.25,20.0,2026-03-28T15:09:43.171051
RF-F,377,25.0188,30.3131,0.0,2026-04-02T22:59:58.353214
MITT-C,-200,24.03,30.21,0.0,2026-03-30T20:38:33.542295
MS-A,-100,19.19,30.22,0.0,2026-03-30T20:45:20.668654
AHL-E,441,20.4597,30.371,0.0,2026-04-02T22:53:25.576412
FLG-A,-156,21.6901,30.6037,0.0,2026-04-08T20:04:00.941258
PSEC-A,-100,16.98,30.11,0.0,2026-03-30T22:18:49.837668
PSA-F,-380,19.8691,30.3688,0.0,2026-04-02T22:59:51.090388
PEB-E,-139,19.8624,30.2743,0.0,2026-04-08T20:01:40.553135
ANG-D,-1112,24.0553,24.8543,0.0,2026-04-08T21:11:53.290488
SHO-I,-943,19.28,0.0,0.0,2026-04-02T20:09:50.512799
ACR-D,-113,21.2698,7.2605,0.0,2026-04-07T22:33:08.755200
ATH-B,-250,18.9,0.0,0.0,2026-04-02T20:09:50.827929
CLDT-A,385,19.635,0.0,0.0,2026-04-02T20:09:50.939388
ATH-A,-477,23.75,0.0,0.0,2026-04-02T20:10:27.118004
DUK-A,308,24.5578,27.3065,0.0,2026-04-06T22:10:06.607988
USB-R,-1200,15.7664,30.4225,0.0,2026-04-06T22:03:51.932566
COF-N,-300,15.8947,30.473,0.0,2026-04-06T19:53:15.426522
F-D,1726,21.2455,30.5659,0.0,2026-04-08T22:59:58.308697
SOJD,36,19.52,30.36,0.0,2026-04-02T20:59:59.186953
MET-F,163,18.8138,8.7809,0.0,2026-04-08T22:00:33.107837
T-C,0,18.51,30.36,0.0,2026-04-06T19:59:28.295046
DLR-L,192,19.5265,30.4114,0.0,2026-04-08T22:01:36.040767
JPM-D,-300,24.5133,30.49,0.0,2026-04-08T19:54:24.514372
MS-K,92,23.4696,30.3457,0.0,2026-04-07T18:55:38.309043
BAC-M,-889,21.8252,30.3613,0.0,2026-04-07T19:10:09.806240
BAC-N,-957,20.3661,30.3761,0.0,2026-04-07T19:04:46.021378
AGNCO,115,24.77,30.6713,0.0,2026-04-08T22:20:55.348893
AGNCP,-1897,24.15,30.7095,0.0,2026-04-08T20:18:35.843215
GS-C,-419,19.4372,30.3852,0.0,2026-04-02T21:42:55.804840
RWT-A,0,23.54,30.366,0.0,2026-04-02T22:56:48.229191
TRTN-B,354,25.0489,30.432,0.0,2026-04-06T20:46:46.253970
WRB-H,181,15.4995,30.5178,0.0,2026-04-06T22:25:23.325145
PSA-Q,-395,15.0926,30.4557,0.0,2026-04-06T19:54:12.956034
SCHW-J,-48,17.89,30.4,0.0,2026-04-08T21:56:20.027675
TFC-R,-145,18.4203,30.3755,0.0,2026-04-07T22:13:05.471970
REXR-C,-274,20.55,30.43,0.0,2026-04-02T22:55:26.357272
HIG-G,300,24.71,30.4299,0.0,2026-04-02T23:00:02.334480
PSA-G,-307,19.57,30.43,0.0,2026-04-02T22:58:34.142519
SF-D,266,16.9143,30.3679,0.0,2026-04-07T17:29:54.893329
CMS-C,-125,16.65,30.52,0.0,2026-04-06T17:20:17.257810
GAB-G,-161,20.4,30.52,0.0,2026-04-06T17:30:49.086412
WRB-E,-200,21.23,0.0,0.0,2026-04-06T19:43:50.939554
GGN-B,103,20.1,30.48,0.0,2026-04-06T19:53:29.411988
GNL-B,99,20.85,30.45,0.0,2026-04-06T20:21:04.632223
PSA-S,123,15.739,30.4693,0.0,2026-04-06T21:39:42.222138
RF-C,-200,24.16,30.75,0.0,2026-04-08T21:17:52.602131
BAC-E,-100,18.9926,17.7599,0.0,2026-04-08T19:15:21.457340
AGNCL,-488,23.8802,11.8093,0.0,2026-04-08T18:42:25.866167
NEE-N,0,22.88,30.462,0.0,2026-04-07T20:55:16.682076
PEB-G,-123,19.84,30.45,0.0,2026-04-06T21:09:05.052837
DTG,20,16.55,30.46,0.0,2026-04-08T18:42:26.722692
TRTN-C,-95,24.242,30.48,0.0,2026-04-06T21:41:43.881583
ALL-J,-624,25.7657,26.904,0.0,2026-04-08T18:42:22.139669
USB-Q,-12,14.99,30.5,0.0,2026-04-06T21:59:48.091698
GL-D,-68,16.0,30.5,0.0,2026-04-06T22:10:33.297456
BML-H,-178,19.3364,29.9525,0.0,2026-04-08T20:15:01.515562
DLR-J,-105,20.21,30.52,0.0,2026-04-06T22:27:48.275826
AHRT-A,100,21.8924,30.7137,0.0,2026-04-08T21:35:35.288684
SCHW-D,0,24.52,30.5124,0.0,2026-04-08T21:39:13.046616
RIV-A,-3,22.45,30.38,0.0,2026-04-07T16:49:48.370070
BAC-P,-1171,16.7431,30.3588,0.0,2026-04-07T22:12:13.066609
WFC-D,-595,17.2966,30.3731,0.0,2026-04-07T22:32:30.716636
KMPB,0,22.84,30.31,0.0,2026-04-08T19:28:14.692575
PRS,41,22.61,30.45,0.0,2026-04-07T22:56:59.357273
F-C,226,19.97,30.7257,0.0,2026-04-08T21:45:47.363412
RITM-C,200,24.06,30.68,0.0,2026-04-08T22:42:06.191731
DBRG-H,35,16.37,30.34,0.0,2026-04-07T19:10:12.327190
MS-L,-71,19.96,30.32,0.0,2026-04-07T19:19:49.505578
MS-Q,0,25.32,30.32,0.0,2026-04-08T17:54:55.155201
SYF-B,-101,25.53,30.32,0.0,2026-04-07T19:14:34.787250
PNFP-C,59,24.98,30.32,0.0,2026-04-07T22:13:30.407215
FHN-E,-9,24.26,30.32,0.0,2026-04-07T19:20:04.688490
SCE-G,2,18.06,30.31,0.0,2026-04-07T19:33:49.606385
GECCG,22,24.33,30.31,0.0,2026-04-07T19:33:49.958537
SHO-H,-12,20.46,15.17,0.0,2026-04-07T20:09:19.010295
PBI-B,14,19.1,0.0,0.0,2026-04-07T20:04:13.120984
WFC-Y,-100,23.6646,13.975,0.0,2026-04-07T21:38:42.659656
PSA-K,-123,18.3318,30.36,0.0,2026-04-07T20:25:48.541964
TRTN-G,0,23.7,30.36,0.0,2026-04-08T19:11:24.400586
WRB-G,0,15.9882,30.3617,0.0,2026-04-07T22:32:02.079256
TRTX-C,0,17.99,30.36,0.0,2026-04-07T22:54:11.158566
MET-E,-34,22.58,30.36,0.0,2026-04-07T20:30:09.532439
JSM,-24,18.15,30.38,0.0,2026-04-07T20:34:05.516728
VNO-L,-102,16.85,30.408,0.0,2026-04-07T20:40:08.939291
MS-O,-98,17.23,30.381,0.0,2026-04-07T20:55:51.208925
GDV-K,1,17.89,30.37,0.0,2026-04-07T21:16:26.919236
CFG-H,12,25.66,30.37,0.0,2026-04-07T21:17:21.905830
STT-G,-700,21.9815,30.3925,0.0,2026-04-07T22:58:11.406381
WFC-Z,100,19.08,30.37,0.0,2026-04-07T22:45:04.840595
ADAMM,-1651,24.5409,0.2957,0.0,2026-04-08T18:42:25.722585
SOJE,0,17.56,30.709,0.0,2026-04-08T21:02:30.206731
DBRG-J,485,16.49,30.73,0.0,2026-04-08T17:53:41.112509
VOYA-B,181,23.39,30.7004,0.0,2026-04-08T18:17:26.749161
NHPAP,-200,19.8,30.71,0.0,2026-04-08T18:09:32.069553
T-A,-883,20.2773,16.7645,0.0,2026-04-08T22:08:24.593523
NCZ-A,-75,20.2,30.74,0.0,2026-04-08T19:00:26.884115
DBRG-I,-300,16.48,30.73,0.0,2026-04-08T20:01:17.770267
WRB-F,-222,19.28,30.7159,0.0,2026-04-08T22:41:41.002413
EQH-A,114,19.96,30.71,0.0,2026-04-08T20:18:46.902253
CIM-B,-155,23.04,30.72,0.0,2026-04-08T20:27:26.212647
PEB-F,-108,20.04,30.73,0.0,2026-04-08T20:46:09.123245
SCE-L,8,17.81,30.75,0.0,2026-04-08T21:23:06.569643
BIPJ,200,23.16,30.7,0.0,2026-04-08T21:49:16.811312
OXLCN,4,24.21,0.0,0.0,2026-04-08T21:56:12.352244
BFH-A,-200,24.82,0.0,0.0,2026-04-08T21:56:20.393451
INN-E,-200,18.1655,0.0,0.0,2026-04-08T21:57:23.710212
ADAMN,29,22.06,30.68,0.0,2026-04-08T22:05:59.022465
RITM-B,111,24.99,30.679,0.0,2026-04-08T22:21:06.716852
NLY-G,187,24.5634,30.699,0.0,2026-04-08T22:57:37.088418
AGNCN,100,25.06,30.74,0.0,2026-04-08T22:52:53.878200
RITM-A,200,25.27,30.74,0.0,2026-04-08T22:55:16.377879
